Hubert Nigel Thomas,hnthomas,st._vincent,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
hnthomas,Spirits In The Dark,1994,English,Heinemann,"Portsmouth, NH",United States,portsmouth_nh_united_states,Fiction (Novel),n,219,
hnthomas,When The Bottom Falls Out: And Other Stories,2014,English,TSAR Publications,Ontario,Canada,ontario_canada,Fiction (Short Story Collection),n,159,
hnthomas,Return to Arcadia,2007,English,TSAR Publications,Ontario,Canada,ontario_canada,Fiction (Novel),n,304,
hnthomas,Easily Fooled,2021,English,Guernica Editions,Toronto,Canada,toronto_canada,Fiction (Novel),n,330,
hnthomas,No Safeguards,2015,English,Guernica Editions,Toronto,Canada,toronto_canada,Fiction (Novel),n,297,
hnthomas,Lives: Whole and Otherwise,2010,English,TSAR Publications,Ontario,Canada,ontario_canada,Fiction (Short Story Collection),n,146,2010
hnthomas,Des Vies Cassées,2013,French,Memoire d'Encrier,"Montréal, QC",Canada,,Fiction (Short Story Collection),y,223,2010
hnthomas,Fate's Instruments,2018,English,Guernica Editions,Toronto,Canada,toronto_canada,Fiction (Novel),n,277,
hnthomas,Behind the Face of Winter,2001,English,TSAR Publications,Ontario,Canada,ontario_canada,Fiction (Novel),n,241,2001
hnthomas,De Glace et d'Ombre,2016,French,Memoire d'Encrier,"Montréal, QC",Canada,,Fiction (Novel),y,450,2001
hnthomas,Moving Through Darkness,1999,English,AFO Enterprises,"Montréal, QC",Canada,,Poetry Collection,n,83,
hnthomas,The Voyage,2021,English,Mawenzi House,Toronto,Canada,toronto_canada,Poetry Collection,n,103,
hnthomas,How Loud can the Village Cock Crow? And Other Stories,1995,English,AFO Enterprises,"Montréal, QC",Canada,,Fiction (Short Story Collection),n,124,
hnthomas,From Folklore to Fiction,1988,English,Greenwood Press,"Westport, CT",United States,westport_ct_united¬†states,Essay,n,212,
