authorid,Author,Country,mapId,birthYear,deathYear,Lifespan,Wikimedia,dloc,lon,lat
alowe,Adam Lowe,England,11,1985,0,1985-,https://en.wikipedia.org/wiki/Adam_Lowe_(writer),,-1.458627594,52.59273448
aandwele,Adisa Andwele,Barbados,12,0,0,Unknown,https://en.wikipedia.org/wiki/Adisa_Andwele,,-59.55642448,13.17222198
atous,Adriana Tous,Cuba,14,0,0,Unknown,,,-79.5,22
acesaire,Aimé Césaire,Martinique,8,1913,2008,1913-2008,https://en.wikipedia.org/wiki/Aim%C3%A9_C%C3%A9saire,,-61.01838056,14.65313333
arsantos,Alaí Reyes-Santos,United States,1,0,0,Unknown,,,-99.41461919,39.39870316
amgomes,Albert Maria Gomes,Trinidad & Tobago,3,1911,1978,1911-1978,https://en.wikipedia.org/wiki/Albert_Gomes,,-61.26048814,10.47267428
agarrandés,Alberto Garrandés,Cuba,14,0,0,Unknown,https://es.wikipedia.org/wiki/Alberto_Garrand%C3%A9s,,-79.5,22
amckenzie,Alecia McKenzie,Jamaica,4,1962,0,1962-,https://en.wikipedia.org/wiki/Alecia_McKenzie,https://dloc.com/AA00090268/00058/pd,-77.31110641,18.15769529
acarpentier,Alejo Carpentier,Cuba,14,1904,1980,1904-1980,https://en.wikipedia.org/wiki/Alejo_Carpentier,https://createcaribbean.org/vcl/acarpentier_dloc/,-79.5,22
aisfahanihammond,Alexandra Isfahani-Hammond,United States,1,0,0,Unknown,,https://www.dloc.com/UF00099461/00113/pdf,-99.41461919,39.39870316
aarthurs,Alexia Arthurs,Jamaica,4,0,0,Unknown,https://en.wikipedia.org/wiki/Alexia_Arthurs,,-77.31110641,18.15769529
ahcata,Alfonso Hernández Catá,Spain,2,1885,1940,1885-1940,https://es.wikipedia.org/wiki/Alfonso_Hern%C3%A1ndez-Cat%C3%A1,https://www.dloc.com/AA00089347/00001/images,-3.646063105,40.22794966
aalexandre,Alfred Alexandre,Martinique,8,1970,0,1970-,,,-61.01838056,14.65313333
ahmendes,Alfred Hubert Mendes,Trinidad & Tobago,3,1897,1991,1897-1991,https://en.wikipedia.org/wiki/Alfred_Mendes,https://createcaribbean.org/vcl/ahmendes_dloc/,-61.26048814,10.47267428
aiharraway,Alicia Ikida Harraway,United States,1,0,0,Unknown,,,-99.41461919,39.39870316
alazare,Alick Lazare,Dominica,10,1934,0,1934-,,https://www.dloc.com/UF00072476/00018/images,-61.35007388,15.43465728
aprince,Althea Prince,Antigua & Barbuda,38,1945,0,1945-,https://en.wikipedia.org/wiki/Althea_Prince,,-61.79871012,17.07766464
acummins,Alvin Cummins,Barbados,12,0,0,Unknown,,,-59.55642448,13.17222198
awilentz,Amy Wilentz,United States,1,1954,0,1954-,https://en.wikipedia.org/wiki/Amy_Wilentz,https://createcaribbean.org/vcl/awilentz_dloc/,-99.41461919,39.39870316
aségalas,Anaïs Ségalas,France,17,1811,1893,1811-1893,https://en.wikipedia.org/wiki/Ana%C3%AFs_S%C3%A9galas,,2.550539953,46.55941704
aparadis,André Paradis,France,17,1939,2024,1939-2024,https://fr.wikipedia.org/wiki/Andr%C3%A9_Paradis_(%C3%A9crivain),,2.550539953,46.55941704
alevy,Andrea Levy,England,11,1956,2019,1956-2019,https://en.wikipedia.org/wiki/Andrea_Levy,https://www.dloc.com/AA00000079/00009/images,-1.458627594,52.59273448
astuart,Andrea Stuart,Jamaica,4,1962,0,1962-,https://en.wikipedia.org/wiki/Andrea_Stuart,,-77.31110641,18.15769529
asalkey,Andrew Salkey,Jamaica,4,1928,1995,1928-1995,https://en.wikipedia.org/wiki/Andrew_Salkey,https://createcaribbean.org/vcl/asalkey_dloc/,-77.31110641,18.15769529
aaugier,Ángel Augier,Cuba,14,1910,2010,1910-2010,https://es.wikipedia.org/wiki/%C3%81ngel_Augier,,-79.5,22
arawiri,Angèle Rawiri,Gabon,52,1954,2010,1954-2010,https://en.wikipedia.org/wiki/Ang%C3%A8le_Rawiri,,11.78175989,-0.6239040586
asankar,Anisah Sankar,Trinidad & Tobago,3,0,0,Unknown,,,-61.26048814,10.47267428
acwinkler,Anthony C. Winkler,Jamaica,4,1942,2015,1942-2015,https://en.wikipedia.org/wiki/Anthony_C._Winkler,https://createcaribbean.org/vcl/acwinkler_dloc/,-77.31110641,18.15769529
akellman,Anthony Kellman,Barbados,12,1955,0,1955-,https://en.wikipedia.org/wiki/Anthony_Kellman,,-59.55642448,13.17222198
anash,Anthony Nash,Trinidad & Tobago,3,0,0,Unknown,,,-61.26048814,10.47267428
abenitezrogo,Antonio Benítez-Rojo,Cuba,14,0,0,Unknown,,https://www.dloc.com/UF00099208/00067/images,-79.5,22
amoreno,Antonio Moreno,Spain,2,1887,1967,1887-1967,https://en.wikipedia.org/wiki/Antonio_Moreno,,-3.646063105,40.22794966
aminatchybogat,Arlette Minatchy-Bogat,Guadeloupe,29,1945,0,1945-,,,-61.65012,16.14475253
alhendriks,Arthur Lemiere Hendriks,Jamaica,4,1922,1992,1922-1992,https://en.wikipedia.org/wiki/A._L._Hendriks,https://createcaribbean.org/vcl/alhendriks_dloc/,-77.31110641,18.15769529
abromfield,Asha Bromfield,Canada,24,1994,0,1994-,,,-113.64258,60.10867
alorde,Audre Lorde,United States,1,1943,1992,1943-1992,https://en.wikipedia.org/wiki/Audre_Lorde,https://createcaribbean.org/vcl/alorde_dloc/,-99.41461919,39.39870316
aclarke,Austin Clarke,Barbados,12,1934,2016,1934-2016,https://en.wikipedia.org/wiki/Austin_Clarke_(novelist),https://createcaribbean.org/vcl/aclarke_dloc/,-59.55642448,13.17222198
bpaul,Baptiste Paul,France,17,0,0,Unknown,,,2.550539953,46.55941704
bapplin,Barbara Applin,United States,1,0,0,Unknown,https://www.basingstokegazette.co.uk/news/12897743.tributes-paid-to-popular-basingstoke-historian-barbara-applin/,,-99.41461919,39.39870316
bhambley,Barbara Hambly,United States,1,1951,0,1951 - ,https://en.wikipedia.org/wiki/Barbara_Hambly,,-99.41461919,39.39870316
bjenkins,Barbara Jenkins,Trinidad & Tobago,3,0,0,Unknown,https://en.wikipedia.org/wiki/Barbara_Jenkins,https://www.dloc.com/AA00090268/00039/pdf,-61.26048814,10.47267428
blalla,Barbara Lalla,Jamaica,4,1949,0,1949,,https://createcaribbean.org/vcl/blalla_dloc/,-77.31110641,18.15769529
bphilippe,Ben Philippe,Haiti,5,0,0,Unknown,https://en.wikipedia.org/wiki/Ben_Philippe,,-72.3385625,18.40248133
bmontabo,Bernard Montabo,Guyana,62,0,0,Unknown,https://ht.wikipedia.org/wiki/Bernard_Montabo,,-58.97538658,4.79642268
bgilroy,Beryl Gilroy,Guyana,62,1924,2001,1924-2001,https://en.wikipedia.org/wiki/Beryl_Gilroy,https://createcaribbean.org/vcl/bgilroy_dloc/,-58.97538658,4.79642268
bbyrne,Bonifacio Byrne,Cuba,14,1861,1936,1861-1936,https://es.wikipedia.org/wiki/Bonifacio_Byrne,https://createcaribbean.org/vcl/bbyrne_dloc/,-79.5,22
baperez,Brenda Alexander-Perez,Trinidad & Tobago,3,0,0,Unknown,,,-61.26048814,10.47267428
brennie,Bukka Rennie,Trinidad & Tobago,3,1946,0,1946-,,https://createcaribbean.org/vcl/brennie_dloc/,-61.26048814,10.47267428
clrjames,C. L. R. James,Trinidad & Tobago,3,1901,1989,1901-1989,https://en.wikipedia.org/wiki/C._L._R._James,https://createcaribbean.org/vcl/clrjames_dloc/,-61.26048814,10.47267428
cbrowning,Callie Browning,Barbados,12,1996,0,1996-,,,-59.55642448,13.17222198
caparsons,Captain Anthony Parsons,England,11,1922,1996,1922-1996,https://en.wikipedia.org/wiki/Anthony_Parsons,,-1.458627594,52.59273448
colabra,Carilda Oliver Labra,Cuba,14,1922,2018,1922-2018,https://en.wikipedia.org/wiki/Carilda_Oliver_Labra,https://createcaribbean.org/vcl/colabra_dloc/,-79.5,22
cloveira,Carlos Loveira,Cuba,14,1882,1928,1882-1928,https://en.wikipedia.org/wiki/Carlos_Loveira,https://createcaribbean.org/vcl/cloveira_dloc/,-79.5,22
cmoore,Carlos Moore,Cuba,14,1942,0,1942-,https://en.wikipedia.org/wiki/Carlos_Moore_(writer),,-79.5,22
cphillips,Caryl Phillips,St. Kitts & Nevis,41,1958,0,1958-,https://en.wikipedia.org/wiki/Caryl_Phillips,https://createcaribbean.org/vcl/cphillips_dloc/,-62.76560385,17.33971169
cbrowne,Cecil Browne,St. Vincent & the Grenadines,42,1957,0,1957-,https://en.wikipedia.org/wiki/Cecil_Browne_(author),,-61.20075147,13.20184062
cbustamante,Cecilia Bustamante,Peru,6,1932,2006,1932-2006,https://es.wikipedia.org/wiki/Cecilia_Bustamante,,-76,-10
cmohammed,Celeste Mohammed,Trinidad & Tobago,3,0,0,Unknown,https://celestemohammedwriter.com/bio/,,-61.26048814,10.47267428
cjones,Cherie Jones,Barbados,12,1974,0,1974-,,,-59.55642448,13.17222198
cblelio,Chiara Bettelli Lelio,Italy,20,0,0,Unknown,,,12.83333,42.83333
cwerleigh,Christian Werleigh,Haiti,5,1896,1945,1896-1945,,https://createcaribbean.org/vcl/cwerleigh_dloc/,-72.3385625,18.40248133
ccraig,Christine Craig,Jamaica,4,1943,0,1943-,https://en.wikipedia.org/wiki/Christine_Craig,,-77.31110641,18.15769529
csmart,Ciannon Smart,England,11,0,0,Unknown,,,-1.458627594,52.59273448
cvillaverde,Cirilo Villaverde,Cuba,14,1812,1894,1812-1894,https://en.wikipedia.org/wiki/Cirilo_Villaverde,https://createcaribbean.org/vcl/cvillaverde_dloc/,-79.5,22
cadam,Claire Adam,Trinidad & Tobago,3,0,0,Unknown,https://en.wikipedia.org/wiki/Claire_Adam,,-61.26048814,10.47267428
