Publisher,Website,lon,lat
Akashic Books,https://www.akashicbooks.com/,-73.98783538,40.67477567
HC Éditions,https://www.hc-editions.com/,-0.5798,44.8444
Memoire D'Encrier,https://memoiredencrier.com/,-73.6068,45.5424
Xlibris,https://www.xlibris.com/en/,-86.5757,39.1516
Peepal Tree Press Ltd,https://www.peepaltreepress.com/,-1.5694,53.8062
Ballantine Books,https://www.randomhousebooks.com/imprint/ballantine-books/,-73.9814,40.7636
Instituto Cubano del Libro,,-76.2553,20.8869
Pocko Editions,https://www.pocko.com/publications/,-0.0792,51.5492
Kettle's Yard,https://www.kettlesyard.cam.ac.uk/,0.1145464432,52.21095844
Dog Horn Publishing,https://www.doghornpublishing.com/,28.3988,-78.8515
Turner Publishing Company,https://turnerpublishing.com/,-86.8419,36.152
Cadaverine Magazine,,28.3988,-78.8515
Dead Ink Books,https://deadinkbookshop.com/,-2.9321,53.3918
Black Moss Press,https://blackmosspress.com/,28.3988,-78.8515
WOW Caribbean,,28.3988,-78.8515
Ediciones Cultura Hispanica,,28.3988,-78.8515
Presence Africaine,https://www.presenceafricaine.com/,2.348296082,48.84859717
Editions du Seuil,https://www.seuil.com/,2.3756,48.8964
University of California Press,https://www.ucpress.edu/,-122.2713,37.8022
Editions Gallimard,https://www.gallimard.fr/,2.3286,48.857
Monthly Review Press,https://monthlyreview.org/,-73.9917,40.7472
Parti Progressiste Martiniquais,https://ppm-martinique.org/,-61.06937628,14.61109614
Munger Africana Library,https://feeds.library.caltech.edu/groups/Munger-Africana-Library-Notes/combined.html,-118.125,34.1342
Stanford University Press,https://www.sup.org/,-122.2037,37.4849
Ubu Repertory Theater Publications,,28.3988,-78.8515
München Wien Hanser,https://www.hanser.de/,11.6079,48.1535
University Press of Virginia,https://www.virginia.edu/,-78.504,38.0352
Wesleyan University Press,https://www.weslpress.org/,-72.6667,41.5455
Duke University Press Books,https://www.dukeupress.edu/,-78.9101,36.0002
Rutgers University Press,https://www.rutgersuniversitypress.org/,-74.4472,40.4975
Evan Brothers Limited,,28.3988,-78.8515
Key Caribbean Publications,,28.3988,-78.8515
Three Continents Press,,28.3988,-78.8515
Academia,,28.3988,-78.8515
Ediciones Extramuros,,28.3988,-78.8515
Editorial Letras Cubanas,,-82.353,23.1388
Ediciones Unión,,28.3988,-78.8515
Editorial José Martí,,28.3988,-78.8515
Benemérita Universidad Autónoma de Puebla,,-98.2,18.9996
Editorial Plaza Mayor,,-66.06938876,18.37619302
Editorial Arte y Literatura,,-82.35248275,23.13908419
Ediciones Almargen : Editorial Cauce : UNEAC,,28.3988,-78.8515
Gente Nueva Editorial,,-74.07330291,4.619543056
Editorial Oriente,,28.3988,-78.8515
Ediciones Holguín,,28.3988,-78.8515
Ediciones ICAIC,,28.3988,-78.8515
Bokeh,,28.3988,-78.8515
Editorial Ácana,,28.3988,-78.8515
Ediciones Loynaz,,28.3988,-78.8515
Ediciones La Luz,,28.3988,-78.8515
Longman,,0.0865690529,51.76818266
Heinemann,,-70.76327708,43.08216618
University of Minnesota Press,http://www.upress.umn.edu/,-93.26243839,44.98174833
Fondo de Cultura Economica,https://www.fondodeculturaeconomica.com/,-99.13195721,19.43922906
Alfred A. Knopf,https://knopfdoubleday.com/imprint/knopf/,-74.00193101,40.71345748
Editorial Universitaria,https://www.universitaria.cl/,-70.59731585,-33.28350095
Compañia General de Ediciones,,28.3988,-78.8515
