authorid,Author,Title,Summary,summary_credit,bookImgId,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Sub_Genre,Translation,Buy_Link,Read_Link,Listen_Link,Length,lon,lat,PublisherList
alowe,Adam Lowe,Anish Kapoor,"Throughout his creative career, Turner Prize-winning sculptor Anish Kapoor has worked extensively with architects and engineers, and built a large body of public works that merge sculpture and architecture. Now, in a world designed using CAD programs, Kapoor argues that the next logical step in integrating design with production is to move from virtual models to 3D-printed buildings. In Unconformity and Entropy, a number of finished architectural works are fleshed out with preparatory studies and extracts from the artist's extensive technical research, illustrating his investigation of the fluid and plastic qualities of cement. Central to the project is the conceit of the use of a purpose-built machine to generate forms through which Kapoor would explore the intersection of idea and event. Extensively illustrated with original drawings, sketches and color photographs, and superbly designed, Unconformity and Entropy also includes several illuminating introductory essays.",,alowe6,2009,English,Turner Publishing Company,,,,Fiction (Novel),,n,https://www.amazon.com/Anish-Kapoor-Unconformity-Simon-Schaffer/dp/847506891X,#,#,,-86.8419,36.152,66thand2nd
alowe,Adam Lowe,Monster,"Ides is a monster. She's got half a face, half a life and half a conscience. Once she was rich, glamorous, successful. Everything the public should want from a celebrity. But like all the best icons, Ides found fame was destructive. Now she's a fallen idol lurking in the sewers. A vigilante whose mask is permanent.",,alowe14,2013,English,Dead Ink Books,,,,Fiction (Novel),,n,#,#,#,,-2.9321,53.3918,A & B Books
alowe,Adam Lowe,Power Smile,N/A,,alowe1,2001,English,Pocko Editions,,,london_ldn_england,Fiction (Novel),,n,https://www.amazon.com/Power-Smiles-Pocko-Collection-Adam/dp/1903977037,#,#,,-0.0792,51.5492,A List
alowe,Adam Lowe,Noise,"Noise was a series of exhibitions about how we perceive and how we
communicate our perceptions in the digital age. This lively book is for
anyone interested in contemporary visual arts, communication and the
electronic medium.",,alowe2,2003,English,Kettle's Yard,,,,Fiction (Novel),,n,#,#,#,,0.1145464432,52.21095844,A.W. Gardner & Co.
alowe,Adam Lowe,Polluto 7: Open-Themed Issue,"From bone-crushing lovers to a cross-dressing hitman, the night-soil man of the gods and sex conditioning on squids, the dangerous desires of the diabolically large and seductively small, body-swapping, gender-swapping, exploration, transcendence and re-incarnation, machines that are gods and machines that are cats . . . some of the strangest and scariest authors are gathered here - enter if you dare!",,alowe9,2011,English,Dog Horn Publishing,,,,Anthology,,n,https://www.amazon.com/gp/product/1907133070/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=1907133070&SubscriptionId=1MGPYB6YW3HWK55XCGG2,#,#,,28.3988,-78.8515,Abacus
alowe,Adam Lowe,Polluto 3: Sex in the Time of VHS,Discusses the theme of 'Sex in the Time of VHS'.,,alowe3,2008,English,Dog Horn Publishing,,,,Anthology,,n,https://www.amazon.com/Polluto-3-Sex-Time-VHS/dp/0955063159?ref_=ast_author_dp&dib=eyJ2IjoiMSJ9.dXEEjqosaEDLVlhjQd80H7RBRhOU9zOg-otbZfkowPQ-IwEAoa2LGWRteZGZjctc6ibgF7yoYocwpIhjjCdcEuGMLPAy3dCBxh1Eood1wGssCVfwCTyD1B6YWWCCxeYxCdUki0dXdjc6slGkKukU-tC5n0SOFIoKnuXkWNlzqgizFWB7Q0Rnw-FmWQD3Fj5gB8L5wBm3ANDQM69DtysmgNQtTqTEmnQmh1wHFrQzv-g.mK8YkNAuHMF2waHzCC42Au8cNn8jdXx1hGgX67LDG9c&dib_tag=AUTHOR,#,#,,28.3988,-78.8515,Abbott Press
alowe,Adam Lowe,Polluto 8: In Space No One Can Hear You Dream,"This issue we're entering into the unknown and the otherworldly, exploring strange worlds and stranger beings--not to mention the twisted, terrifying depths of some of the weirdest authors' minds. Subversive and thought provoking? Yes. Crazy as a box of Buck Roger's Intergalactic Fruit Loops? Most definitely. Dark, dreamy, and disgustingly depraved? Would it really be Polluto if it wasn't? Aliens, monsters, gods, dreams and nightmares; sex and transformation; strange worlds and the search for truth; death, blood and violence; the future of humanity; astrophobia, metatronians, sphere serpents and zombie amazons. Prepare for the unexpected . . . and remember, in space no-one can hear you dream.",,alowe10,2011,English,Dog Horn Publishing,,,,Anthology,,n,https://www.amazon.com/Polluto-8-Rachel-Kendall/dp/1907133089,#,#,,28.3988,-78.8515,Academia
alowe,Adam Lowe,Polluto 6: Identity Theft & The Octopus Kid,Polluto has packed a snorkel and will head to Atlantis for a quick visit to fight killer mermaids and their legions of underwater nasties. Unfortunately we forgot our passport and bank statements. Mind if we borrow yours?,,alowe8,2010,English,Dog Horn Publishing,,,,Anthology,,n,https://www.amazon.com/Polluto-Identity-Theft-Octopus-Kid/dp/0955063183?ref_=ast_author_dp&dib=eyJ2IjoiMSJ9.dXEEjqosaEDLVlhjQd80H7RBRhOU9zOg-otbZfkowPQ-IwEAoa2LGWRteZGZjctc6ibgF7yoYocwpIhjjCdcEuGMLPAy3dCBxh1Eood1wGssCVfwCTyD1B6YWWCCxeYxCdUki0dXdjc6slGkKukU-tC5n0SOFIoKnuXkWNlzqgizFWB7Q0Rnw-FmWQD3Fj5gB8L5wBm3ANDQM69DtysmgNQtTqTEmnQmh1wHFrQzv-g.mK8YkNAuHMF2waHzCC42Au8cNn8jdXx1hGgX67LDG9c&dib_tag=AUTHOR,#,#,,28.3988,-78.8515,Adelphi
alowe,Adam Lowe,Polluto: Post-Natal Depression and the Mysterons,"Polluto: The Anti-Pop Culture Journal is the Spectrum award-winning literary magazine from Dog Horn Publishing. Working with such esteemed writers as Rhys Hughes, Jeff Vandermeer, Steve Redwood and (in later issues) Justina Robson and Michael Moorcock, editor Adam Lowe brings the strangest in countercultural production since The Sex Pistols took LSD. Inside this journal you may find: sex, drugs and webbed toes; a DIY guide to making absinthe; haunted hymens; Fellatio Nelson; euthanasia; the secrets of an international spy; alien toast; werewolf battered wives; and the importance of being churlish. So hold onto your balls and dive in!",,alowe5,2008,English,Dog Horn Publishing,,,,Anthology,,n,https://www.amazon.com/Polluto-Issue-1-Jeff-VanderMeer/dp/0955063124?ref_=ast_author_dp&dib=eyJ2IjoiMSJ9.dXEEjqosaEDLVlhjQd80H7RBRhOU9zOg-otbZfkowPQ-IwEAoa2LGWRteZGZjctc6ibgF7yoYocwpIhjjCdcEuGMLPAy3dCBxh1Eood1wGssCVfwCTyD1B6YWWCCxeYxCdUki0dXdjc6slGkKukU-tC5n0SOFIoKnuXkWNlzqgizFWB7Q0Rnw-FmWQD3Fj5gB8L5wBm3ANDQM69DtysmgNQtTqTEmnQmh1wHFrQzv-g.mK8YkNAuHMF2waHzCC42Au8cNn8jdXx1hGgX67LDG9c&dib_tag=AUTHOR,#,#,,28.3988,-78.8515,Advocate Co.
alowe,Adam Lowe,Polluto 4: Queer and Loathing in Wonderland,"Polluto returns with a wry look at fairytales, gonzo journalism, sexuality, weird places and ever queerer individuals. It includes contributions from Rhys Hughes, Steve Redwood, Deb Hoag, D.W. Green, Alex MacFarlane, Jim Steel, Lawrence R. Dagstine, Andrew Hook & Allen Ashley, Mark Howard Jones and Frank Burton. Diseased white rabbits, Black Power munchkins, pill-popping schizophrenics, steampunk whores, transsexual Ozmas and scorpion rapists all get the usual ironic and twisted 'Polluto' treatment, with artwork from Ignacio Candel, Flavia Testa-Lytle, Chris Oaten and Dave Migman.",,alowe4,2008,English,Dog Horn Publishing,,,,Anthology,,n,https://www.amazon.com/Polluto-Queer-Loathing-Wonderland/dp/0955063167?ref_=ast_author_dp&dib=eyJ2IjoiMSJ9.dXEEjqosaEDLVlhjQd80H7RBRhOU9zOg-otbZfkowPQ-IwEAoa2LGWRteZGZjctc6ibgF7yoYocwpIhjjCdcEuGMLPAy3dCBxh1Eood1wGssCVfwCTyD1B6YWWCCxeYxCdUki0dXdjc6slGkKukU-tC5n0SOFIoKnuXkWNlzqgizFWB7Q0Rnw-FmWQD3Fj5gB8L5wBm3ANDQM69DtysmgNQtTqTEmnQmh1wHFrQzv-g.mK8YkNAuHMF2waHzCC42Au8cNn8jdXx1hGgX67LDG9c&dib_tag=AUTHOR,#,#,,28.3988,-78.8515,Aguilar Publishing
