Anthony Kellman,akellman,barbados,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
akellman,Tracing JaJa,2020,English ,Peepal Tree Press,Leeds,England,leeds_england,Fiction (Novel),n,113,
akellman,Wings of a Stranger,2001,English ,Peepal Tree Press,Leeds,England,leeds_england,Poetry Collection ,n,76,
akellman,The Long Gap,1996,English ,Peepal Tree Press,Leeds,England,leeds_england,Poetry Collection ,n,62,
akellman,Watercourse,1990,English ,Peepal Tree Press,Leeds,England,leeds_england,Poetry Collection ,n,64,
akellman,Limestone: An Epic Poem of Barbados,2008,English ,Peepal Tree Press,Leeds,England,leeds_england,Poetry Collection ,n,280,
akellman,The Coral Rooms,1994,English ,Peepal Tree Press,Leeds,England,leeds_england,Fiction (Novel),n,102,
akellman,The Houses of Alphonso,2003,English ,Peepal Tree Press,Leeds,England,leeds_england,Fiction (Novel),n,304,
akellman,Crossing water : contemporary poetry of the English-speaking Caribbean,1992,English ,Greenfield Review Press,"Greenfield Center, NY",United States ,,Anthology,n,219,
akellman,South Eastern Stages,2012,English ,Peepal Tree Press,Leeds ,England ,leeds_england,Poetry Collection ,n,62,
akellman,The Broken Sun,1984,English ,Anthony Kellman,	St. Michael,Barbados ,st._michael_barbados,Poetry Collection ,n,28,
akellman,In Depths of Burning Light,1982,English ,Anthony Kellman,	St. Michael,Barbados ,st._michael_barbados,Poetry Collection ,n,34,
akellman,The Barbados duet : poetry and fiction,1989,English , Louisiana State University,"Baton Rouge, LA",United States ,,,n,165,
