Antonio Benítez-Rojo ,abenitez-rogo,cuba,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
abenitez-rogo,Femme en Costume de Bataille,2006,French,France Loisirs,Paris,France,paris_france,Fiction (Novel),n,702,Anne Proenza
abenitez-rogo,El mar de las lentejas,1999,Spanish,Editorial Casiopea,Barcelona ,Spain,,Fiction (Novel),n,238,
abenitez-rogo,A view from the Mangrove,1998,English ,University of Massachusetts Press,"Amherst, MA",United States,amherst_ma_united¬†states,Fiction (Novel),n,243,
abenitez-rogo,Woman in battle dress,2015,English ,City Lights Books,"San Francisco, CA",United States,san_franciso_ca_united¬†states,Fiction (Novel),n,479,
abenitez-rogo,Estatuas sepultadas y otros relatos,1984,Spanish,Ediciones del Nort,"Hanover, NH",United States,hanover_united¬†states,Fiction (Novel),n,233,
abenitez-rogo,Heroica,1976,Spanish,La Habana Ediciones Arte y Lietratura,Havana,Cuba,havana_cuba,Fiction (Novel),n,298,
abenitez-rogo,Antonio Benítez Rojo : del mundo cerrado al Caribe infinito,2013,Spanish,Tamesis Books,"Woodbridge, NJ",United States,woodbridge_united¬†states,Non Fiction,n,189,
abenitez-rogo,Mujer en traje de batalla,2005,Spanish,Punto de lectura,Madrid ,Spain,madrid_spain,Fiction (Novel),y,698,
abenitez-rogo,Paso de los vientos,2000,Spanish,Editorial Casiopea,Barcelona ,Spain,,Fiction (Novel),n,236,
abenitez-rogo,Antología personal,1997,Spanish,Editorial de la Universidad de Puerto Rico,San Juan,Puerto Rico,san_juan_puerto_rico,Fiction (Novel),n,247,
