Austin Clarke,aclarke,barbados,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,Pub_city,Country,Pub_id,Genre,Translation,Length,Descriptor
aclarke,Amongst Thistles and Thorns,1965,English,Heinemann,London,England,london_england,Fiction (Novel),n,183,
aclarke,The Survivors of the Crossing,1964,English,Heinemann,London,England,london_england,Fiction (Novel),n,202,
aclarke,Growing Up Stupid Under the Union Jack,2003,English,Ian Randle Publishers,Kingston,Jamaica,kingston_jamaica,Autobiography/Memoir,n,190,
aclarke,Growing Up Stupid Under the Union Jack,1980,English,McClelland & Stewart,"Toronto, ON",Canada,toronto_on_canada,Autobiography/Memoir,n,192,
aclarke,The Question,1999,English,McClelland & Stewart,"Toronto, ON",Canada,toronto_on_canada,Fiction (Novel),n,243,
aclarke,Pigs Tails 'N Breadfruit: Rituals Of Slave Food,2000,English,Vintage Books,"Toronto, ON",Canada,toronto_on_canada,Autobiography/Memoir,n,248,
aclarke,Choosing His Coffin,2003,English,Thomas Allen Publishers,"Toronto, ON",Canada,toronto_on_canada,Fiction (Short Story Collection),n,384,
aclarke,The Bigger Light,1998,English,Vintage Books,"Toronto, ON",Canada,toronto_on_canada,Fiction (Novel),n,280,
aclarke,The Bigger Light,1975,English,"Little, Brown and Company","Boston, MA",United States,boston_ma_united¬†states,Fiction (Novel),n,288,
aclarke,Pigs Tails 'N Breadfruit: Rituals Of Slave Food,2000,English,The New Press,"New York, NY",United States,new_york_ny_united_states,Autobiography/Memoir,n,248,
aclarke,Storm Of Fortune,1998,English,"Random House Digital, Inc.","Toronto, ON",Canada,toronto_on_canada,Fiction (Novel),n,NA,
aclarke,Storm Of Fortune,1973,English,"Little, Brown and Company","Boston, MA",United States,boston_ma_united¬†states,Fiction (Novel),n,312,
aclarke,Proud Empires,1988,English,Viking Press,"Markham, ON",Canada,markham_on_canada,Fiction (Novel),n,224,
aclarke,A Passage Back Home: A Personal Reminiscence of Samuel Selvon,1994,English,Exile Editions,"Toronto, ON",Canada,toronto_on_canada,Autobiography/Memoir,n,143,
aclarke,Nine Men Who Laughed,1987,English,Penguin Books,"Markham, ON",Canada,markham_on_canada,Fiction (Short Story Collection),n,240,
aclarke,Where the Sun Shines Best,2013,English,Guernica Editions,"Toronto, ON",Canada,toronto_on_canada,Poem,n,71,
aclarke,Pig Tails 'N' Breadfruit - Anniversary Edition,2014,English,Ian Randle Publishers,Kingston,Jamaica,kingston_jamaica,Autobiography/Memoir,n,258,
aclarke,The Prime Minister,2005,English,Ian Randle Publishers,Kingston,Jamaica,kingston_jamaica,Fiction (Novel),n,200,
aclarke,The Prime Minister,1978,English,Routledge Publishing,London,England,london_england,Fiction (Novel),n,191,
aclarke,The Polished Hoe,2002,English,Thomas Allen Publishers,Toronto,Canada,toronto_on_canada,Fiction (Novel),n,462,
aclarke,More,2009,English,HarperCollins,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,320,
aclarke,The Prime Minister,1977,English,General Publishing,Don Mills,Canada,don_mills_canada,Fiction (Novel),n,191,
aclarke,The Survivors of the Crossing,1964,English,Heinemann,London,England,london_england,Fiction (Novel),n,202,
aclarke,Amongst Thistles and Thorns,1984,English,McClelland & Stewart,"Toronto, ON",Canada,toronto_on_canada,Fiction (Novel),n,183,
aclarke,The Polished Hoe,2003,English,CNIB,"Toronto, ON",Canada,toronto_on_canada,Fiction (Novel),n,NA,
aclarke,In This City,2018,English,Exile Editions,"Toronto, ON",Canada,toronto_on_canada,Fiction (Short Story Collection),n,242,
aclarke,In This City,2008,English,Exile Editions,"Toronto, ON",Canada,toronto_on_canada,Fiction (Short Story Collection),n,223,
aclarke,There Are No Elders,2007,English,Exile Editions,"Toronto, ON",Canada,toronto_on_canada,Fiction (Short Story Collection),n,182,
aclarke,There Are No Elders,2018,English,Exile Editions,"Toronto, ON",Canada,toronto_on_canada,Fiction (Short Story Collection),n,182,
aclarke,When He Was Free and Young and He Used To Wear Silks,2020,English,A List,"Toronto, ON",Canada,toronto_on_canada,Fiction (Short Story Collection),n,182,
aclarke,Collected Plays,1963,English,The Dolmen Press,Dublin,Ireland,dublin_ireland,Drama,n,402,
aclarke,When Women Rule,1985,English,McClelland and Stewart,"Toronto, ON",Canada,toronto_on_canada,Fiction (Short Story Collection),n,174,
aclarke,Pigs Tails 'N Breadfruit: Rituals Of Slave Food,1999,English,"Random House Digital, Inc.","Toronto, ON",Canada,toronto_on_canada,Autobiography/Memoir,n,248,
aclarke,The Austin Clarke Reader,1996,English,Exile Editions,"Toronto, ON",Canada,toronto_on_canada,Fiction (Short Story Collection),n,349,
