Dany Laferrière,dlaferrière,haiti,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
dlaferrière,Why Must A Black Writer Write About Sex?,1994,English,Coach House Press,"Toronto, ON",Canada,toronto_on_canada,Fiction (Novel),y,198,
dlaferrière,Chronique De La Dérive Douce: Roman,2015,French,Éditions Grasset,Paris,France,paris_france,Fiction (Novel),n,187,
dlaferrière,Le Charme Des Après-Midi Sans Fin: Rècit,2011,French,Éditions du Rocher,Paris,France,paris_france,Fiction (Novel),n,296,
dlaferrière,Tout Bouge Autour De Moi,2017,French,Mémoire d'encrier,"Montréal, QC",Canada,montreãåal_qc_canada,Biography,n,163,
dlaferrière,Journal D'un U En Pyjama,2020,French,Mémoire d'encrier,"Montréal, QC",Canada,montreãåal_qc_canada,Biography,n,346,
dlaferrière,Le Goût Des Jeunes Filles: Roman,2019,French,Éditions Gallimard,Paris,France,paris_france,Fiction (Novel),n,381,
dlaferrière,Je Suis Un Écrivain Japonais : Roman,2018,French,Éditions Grasset,Paris,France,paris_france,Fiction (Novel),n,210,
dlaferrière,Comment Faire L'amour Avec Un Nègre Sans Se Fatiguer: Roman,2021,French,Le Serpent a Plumes Édition,Paris,France,paris_france,Fiction (Novel),n,165,
dlaferrière,Vers D'Autres Rives,2019,French,Collège Boréal,"Sudbury, ON",Canada,sudbury_on_canada,Fiction (Novel),n,106,
dlaferrière,L'Exil Vaut Le Voyage,2020,French,Éditions Grasset,Paris,France,paris_france,Fiction (Novel),n,403,
dlaferrière,Un Art De Vivre Par Temps De Catastrophe,2010,French,University of Alberta Press,Edmonton,Canada,,Biography,n,51,
dlaferrière,Le Serpent À Plumes Pour Haïti,2010,French,Éditions du Rocher,Paris,France,paris_france,Anthology,n,175,
dlaferrière,Je Suis Fou De Vava,2013,French,Les Éditions de la Bagnole,"Montréal, QC",Canada,montreãåal_qc_canada,Fiction (Novella),n,48,
dlaferrière,Le Baiser Mauve De Vava,2014,French,Les Éditions de la Bagnole,"Montréal, QC",Canada,montreãåal_qc_canada,Fiction (Novella),n,46,
dlaferrière,La Fête Des Morts,2019,French,Les Éditions de la Bagnole,"Montréal, QC",Canada,montreãåal_qc_canada,Fiction (Novella),n,44,
dlaferrière,Das Rätsel Rer Rückkehr Roman,2013,German,Wunderhorn,Heidelberg,Germany,,Fiction (Novel),y,298,
dlaferrière,Enigma Of The Return,2018,English,Maclehose Press,London,United Kingdom,london_united¬†kingdom,Fiction (Novel),y,279,
dlaferrière,How to make love to a negro a novel,1987,English,Coach House Books,"Toronto, ON",Canada,toronto_on_canada,Fiction (Novel),y,117,David Homel
dlaferrière,Sŭlp'ŭm i ch'um ch'unda,2011,Korean,Saenggak ŭi Namu, Sŏul,South Korea,,Fiction (Novel),y,392,
dlaferrière,The return,2011,English, Douglas & McIntyre,Vancouver,Canada,vancouver_bc_canada,Fiction (Novel),y,227,David Homel
dlaferrière,El enigma del regreso,2012,Spanish,Alianza Editorial,Madrid,Spain,madrid_spain,Fiction (Novel),y,313,
dlaferrière,Heading south,2009,English, Douglas & McIntyre,Vancouver,Canada,vancouver_bc_canada,Fiction (Novel),y,211,Wayne Grady
