Dionne Brand,dbrand,trinidad_&_tobago,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
dbrand,"In Another Place, Not Here",1986,English,Grove Press,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,256,
dbrand,Primitive Offensive,1982,English,Williams-Wallace,"Toronto, ON",Canada,toronto_on_canada,Fiction (Novel),n,59,
dbrand,The Blue Clerk,2019,English,McClelland & Stewart,"Toronto, ON",Canada,toronto_on_canada,Fiction (Novel),n,248,
dbrand,Winter Epigrams and Epigrams to Ernesto Cardenal in Defence of Claudia,1984,English,Williams-Wallace,"Toronto, ON",Canada,toronto_on_canada,Poetry Collection,n,38,"McTair, Roger"
dbrand,"Chronicles of the Hostile Sun October 25th, 1983
",1983,English,,"Toronto, ON",Canada,toronto_on_canada,Poetry Collection,n,1,"Paton, Bruce"
dbrand,The Blue Clerk: Ars Poetica In 59 Versos,2021,English,CELA : CNIB,"Toronto, ON",Canada,toronto_on_canada,Poetry Collection,n,,
dbrand,What We All Long For,2020,English,Knopf Canada,"Toronto, ON",Canada,toronto_on_canada,Fiction (Novel),n,640,
dbrand,Theory,2019,English,CELA : CNIB,"Toronto, ON",Canada,toronto_on_canada,Fiction (Novel),n,229,
dbrand,Bread Out Of Stone,2010,English,W. Ross MacDonald School Resource Services Library,"Brantford, ON","Brantford, ON",brantford_on_canada,Nonfiction Book,n,183,
dbrand,At The Full And Change Of The Moon,2011,English,Vintage Canada,"Toronto, ON",Canada,toronto_on_canada,Fiction (Novel),n,210,
dbrand,Earth Magic: Poems,2020,English,Kids Can Press Ltd.,"Toronto, ON",Canada,toronto_on_canada,Poetry Collection,n,30,
dbrand,Land To Light On,2008,English,Anagrammes,Perros-Guirec,France,perros_guirec_france,Poetry Collection,n,149,
dbrand,Sans Souci And Other Stories,1998,English,Women's Press,"Toronto, ON",Canada,toronto_on_canada,Fiction (Short Story Collection),n,150,
dbrand,Il Libro Dei Desideri,2005,Italian,Giunti,Firenze,Italy,firenze_italy,Fiction (Novel),y,311,
dbrand,Di Luna Piena E Di Luna Calante,2004,Italian,Giunti,Firenze,Italy,firenze_italy,Fiction (Novel),y,288,
dbrand,NOMENCLATURE: New And Collected Poems.,2022,English,Duke University Press,"Durham, NC",United States,durham_nc_united_states,Poetry Collection,n,688,
dbrand,"Grenada, October 25th, 1983",1983,English,publisher not identified,"Toronto, ON",Canada,toronto_on_canada,Nonfiction Book,n,,
dbrand,Wonach Sich Alle Sehnen: Roman,2007,German,Atrium Verlag,Zurich,Switzerland,zurich_switzerland,Fiction (Novel),y,382,
dbrand,Chronicles Early Years,2011,English,Wilfrid Laurier University Press,Ontario,Canada,toronto_on_canada,Poetry Collection,n,162,
dbrand,"In Another Place, Not Here",1997,English,Vintage Canada,"Toronto, ON",Canada,toronto_on_canada,Fiction (Novel),n,247,
dbrand,Fore Day Morning: Poems,1978,English,Khoisan Artists,"Toronto, ON",Canada,toronto_on_canada,Poetry Collection,n,33,
dbrand,Une Terre Où Se Poser,1997,French,Anagrammes,Perros-Guirec,France,perros_guirec_france,Poetry Collection,y,149,
dbrand,Les Désirs De La Ville : Roman,2011,French,L'Instant même,Quebec,Canada,quebec_canada,Fiction (Novel),y,294,
dbrand,No Language Is Neutral: Poems,2007,English,McClelland & Stewart,"Toronto, ON",Canada,toronto_on_canada,Poetry Collection,n,50,
dbrand,Inventory,2006,English,McClelland & Stewart,"Toronto, ON",Canada,toronto_on_canada,Poem,n,100,
dbrand,Thirsty,2005,English,McClelland & Stewart,"Toronto, ON",Canada,toronto_on_canada,Poem,n,63,
dbrand,A Map To The Door Of No Return: Notes To Belonging,2022,English,Vintage Canada,"Toronto, ON",Canada,toronto_on_canada,Poetry Collection,n,240,
dbrand,Love Enough,2015,English,Vintage Canada,"Toronto, ON",Canada,toronto_on_canada,Fiction (Novel),n,180,
dbrand,Chronicles Of The Hostile Sun,1985,English,Williams-Wallace,"Toronto, ON",Canada,toronto_on_canada,Poetry Collection,n,75,
