George Lamming ,glamming ,barbados,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
glamming ,The Emigrants,1994,English ,University of Michigan Press,"Ann Arbor, MI",United States,ann_arbor_mi_united¬†states,Fiction (Novel),n,300,
glamming ,In The Castle Of My Skin,1991,English ,University of Michigan Press,"Ann Arbor, MI",United States,ann_arbor_mi_united¬†states,Fiction (Novel),n,348,
glamming ,The Pleasures Of Exile,1960,English ,University of Michigan Press,"Ann Arbor, MI",United States,ann_arbor_mi_united¬†states,Fiction (Novel),n,260,
glamming ,In The Castle Of My Skin / With A Critical Introduction By David Williams,1986,English ,Longman Inc.,Harlow,England,harlow_england,Fiction (Novel),n,295,
glamming ,In The Castle Of My Skin,2017,English ,Penguin Books,"Westminster, LDN",United Kingdom,westminster_ldn_united¬†kingdom,Fiction (Novel),n,348,
glamming ,The Emigrants,1994,English ,University of Michigan Press,"Ann Arbor, MI",United States,ann_arbor_mi_united¬†states,Fiction (Novel),n,300,
glamming ,The Pleasures Of Exile,2005,English ,Pluto Press,London,England,(london)_england,Fiction (Novel),n,260,
glamming ,Of Age And Danger,1981,English ,Allison & Busby,London,England,(london)_england,Fiction (Novel),n,412,
glamming ,Season Of Adventure,1982,English ,Allison & Busby,London,England,(london)_england,Fiction (Novel),n,336,
glamming ,Of Age And Innocence,1981,English ,Allison & Busby,London,England,(london)_england,Fiction (Novel),n,412,
glamming ,The Emigrants,1982,English ,Allison & Busby,London,England,(london)_england,Fiction (Novel),n,300,
glamming ,Natives Of My Person,1986,English ,Allison & Busby,London,England,(london)_england,Fiction (Novel),n,350,
glamming ,In The Castle Of My Skin,1981,English ,Longman Inc.,Harlow,England,harlow_england,Fiction (Novel),n,303,
glamming ,The Pleasures Of Exile,1984,English ,Allison & Busby,London,England,(london)_england,Fiction (Novel),n,260,
glamming ,The Pleasures Of Exile,1983,English ,University Microfilms International,"Ann Arbor, MI",United States,ann_arbor_united¬†states,Fiction (Novel),n,260,
glamming ,Natives Of My Person,1972,English ,"Holt, Rinehart and Winston","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,345,
glamming ,Cannon Shot And Glass Beads: Modern Black Writing,1974,English ,Pan Books,London,England,(london)_england,Anthology,n,286,
glamming ,Season Of Adventure,1999,English ,University of Michigan Press,"Ann Arbor, MI",United States,ann_arbor_mi_united¬†states,Fiction (Novel),n,368,
glamming ,Season Of Adventure,1999,English ,University of Michigan Press,"Ann Arbor, MI",United States,ann_arbor_mi_united¬†states,Fiction (Novel),n,368,
glamming ,The Emigrants,1994,English ,University of Michigan Press,"Ann Arbor, MI",United States,ann_arbor_mi_united¬†states,Fiction (Novel),n,298,
glamming ,The Emigrants,1980,English ,Allison & Busby,London,England,(london)_england,Fiction (Novel),n,272,
glamming ,The Pleasures Of Exile,1992,English ,University of Michigan Press,"Ann Arbor, MI",United States,ann_arbor_mi_united¬†states,Fiction (Novel),n,264,
glamming ,The Pleasures Of Exile,1984,English ,Allison & Busby,London,England,(london)_england,Fiction (Novel),n,232,
glamming ,"Coming, Coming Home: Conversations II: Western Education And The Caribbean Intellectual",2000,English ,House of Nehesi Publishers,Philipsburg,St. Maarten,philipsburg_st.¬†maarten,Biography,n,103,
glamming ,Sovereignty Of The Imagination: Conversation III,2009,English ,House of Nehesi Publishers,Philipsburg,St. Maarten,philipsburg_st.¬†maarten,Anthology,n,82,
glamming ,Water With Berries,1972,English,"Holt, Rinehart and Winston","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,248,
glamming ,Of Age And Innocence,2011,English,Peepal Tree Press,Leeds,England,leeds_england,Fiction (Novel),n,436,
glamming ,En El Castillo De Mi Piel,1987,Spanish,Longman Inc.,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,410,
glamming ,A Wedding In Spring,1985,Spanish,Casa de las Américas,Havana,Cuba,havana_cuba,NA,y,15,
glamming ,Physiology Of Reproduction,1990,English,Churchill Livingstone,Edinburgh,England,edinburgh_england,Nonfiction Book,n,842,
glamming ,The Role Of Intellectual Workers In Processes Of Social Transformation In Thirld World Countries,1986,English,Organisatie van Patriottische Intellektuelen in Suriname (ORPIS),Paramaribo,Suriname,paramaribo_suriname,Poem,n,31,
glamming ,Age Et Innocence,1986,French,Éditions Caribéennes,Paris,France,paris_fr_france,Fiction (Novel),y,461,
glamming ,Partes De Mi Ser,1988,Spanish,Casa de las Américas,Havana,Cuba,havana_cuba,Fiction (Novel),y,518,
glamming ,In The Castle Of My Skin,1954,English,"McGraw-Hill Book Company, Inc.","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,312,
glamming ,Water With Berries,2016,English,Peepal Tree Press,Leeds,England,leeds_england,Fiction (Novel),n,276,
glamming ,The Emigrants First Edition,1954,English,McGraw Hill,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,271,
glamming ,Reproduction In The Male,1990,English,Chapman & Hall,London,England,(london)_england,Nonfiction Book,n,966,"Marshall, Francis H"
