Jacques Roumain,jroumain,haiti,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
jroumain,Gouverneurs De La Rosee,1999,English,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),y,,
jroumain,Gouverneurs De La Rosée,1972,French,Editeurs Français reunis,Paris,France,paris_france,Fiction (Novel),n,,219
jroumain,Masters Of The Dew,1947,English,Reynal & Hitchcock,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,180,
jroumain,Ebony Wood: Bois-D'ébène. Poems,1972,English,Interworld Press,"New York, NY",United States,new_york_ny_united_states,Poetry Collection,y,45,
jroumain,Masters Of The Dew,2017,English,"Caribbean Studies Press, an imprint of Educa Vision","Pompano Beach, FL",United States,pompano_beach_fl_united¬†states,Fiction (Novel),y,,
jroumain,Gouverneurs De La Rosée: Roman,1972,French,Editeurs Français reunis,Paris,France,paris_france,Fiction (Novel),n,,
jroumain,La Montagne Ensorcelée,2014,French,Éditions de la dodine,Jacmel,Haiti,jacmel_haiti,Fiction (Novel),n,61,
jroumain,Gouverneurs De La Rosée,2013,French,Le temps des cerises,Paris,France,paris_fr_france,Fiction (Novel),n,205,
jroumain,La Montagne Ensorceleé,1972,Haitian Creole,Messidor,Paris,France,paris_fr_france,Fiction (Novel),n,,
jroumain,Gouverneurs De La Rosée: Roman,2013,French,Zulma,Paris,France,paris_fr_france,Fiction (Novel),n,,
jroumain,La Montagne Ensorcelée ; La Proie Et L'ombre. ; Griefs De L'homme Noir ; Poémes,1972,French,Les Éditeurs français réunis,Paris,France,paris_fr_france,Anthology,n,,
jroumain,Complete Narratives Of Francophone Caribbean Tales,1996,French,E. Mellen Press,"Lewiston, ID",United States,lewiston_id_united¬†states,Fiction (Short Story Collection),n,,
