Jean Rhys,jrhys,dominica,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
jrhys,Wide Sargasso Sea,1987,Arabic,Dar al-Ma'mun,Baghdad,Iraq,baghdad_iraq,Fiction (Novel),y,159,
jrhys,Quartet,1990,Chinese,China Federation of Literary and Art Circles Publishing Company,Beijing,China,beijing_china,Fiction (Novel),y,189,
jrhys,Cang Hai Mang Mang,1986,Chinese,People's Literature Publishing House,Beijing,China,beijing_china,NA,y,193,
jrhys,Voyage In The Dark,1984,Danish,Lindhardt og Ringhof,Copenhagen,Denmark,copenhagen_denmark,Fiction (Novel),y,169,
jrhys,Voyage In The Dark,1983,Danish,Samlerens Bogklub,Copenhagen,Denmark,copenhagen_denmark,Fiction (Novel),y,169,
jrhys,Voyage In The Dark,1982,Danish,Tiderne Skifter,Copenhagen,Denmark,copenhagen_denmark,Fiction (Novel),y,169,
jrhys,"Good Morning, Midnight",1985,Danish,Tiderne Skifter,Copenhagen,Denmark,copenhagen_denmark,Fiction (Novel),y,170,
jrhys,Efter Bruddet,1984,Danish,Tiderne Skifter,Copenhagen,Denmark,copenhagen_denmark,Fiction (Novel),y,171,
jrhys,Quartet,1983,Danish,Tiderne Skifter,Copenhagen,Denmark,copenhagen_denmark,Fiction (Novel),y,163,
jrhys,Efter Bruddet,1981,Danish,Tiderne Skifter,Copenhagen,Denmark,copenhagen_denmark,Fiction (Novel),y,171,
jrhys,Wide Sargasso Sea,1983,Dutch,Bert Bakker,Amsterdam,Netherlands,amsterdam_netherlands,Fiction (Novel),y,159,
jrhys,"Goedemorgen, Middernacht",1982,Dutch,Bert Bakker,Amsterdam,Netherlands,amsterdam_netherlands,Fiction (Novel),y,153,Translator: Max Schuchart
jrhys,Wide Sargasso Sea,1966,English,W. W. Norton & Company,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,196,
jrhys,Wide Sargasso Sea,1966,English,W. W. Norton Company,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,159,
jrhys,Wide Sargasso Sea,2016,English,W. W. Norton & Company,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,176,
jrhys,"Good Morning, Midnight",2020,English,W. W. Norton & Company,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,208,
jrhys,After Leaving Mr. Mackenzie,1931,English,W. W. Norton & Company,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,208,
jrhys,The Collected Short Stories,1992,English,W. W. Norton & Company,"New York, NY",United States,new_york_ny_united_states,Fiction (Short Story Collection),n,403,
jrhys,Voyage In The Dark,1994,English,W. W. Norton & Company,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,192,
jrhys,"Left Bank, And Other Stories",1927,English,Books for Libraries Press,"Freeport, NY",United States,new_york_ny_united_states,Fiction (Short Story Collection),n,256,
jrhys,Tigers Are Better-Looking;: With A Selection From The Left Bank: Stories,1968,English,Andre Deutsch Limited,London,England,london_ldn_england,Fiction (Short Story Collection),n,236,
jrhys,Wide Sargasso Sea,1989,English,Hodder and Stoughton,London,England,london_ldn_england,Fiction (Novel),n,159,
jrhys,Wide Sargasso Sea,1983,English,Andre Deutsch Limited,London,England,london_ldn_england,Fiction (Novel),n,159,
jrhys,Wide Sargasso Sea,1981,English,Penguin Books,London,England,london_ldn_england,Fiction (Novel),n,159,
jrhys,The Left Bank & Other Stories,1984,English,Ayer Company Publishers,"North Stratford, NH",United States,north_stratford_nh_united_states,Fiction (Short Story Collection),n,256,Co-authors: Ford Madox Ford
jrhys,Voyage In The Dark,1984,English,Penguin Books,London,England,london_ldn_england,Fiction (Novel),n,192,Co-authors: Julia Alvarez
jrhys,Voyage In The Dark,1982,English,W. W. Norton & Company,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,192,Co-authors: Julia Alvarez
jrhys,Voyage In The Dark,1981,English,Penguin Books,London,England,london_ldn_england,Fiction (Novel),n,192,Co-authors: Julia Alvarez
jrhys,After Leaving Mr. Mackenzie,1990,English,Carroll & Graf,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,184,Co-authors: Miranda Seymour
jrhys,After Leaving Mr. Mackenzie,1939,English,Penguin Books,London,England,london_ldn_england,Fiction (Novel),n,184,Co-authors: Miranda Seymour
jrhys,After Leaving Mr. Mackenzie,1987,English,Penguin Books,London,England,london_ldn_england,Fiction (Novel),n,184,Co-authors: Miranda Seymour
jrhys,After Leaving Mr Mackenzie,1982,English,Penguin Books,London,England,london_ldn_england,Fiction (Novel),n,184,Co-authors: Miranda Seymour
jrhys,After Leaving Mr Mackenzie,1981,English,Penguin Books,London,England,london_ldn_england,Fiction (Novel),n,184,Co-authors: Miranda Seymour
jrhys,After Leaving Mr. Mackenzie,1930,English,Isis Large Print,Oxford,England,,Fiction (Novel),n,184,Co-authors: Miranda Seymour
jrhys,After Leaving Mr Mackenzie,1900,English,Penguin Books,London,England,london_ldn_england,Fiction (Novel),n,184,Co-authors: Miranda Seymour
jrhys,Quartet,1929,English,Penguin Books,London,England,london_ldn_england,Fiction (Novel),n,163,
jrhys,Quartet,1987,English,Penguin Books,London,England,london_ldn_england,Fiction (Novel),n,163,
jrhys,Quartet,1983,English,Penguin Books,London,England,london_ldn_england,Fiction (Novel),n,163,
jrhys,Smile Please: An Unfinished Autobiography,1979,English,Penguin Books,London,England,london_ldn_england,Autobiography/Memoir,n,157,
jrhys,Smile Please: An Unfinished Autobiography,1983,English,Creative Arts Book Company,"Berkeley, CA",United States,berkeley_ca_united¬†states,Autobiography/Memoir,n,157,
jrhys,Smile Please: An Unfinished Autobiography,1981,English,Penguin Books,London,England,london_ldn_england,Autobiography/Memoir,n,157,
jrhys,Sleep It Off Lady: Stories,1976,English,Penguin Books,London,England,london_ldn_england,Fiction (Short Story Collection),n,175,
