Juan Francisco Manzano,jfmanzano,cuba,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
jfmanzano,The Life and Poems of a Cuban Slave: Juan Francisco Manzano 1797–1854,2014,English,Palgrave Macmillan,London,England,london_england,Poetry Collection,y,237,
jfmanzano,Poemas,2009,Spanish,Editorial Linkgua,Madrid,Spain,madrid_spain,Poetry Collection,n,106,1972
jfmanzano,Poemas,2011,Spanish,World Classics,Madrid,Spain,madrid_spain,Poetry Collection,n,96,1972
jfmanzano,Zafira,2010,Spanish,Red Ediciones,Barcelona,Spain,barcelona,Fiction (Novel),n,114,2009
jfmanzano,Autobiografía de un Esclavo,2019,Spanish,Editorial Linkgua,Madrid,Spain,madrid_spain,Biography,n,117,1975
jfmanzano,Autobiografía de un Esclavo,2010,Spanish,Editorial Linkgua,Madrid,Spain,madrid_spain,Biography,n,50,1975
jfmanzano,Autobiografía del Esclavo Poeta y Otros Escritos,2018,Spanish,Iberoamericana Vervuert,Madrid,Spain,madrid_spain,Biography,n,396,
jfmanzano,"Juan Francisco Manzano, Esclavo Poeta En La Isla De Cuba",2000,Spanish,Ediciones Episteme,Valencia,Spain,valencia_v_spain,Biography,n,389,
jfmanzano,Autobiografía del Esclavo Poeta y Otros Escritos,2007,Spanish,Iberoamericana Vervuert,Madrid,Spain,madrid_spain,Biography,n,325,
jfmanzano,The Life and Poems of a Cuban Slave,2014,English,Macmillan Publishers,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,221,
jfmanzano,Autobiografia de un Esclavo,1996,Spanish,Wayne State University Press,"Detroit, MI",United States,detroit_mi_united_states,Biography,n,117,1975
jfmanzano,Un esclave-poète à Cuba au temps du péril noir,2004,French,"Centre d'études et de recherches caraïbéennes, université des Antilles et de la Guyane, cop.",Paris,France,paris_fr_france,Biography,y,155,Alain Yacou
