Julia Alvarez,jalvarez,dominican_republic,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
jalvarez,In the Time of the Butterflies,1994,English,Algonquin Books,"Chapel Hill, NC",United States,chapel_hill_nc_united_states,Fiction (Novel),n,336,
jalvarez,How the García Girls Lost Their Accents,1991,English,Plume,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,290,
jalvarez,Old Age Ain't For Sissies,1979,English,Crane's Creek Press,"Cameron, NC",United States,cameron_nc_united¬†states,Poetry Collection,n,72,"Oldham, Pamolu"
jalvarez,Homecoming: new and collected poems,1996,English,Plume Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,128,
jalvarez,A cafecito story,2002,English,Chelsea Green Publishing Company,"Chelsea, VT",United States,chelsea_vt_united¬†states,Fiction (Novel),n,69,"Cocco-DeFilippis, Daisy; Ramírez, Belkis; Eichner, Bill"
jalvarez,Tía Lola stories,2010,English,Yearling,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,160,Michelle González; Listening Library
jalvarez,In the name of salome,2013,English,Algonquin Books of Chapel Hill,"Chapel Hill, NC",United States,chapel_hill_nc_united_states,Fiction (Novel),n,370,
jalvarez,Antes de ser libres,2018,Spanish,Ember,"Nueva York, NY",United States,nueva_york_ny_united¬†states,Fiction (Novel),n,184,"Valenzuela, Liliana; Juan, Ana"
jalvarez,In the time of the butterflies,2016,English,Recorded Books,"Prince Frederick, MD",United States,prince_frederick,Fiction (Novel),n,352,"de la Puente, Noemi; 2000"
jalvarez,How the García girls lost their accents,2021,English,Plume Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,304,"Acevedo, Elizabeth"
jalvarez,Homecoming,1984,English,Grove/Atlantic,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,128,"Pack, Robert"
jalvarez,Die Zeit der Schmetterlinge Roman,2017,German,Piper Edition,Munich,Germany,munich_germany,Fiction (Novel),y,460,"Enzenberg, Carina von; Zahn, Hartmut; Piper Verlag"
jalvarez,¡Yo!,2019,English,Algonquin Books,"Chapel Hill, NC",United States,chapel_hill_nc_united_states,Fiction (Novel),n,320,
jalvarez,Afterlife,2021,English,Algonquin Books,"Chapel Hill, NC",United States,chapel_hill_nc_united_states,Fiction (Novel),n,269,
jalvarez,Seven trees,1998,English,Kat Ran Press,"North Andover, MA",United States,north_andover_ma_united¬†states,Fiction (Novel),n,25,Kat Ran Press
jalvarez,How Tia Lola came to visit stay,2013,English,Zaner-Bloser,"Columbus, OH",United States,columbus_oh_united¬†states,Fiction (Novel),n,147,
jalvarez,Something to declare: essays,2014,English,Algonquin Of Chapel Hill,"Chapel Hill, NC",United States,chapel_hill_nc_united_states,Fiction (Novel),n,300,
jalvarez,Im Namen der Salomé Roman,2017,German,Piper Verlag GmbH,Munich,Germany,munich_germany,Fiction (Novel),y,423,"Enzenberg, Carina von; Piper Verlag; 2017"
jalvarez,Yolanda: Roman,2017,German,Piper Verlag GmbH,Munich,Germany,munich_germany,Fiction (Novel),y,357,"Rumler, Irene; Piper Verlag"
jalvarez,Return to sender,2018,English,Knopf Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,339,
jalvarez,En el tiempo de las mariposas,2016,Spanish,Recorded Books,"Prince Frederick, MD",United States,prince_frederick,Fiction (Novel),n,352,
jalvarez,Once upon a quinceanera: coming of age in the usa,2014,English,Plume,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,275,
jalvarez,Finding miracles,2018,English,Laurel Leaf,Philippines,Asia,philippines_asia,Fiction (Novel),n,287,
jalvarez,En busca de milagros,2009,Spanish,Laurel Leaf,Philippines,Asia,philippines_asia,Fiction (Novel),n,264,"OverDrive, Inc"
jalvarez,In de tijd van de vlinders,2006,Dutch,Poema Pocket,Amsterdam,Netherlands,amsterdam_neverlands,Fiction (Novel),y,365,"Falger, Lon"
