Julia Alvarez,jalvarez,united_states,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
jalvarez,In the Time of the Butterflies,1994,English,Algonquin Books,"Chapel Hill, NC",United States,chapel_hill_nc_united¬†states,Fiction (Novel),n,336,
jalvarez,How the García Girls Lost Their Accents,1991,English,Plume,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,290,
jalvarez,Old Age Ain't For Sissies,1979,English,Crane's Creek Press,"Cameron, NC",United States,cameron_nc_united¬†states,Anthology,n,72,"Oldham, Pamolu"
jalvarez,Homecoming: New And Collected Poems,1996,English,Plume Books,"New York, NY",United States,new_york_ny_united_states,Poetry Collection,n,120,
jalvarez,A Cafecito Story,2002,English,Chelsea Green Publishing Company,"Chelsea, VT",United States,chelsea_vt_united¬†states,Fiction (Novel),n,69," Cocco-DeFilippis, Daisy; Ramírez, Belkis; Eichner, Bill"
jalvarez,Tía Lola stories,2010,English,Yearling,"New York, NY",United States,new_york_ny_united_states,Fiction (Short Story Collection),n,134,Michelle González; Listening Library
jalvarez,In The Name Of Salome,2013,English,Algonquin Books of Chapel Hill,"Chapel Hill, NC",United States,chapel_hill_nc_united¬†states,Fiction (Novel),n,320,
jalvarez,Antes De Ser Libre,2018,Spanish,Ember,"Nueva York, NY",United States,nueva_york_ny_united¬†states,Fiction (Novel),n,184,"Valenzuela, Liliana; Juan, Ana"
jalvarez,In The Time Of The Butteflies,2016,English,Recorded Books,"Prince Frederick, MD",United States,prince_frederick_md_united¬†states,Fiction (Novel),n,337,"de la Puente, Noemi"
jalvarez,How the Garcia Girls Lost Their Accents,2021,English,Plume Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,304,"Acevedo, Elizabeth"
jalvarez,Homecoming: New And Collected Poems,1984,English,Grove/Atlantic,"New York, NY",United States,new_york_ny_united_states,Poetry Collection,n,120,"Pack, Robert"
jalvarez,Die Zeit der Schmetterlinge Roman,2017,German,Piper Edition,Munich,Germany,munich_germany,Fiction (Novel),y,460,"Enzenberg, Carina von; Zahn, Hartmut; Piper Verlag"
jalvarez,¡Yo!,2019,English,Algonquin Books,"Chapel Hill, NC",United States,chapel_hill_nc_united¬†states,Fiction (Novel),n,320,
jalvarez,Afterlife,2021,English,Algonquin Books,"Chapel Hill, NC",United States,chapel_hill_nc_united¬†states,Fiction (Novel),n,269,
jalvarez,Seven Trees ,1998,English,Kat Ran Press,"North Andover, MA",United States,north_andover_ma_united¬†states,Poetry Collection,n,25,Kat Ran Press
jalvarez,How Tia Lola Came To (Visit) Stay,2013,English,Zaner-Bloser,"Columbus, OH",United States,columbia_mo_united¬†states,Fiction (Novel),n,147,
jalvarez,Something To Declare: Essays,2014,English,Algonquin Of Chapel Hill,"Chapel Hill, NC",United States,chapel_hill_nc_united¬†states,Anthology,n,300,
jalvarez,Im Namen Der Salomé Roman,2017,German,Piper Verlag GmbH,Munich,Germany,munich_germany,Fiction (Novel),y,423,Carina von; Piper Verlag
jalvarez,Yolanda: Roman,2017,German,Piper Verlag GmbH,Munich,Germany,munich_germany,Fiction (Novel),y,357,"Rumler, Irene; Piper Verlag"
jalvarez,Return To Sender,2018,English,Knopf Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,339,
jalvarez,En El Tiempo De Las Mariposas: In The Time Of The Butterflies,2016,Spanish,Recorded Books,"Prince Frederick, MD",United States,prince_frederick_md_united¬†states,Fiction (Novel),n,304,
jalvarez,Once Upon A Quinceanera: Coming Of Age In The USA,2014,English,Plume,"New York, NY",United States,new_york_ny_united_states,Nonfiction Book,n,275,
jalvarez,Finding Miracles,2018,English,Laurel Leaf,Philippines,Asia,philippines_asia,Fiction (Novel),n,287,
jalvarez,En Busca De Milagros,2009,Spanish,Laurel Leaf,Philippines,Asia,philippines_asia,Fiction (Novel),n,224,
jalvarez,In De Tijd Van De Vlinders,2006,Dutch,Poema Pocket,Amsterdam,Netherlands,amsterdam_netherlands,Fiction (Novel),y,365,"Falger, Lon"
