Lawrence Scott,lscott,trinidad_& tobago,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,Pub_city,Country,Pub_id,Genre,Translation,Length,Descriptor
lscott,"Ballad For The New World, And Other Stories",1994,English,Heinemann,London,England,london_england,Fiction (Short Story Collection),n,114,
lscott,Witchbroom,1993,English,Heinemann,London,England,london_ldn_england,Fiction (Novel),n,288,
lscott,Dangerous Freedom: Elizabeth D'Aviniere's Story,2021,English,Papillote Press,London,England,london_ldn_england,Fiction (Novel),n,290,
lscott,Aelred's Sin,2014,English,Allison & Busby,London,England,london_ldn_england,Fiction (Novel),n,448,
lscott,Light Falling on Bamboo,2012,English,Profile Books Limited,London,England,london_ldn_england,Fiction (Novel),n,472,
lscott,Night Calypso,2004,English,Allison & Busby,London,England,london_ldn_england,Fiction (Novel),n,418,
lscott,Leaving by Plane Swimming Back Underwater,2015,English,Papillote Press,London,England,london_ldn_england,Fiction (Short Story Collection),,195,
lscott,"Golconda - Our Voices, Our lives",2009,English,"University of Trinidad and Tobago Press,",NA,Trinidad & Tobago,trinidad_&_tobago,Nonfiction Book,n,146,
lscott,Balai de Sorcière,2020,French,Mémoire d’Encrier,Montreal,Canada,,Fiction (Novel),y,360,
lscott,Calypso De Nuit,2005,French,Sabine Wespieser éditeur,"Paris, FR",France,paris_fr_france,Fiction (Novel),y,NA,
