Louis-Philippe Dalembert,lpdalembert,haiti,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
lpdalembert,The Mediterranean Wall,2019,English,Schaffner Press,"Tucson, AZ",United States,tuscon_az_united¬†states,Fiction (Novel),y,352,
lpdalembert,The Other Side of the Sea,2021,English,University of Virginia Press," Charlottesville, VA",United States,charlottesville_va_united¬†states,Fiction (Novel),y,136,
lpdalembert,Les Bas-Fonds de la mémoire,2012,French,NA,Port-au-Prince,Haiti,port_au_prince_haiti,Fiction (Short Story Collection),n,153,
lpdalembert,Le Songe d’une Photo d’enfance,1993,French, Le Serpent à Plumes,Paris,France,paris_france,Fiction (Short Story Collection),n,161,
lpdalembert,Le crayon du bon Dieu n’a pas de gomme,1996,French,Stock,Paris,France,paris_france,Fiction (Novel),n,275,
lpdalembert,L’Autre Face de la mer,1998,French,Stock,Paris,France,paris_france,Fiction (Novel),n,224,
lpdalembert,L’Ile du bout des rêves,2007,French,Le Serpent à Plumes,Paris,France,paris_fr_france,Fiction (Novel),n,301,
lpdalembert,Rue du Faubourg Saint-Denis,2005,French,Editions du Rocher,NA,Monaco,monaco_europe,Fiction (Novel),n,171,
lpdalembert,Les dieux voyagent la nuit,2006,French,Editions du Rocher,NA,Monaco,monaco_europe,Fiction (Novel),n,220,
lpdalembert,Histoires d'amour impossibles,2007,French,Editions du Rocher,n,Monaco,monaco_europe,Fiction (Short Story Collection),n,214,
lpdalembert,Noires blessures,2011,French,Mercure de France,Paris,France,paris_fr_france,Fiction (Novel),n,224,
lpdalembert,Ballade d'un amour inachevé,2013,French,Mercure de France,Paris,France,paris_fr_france,Fiction (Novel),n,282,
lpdalembert,Avant que les ombres s'effacent,2017,French,Sabine Wespieser éditeur,Paris,France,paris_fr_france,Fiction (Novel),n,296,
lpdalembert,Le Roman de Cuba,2009,French,Editions du Rocher,NA,Monaco,monaco_europe,Essay,n,276,
lpdalembert,"Haïti, une traversée littéraire, en collaboration avec Lyonel Trouillot",2010,French,Culturesfrance,Paris,France,paris_fr_france,Essay,n,171,
lpdalembert,Evangile pour les miens,1982,French,Choucoune,Port-au-Prince,Haiti,port_au_prince_haiti,Poetry Collection,n,353,
lpdalembert,Et le soleil se souvient (followed by) Pages cendres et palmes d’aube,1989,French,L’Harmattan,Paris,France,paris_fr_france,Poetry Collection,n,147,
lpdalembert,Poème pour accompagner l’absence,2005,French,Mémoire d’encrier,"Montréal, QC",Canada,montreãåal_qc_canada,Peom,n,56,
