Michel Fabre,mfabre,netherlands,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
mfabre,The Crimson Petal and the White,2003,English,Canongate Books,Edinburgh,England,edinburgh_england,Fiction,y,922,
mfabre,The Book of Strange New Things,2014,English,Hogarth Press,London,England,london_ldn_england,Fiction,y,500,
mfabre,Under the Skin,2004,English,Canongate Books Ltd,Edinburgh,England,edinburgh_england,Fiction,y,296,
mfabre,D: A Tale of Two Worlds,2020,English,Hanover Square Press,"New York, NY",United States,new_york_ny_united states,Fiction,y,304,
mfabre,The Apple: New Crimson Petal Stories,2006,English,Canongate Books Ltd,Edinburgh,England,edinburgh_england,Fiction,y,199,
mfabre,The Fire Gospel,2008,English,Canongate Books Ltd,Edinburgh,England,edinburgh_england,Fiction,y,208,
mfabre,The Hundred and Ninety-Nine Steps,2002,English,Canongate Books Ltd,Edinburgh,England,edinburgh_england,Fiction,y,116,
mfabre,The Fahrenheit Twins,2005,English,Canongate Books Ltd,Edinburgh,England,edinburgh_england,Fiction,y,276,
mfabre,Some Rain Must Fall: And Other Stories,2001,English,Mariner Books,"Bostan, MA",United States,boston_ma_united states,Fiction,y,276,
mfabre,The Courage Consort: Three Novellas,2005,English,Harvest Books,"Columbus County, Ohio",United States,columbus_oh_united states,Fiction,y,232,
mfabre,Undying: A Love Story,2016,English,Canongate Books Ltd,Edinburgh,England,edinburgh_england,Fiction,y,122,
mfabre,Vanilla Bright like Eminem,2007,English,Houghton Mifflin Harcourt,"Bostan, MA",United States,boston_ma_united states,Fiction ,y,246,
mfabre,A voce nuda,2005,Italian,Einaudi,Turin,Italy,,Fiction,y,115,
mfabre,La Rose Pourpre Et Le Lys Tome 2,2006,French,Le Seuil,Paris,France,paris_fr_france,Fiction,y,605,
mfabre,Shorts IV: the Macallan/Scotland on Sunday short story collection,2002,English,Polygon,Edinburgh,England,edinburgh_england,Fiction,n,259,
mfabre,De 199 trin,2021,Danish,Gyldendal,Copenhagen,Denmark,copenhagen_denmark,NA,y,NA,
