Michelle Cliff,mcliff,jamaica,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,Pub_city,Country,Pub_id,Genre,Translation,Length,Descriptor
mcliff,Abeng,1995,English ,Plume,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,167,
mcliff,No Telephone to Heaven,1987,English ,Dutton,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,211,
mcliff,Bodies of Water,1990,English ,Dutton,"New York, NY",United States,new_york_ny_united_states,Fiction (Short Story Collection),n,160,
mcliff,Free Enterprise: A Novel of Mary Ellen Pleasant,1993,English ,Dutton,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,224,
mcliff,The Store of a Million Items,1998,English ,Houghton Mifflin Company,"New York, NY",United States,new_york_ny_united_states,Fiction (Short Story Collection),n,115,
mcliff,Free Enterprise: A Novel of Mary Ellen Pleasant,2004,English ,City Lights Publishers," San Francisco, California",United States,san_franciso_ca_united¬†states,Fiction (Novel),n,224,
mcliff,Everything is Now: New and Collected Stories,2009,English ,University of Minnesota Press," Minneapolis, Minnesota",United States,minneapolis_mn_united¬†states,Fiction (Short Story Collection),n,248,
mcliff,Into the Interior,2010,English ,University of Minnesota Press," Minneapolis, Minnesota",United States,minneapolis_mn_united¬†states,Fiction (Novel),n,128,
mcliff,The Land of Look Behind and Claiming,1985,English ,Firebrand Books," Ann Arbor, Michigan",United States,ann_arbor_mi_united¬†states,Anthology,n,112,
mcliff,Claiming an Identity They Taught Me to Despise,1980,English ,Persephone Press," Bath, Somerset",England,bath_england,Anthology,n,64,
