 Norberto Codina,ncodina,venezuela,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
ncodina,La Siempreviva Revista Literaria Numeros 23 y 24 del 2016 en su Lugar La Poesia,1971,Spanish,Instituto Cubano del Libro,Havana,Cuba,havana_cuba,Fiction,n,176,"Contributors: Andrade, Orlando; Lima, Chely; Santiago Bolanos, Marife; Velasquez, Ernesto; Madrid, Edwin; Bernal, Sergio O Valdes; Cervera Salinas, Vicente; Velazco, Yanelis; Fonseca, Daneris Fernandez; Marron, Eugenio; Diaz de"
ncodina,"Siglo pasado
",2003,Spanish,Editorial Capiro,Sanata Clara,Cuba ,santa_clara_cuba,Biography,n,285,Original Publication Date: 2002
ncodina,"Convexa pesadumbre",2006,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Poetry,n,81, 
ncodina,A este tiempo llamarán antiguo,1975,Spanish,Unión de Escritores y Artistas de Cuba,Havana,Cuba,havana_cuba,Fiction,n,48, 
ncodina,"Escenas entrevistas : diecisiete personajes en La gaceta de Cuba",2013,Spanish,Edicones Alarcos,Havana,Cuba,havana_cuba,Biography,n,320,
ncodina,Cuaderno de travesía : poemas,2003,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Poetry,n,144,
ncodina,Los ruidos humanos : (antología poética),2004,Spanish,"CONAC, Dirección Sectorial de Literatura,",Havana,Cuba,havana_cuba,Poetry,n,139,
ncodina,Para verte mejor 2 : pasajes del cine cubano en La Gaceta de Cuba,2015,Spanish,Ediciones ICAIC,Havana,Cuba,havana_cuba,Non Fiction,n,448,
ncodina,Lugares comunes,1987,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Fiction,n,72,
ncodina,Cajón de bateo : algunas claves entre beisbol y cultura,2012,Spanish,Ediciones Matanzas,Havana,Cuba,havana_cuba,Non Fiction,n,255,
