Peter Abrahams,pabrahams,jamaica,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
pabrahams,This Island Now,1966,English,Faber and Faber,London,England,london_england,Fiction (Novel),n,264,
pabrahams,Tell freedom : memories of Africa,1971,English,Alfred A. Knopf,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,370,
pabrahams,Down the rabbit hole,2012,English,Walker,London,England,london_europe,Fiction (Novella),n,26,
pabrahams,The Fan,2002,English,Fawcett,"New York, NY",United States,new_york_ny_united_states,Fiction (Novella),n,297,
pabrahams,Pressure drop,1991,English,Onyx ,"New York, NY",United States,new_york_ny_united_states,Fiction (Novella),n,402,
pabrahams,Up all night : a short story collection,2009,English,Harperteen,"New York, NY",United States,new_york_ny_united_states,Fiction (Short Story Collection),n,260,Laura Geringer
pabrahams,Outlaws of sherwood street : giving to the poor,2014,English,Puffin Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novella),n,283,
pabrahams,Zabawa w porwanego,2005,Polish,C & T,Toruń,Poland,,Fiction (Novella),y,312,Translated by Violetta Dobosz; Agnieszka Rolka
pabrahams,Dark testament,1970,English,Kraus Reprint,Nendeln,Liechtenstein,nendeln_liechtenstein,Fiction (Novella),n,160,
pabrahams,Delusion,2009,English,Harper,"New York, NY",United States,new_york_ny_united_states,Fiction (Novella),n,321,
pabrahams,End of story,2007,English,Harper,"New York, NY",United States,new_york_ny_united_states,Fiction (Novella),n,339,
pabrahams,Bullet point,2010,English,HarperTeen,"New York, NY",United States,new_york_ny_united_states,Fiction (Short Story Collection),n,294,
pabrahams,Last of the Dixie heroes,2002,English,Fawcett Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Short Story Collection),n,322,
pabrahams,Anthologie africaine et malgache,1966,French,Seghers ,Paris,France,paris_fr_france,Fiction (Short Story Collection),y,307,Langston Hughes
pabrahams,Return to Goli,1953,English,Faber and Faber,London,England,london_europe,Autobiography/Memoir,n,224,
pabrahams,Behind the curtain,2012,English,Walker,London,England,london_europe,Fiction (Short Story Collection),n,296,
pabrahams,Tongues of fire,1985,English,Pocket Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novella),n,306,
pabrahams,Lights out,2002,English,Fawcett Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novella),n,329,
pabrahams,The human body,2015,English,Amber Books,London,England,london_europe,Fiction (Novella),n,256,
pabrahams,The unknown Orwell,1994,English,Constable,London,England,london_europe,Biography,n,270,William Abrahams
