Philippe Thoby-Marcelin,ptmarcelin,haiti,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
ptmarcelin,Dialogue Avec La Femme Endormie,1941,French,Éditions La Réserve,Port-au-Prince,Haiti,port_au_prince_haiti,Poetry Collection,n,NA,
ptmarcelin,Tous Les Hommes Sont Fous: Roman,1980,French,Éditions Nouvelle Optique,"Montréal, QC",Canada,montréal_qc_canada,Fiction (Novel),n,223,Pierre Marcelin
ptmarcelin,La Bete De Musseau: Roman,1946,French,La Maison Française,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,218,Pierre Marcelin
ptmarcelin,Canapé-Vert,1944,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,225,Pierre Marcelin
ptmarcelin,Le Crayon de Dieu,1952,French,Éditions de la Table ronde,Paris,France,paris_france,Fiction (Novel),n,254,Pierre Marcelin
ptmarcelin,Panorama de l’art Haitien,1956,French,Imprimerie de l’État,Port-au-Prince,Haiti,port_au_prince_haiti,Essay,n,75,
ptmarcelin,La Négresse Adolescente,1932,French,La Presse,Port-au-Prince,Haiti,port_au_prince_haiti,Poem,n,30,
ptmarcelin,À Fonds perdu,1953,French,P. Seghers Publishers,Paris,France,paris_fr_france,Poetry Collection,n,39,
ptmarcelin,Poèmes,1986,French,Candida Gellery,"Cazenovia, NY",United States,,Poetry Collection,n,NA,
ptmarcelin,Contes et Légendes d’Haïti.,1967,French,F. Nathan,Paris,France,paris_fr_france,Fiction (Short Story Collection),n,253,Pierre Marcelin
ptmarcelin,"Sango et Les Diables, suivi de Les Oeufs de la Mendiante.",2000,French,Éditions Choucoune,Port-au-Prince,Haiti,port_au_prince_haiti,Short Story,n,30,
ptmarcelin,Canapé-Vert,1944,English,Farrar and Rinehart,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,NA,
ptmarcelin,The Beast of the Haitian Hills,1986,English,City Light Books,"San Francisco, CA",United States,san_francisco_ca_united_states,Fiction (Novel),y,179,
ptmarcelin,The Pencil of God,1951,English,Houghton Mifflin,"Boston, MA",United States,boston_ma_united_states,Fiction (Novel),y,204,
ptmarcelin,All Men are Mad,1970,English,Farrar and Rinehart,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,179,
ptmarcelin,The Singing Turtle and Other Tales from Haiti,1971,English,Farrar and Rinehart,"New York, NY",United States,new_york_ny_united_states,Fiction (Short Story Collection),y,115,
ptmarcelin,Canape Verde,1947,Spanish,Siglo Veinte,Buenos Aires,Argentina,,Fiction (Novel),y,189,
ptmarcelin,Todos los Hombres están Locos,1971,Spanish,Editorial Novaro,Mexico City,Mexico,mexico_city_mexico,Fiction (Novel),y,158,
