Sarah Lark,slark,england,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
slark,Eine Hoffnung am Ende der Welt : Roma,2015,German,Lübbe,Köln,Germany,,Fiction (Novel),y,413,
slark,Na kraĭ sveta za mechtoĭ : roman,2016,Russian,Klub Semeĭnogo Dosuga,Belgorod,Russia,,Fiction (Novel),y,315,
slark,Hope at the end of the world,2017,English,Amazon Publishing ,"Seattle, WA",United States,seattle_wa_united¬†states,Fiction (Novel),n,267,D W Lovett
slark,Naděje na konci světa,2017,Czech, Knižní klub,Praha,Czech Republic,praha_czech_republic,Fiction (Novel),y,270,Dagmar Hoangová
slark,Una promesa a la fi del món,2017,Catalan,Grupo Zeta,Barcelona,Spain,,Fiction (Novel),y,442,Emma García Carbassa
slark,Dove tutto diventa possibile,2017,Italian,Giunti,Milano,Italy,milano_italy,Fiction (Novel),y,307,
slark,Een nieuwe wereld,2017,Dutch,De Fontein,Utrecht,The Netherlands,,Fiction (Novel),y,333,Jolanda te Lindert
slark,Nadzieja na końcu świata,2017,Polish,Wydawnictwo Sonia Draga,Katowice,Poland,,Fiction (Novel),y,309, Anna Makowiecka-Siudut; Wydawnictwo Sonia Draga.
slark,Una promesa en el fin del mundo,2017,Spanish,Barcelona Ediciones,Barcelona,Spain,,Fiction (Novel),y,436,Susana Andrés
slark,Cerība pasaules malā,2019,Latvian,Zvaigzne ABC,Rigā,Latvia,riga_latvia,Fiction (Novel),y,237,Inese Miesniece
slark,Song of the spirits,2013,English,Amazon Publishing ,"Seattle, WA",United States,seattle_wa_united¬†states,Fiction (Novel),n,687,D W Lovett
slark,In the land of the long white cloud,2012,English, AmazonCrossing,"Las Vegas, NV",,,Fiction (Novel),n,659,D W Lovett
slark,En el país de la nube blanca,2021,Spanish,B de Bolsillo,Barcelona,Spain ,,Fiction (Novel),y,746,Susana Andrés
slark,Die Tränen der Māori-Göttin : Roman,2012,German,Lübbe,Köln,Germany,,Fiction (Novel),y,894,
slark,Bogowie Maorysów,2015,Polish,Wydawnictwo Sonia Draga,Katowice,Poland,,Fiction (Novel),y,726, Anna Makowiecka-Siudut; Wydawnictwo Sonia Draga.
slark,Las lágrimas de la diosa Maorí,2015,Spanish,Grupo Zeta,Barcelona,Spain ,,Fiction (Novel),y,802,Susana Andrés 
slark,"De dag van de zonnewende",2016,Dutch,De Fontein,Utrecht,The Netherlands ,,Fiction (Novel),y,653,Jolanda te Lindert
slark,Larmes de la deesse maorie,2018,French ,Editions de L'Archipel,Paris,France,paris_fr_france,Fiction (Novel),y,646,Jean-Marie Argelès
slark,Les llàgrimes de la deessa maori,2018,Catalan,B de Bolsillo,Barcelona,Spain ,,Fiction (Novel),y,820,Emma García Carbassa
slark,Unter fernen Himmeln : Roman,2016,German,Lübbe,Köln,Germany,,Fiction (Novel),y,589,
