Soleida Rios,srios,cuba,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
srios,Fuga: Una Antología Personal,2004,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Anthology,n,169,
srios,Antes Del Mediodía: Memoria Del Sueño,2011,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction (Novel),n,246,
srios,Antes Del Mediodía: Memoria Del Sueño,2019,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction (Novel),n,246,
srios,De Pronto Abril,1979,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Poetry Collection,n,47,
srios,De La Sierra,1977,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Poetry Collection,n,23,
srios,"A Wa Nile, Poesias",2017,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Poetry Collection,n,NA,
srios,Bocaciega,2019,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Poetry Collection,n,78,
srios,"Estrías, Poesias",2015,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Poetry Collection,n,133,
srios,"Estrías, Poesias",2013,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Poetry Collection,n,133,
srios,The Dirty Text,2018,English,Ediciones Unión,Havana,Cuba,havana_cuba,Anthology,y,145,
srios,El Retrato Ovalado,2018,English,Ediciones Unión,Havana,Cuba,havana_cuba,Nonfiction Book,y,185,
srios,Libro Cero,1998,Spanish,Letras Cubanas,Havana,Cuba,havana_cuba,Poetry Collection,n,97,
srios,Estrias,2009,Spanish,Eds. Vigía,Matanzas,Cuba,matanzas_cuba,Poetry Collection,n,133,
srios,Poesia Infiel,1989,Spanish,Abril,Havana,Cuba,havana_cuba,Poetry Collection,n,182,
srios,Dos Poemas,2009,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Poetry Collection,n,NA,
