Velma Pollard,vpollard,jamaica,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,Pub_city,Country,Pub_id,Genre,Translation,Length,Descriptor
vpollard,Considering Woman,1989,English,Women's Press,London,England,london_england,Fiction (Novel),n,77,
vpollard,Parable II,1977,English,Taylor & Francis,Oxfordshire,England,oxfordshire_england,Fiction (Short Story Collection),n,2,
vpollard,Parable I,1977,English,Taylor & Francis,Oxfordshire,England,oxfordshire_england,Fiction (Short Story Collection),n,1,
vpollard,The Dust A Tribute To The Folk,1980,English,Caribbean Quaterly,Oxfordshire,England,oxfordshire_england,Short Story,n,7,
vpollard,Language In The Poetry Of Edward Brathwaite,1980,English,Taylor & Francis Online,Oxfordshire,England,oxfordshire_england,Essay,n,12,
vpollard,British Museum And After,1978,English,Taylor & Francis,Oxfordshire,England,oxfordshire_england,Poem,n,2,
vpollard,Leaving Traces,2008,English,Peepal Tree Press,Leeds,England,leeds_england,Poetry Collection,n,92,
vpollard,Karl And Other Stories,1994,English,Longman Publishing,Harlow,England,harlow_england,Fiction (Short Story Collection),n,203,
vpollard,Homestretch,1994,English,Longman Publishing,Harlow,England,harlow_england,Fiction (Novel),n,189,
vpollard,Crown Point & Other Poems,2003,English,Peepal Tree Press,Leeds,England,leeds_england,Poetry Collection,n,137,
vpollard,Karl And Other Stories,1988,English,Longman Publishing,Harlow,England,harlow_england,Fiction (Short Story Collection),n,203,
vpollard,The Social History Of Dread Talk,1982,English,Taylor & Francis,Oxfordshire,England,oxfordshire_england,Nonfiction Book,n,117,
vpollard,Crown Point & Other Poems,1988,English,Peepal Tree Press,Leeds,England,leeds_england,Poetry Collection,n,84,
vpollard,"Anansesem: A Collection Of Caribbean Folk Tales, Legends And Poems For Juniors",1985,English,Longman Caribbean,Kingston,Jamaica,kingston_jamaica,Anthology,n,141,
vpollard,Code-switching In Jamaica Creole: Some Educational Implications,1978,English,Caribbean Journal of Education,Kingston,Jamaica,kingston_jamaica,Nonfiction Book,n,15,
vpollard,Dread Talk : The Speech Of The Rastafarian in Jamaica,1980,English,Taylor & Francis,Oxfordshire,England,oxfordshire_england,Anthology,n,134,
vpollard,From Jamaican Creole To Standard English: A Handbook For Teachers,2003,English,University of the West Indies Press,Kingston,Jamaica,kingston_jamaica,NA,n,69,
vpollard,Caribbean Languages Lesser Known Varieties,1990,German,De Gruyter,Berlin,Germany,berlin_germany,Nonfiction Book,y,100,
vpollard,Caribbean Languages Lesser Known Varieties,1990,German,De Gruyter,Berlin,Germany,berlin_germany,Nonfiction Book,y,100,
vpollard,Images Of Woman In Some Modern Caribbean Texts,1989,English,"Women and Development Studies, Faculty of Education and the Women's Studies Group, University of the West Indies",Kingston,Jamaica,kingston_jamaica,NA,n,7,
vpollard,Poems,1977,English,Taylor & Francis,Oxfordshire,England,oxfordshire_england,Poetry Collection,n,,
,Nine West Indian poets : an anthology for the CXC English examination,1980,English,Collins,London,England,london_ldn_england,Anthology,n,95,
,Shame trees don't grow here : but poincianas bloom,1992,English,Peepal Tree Press,Leeds,England,leeds_ldn_england,Fiction,n,71,
