Victor Stafford Reid,vsreid,jamaica,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
vsreid,The Leopard,1980,English,Heinemann,Oxford,England,oxford_england,Fiction (Novel),n,108,
vsreid,Buildings In Jamaica,1971,English,Kingston Jamaica Information Service,Kingston,Jamaica,kingston_jamaica,Nonfiction Book,n,68,
vsreid,The Young Warriors,1965,English,Longman Inc.,Harlow,England,harlow_england,Fiction (Novel),n,154,
vsreid,New Day,1950,English,Heinemann,Melbourne,Australia,melbourne_australia,Fiction (Novel),n,359,
vsreid,The Leopard,2008,English,Heinemann,Harlow,England,harlow_england,Fiction (Novel),n,108,
vsreid,Buildings In Jamaica,1970,English,Jamaica Information Service,Kingston,Jamaica,kingston_jamaica,Fiction (Novel),n,68,
vsreid,The Young Warriors,1971,English,Longman Publishing Group,London,England,london_ldn_england,Fiction (Novel),n,154,
vsreid,Sixty-Five,1960,English,"Longmans, Green and Co. in association with the Ministry of Education",London,England,london_ldn_england,Fiction (Novel),n,111,
vsreid,New Day,1972,English,Chatham Bookseller,"Chatham, NJ",United States,chatham_nj_united¬†states,Fiction (Novel),n,359,
vsreid,The Leopard,1988,English,Heinemann,Oxford,England,oxfordshire_england,Fiction (Novel),n,108,
,The Jamaicans,1978,English,Institute of Jamaica,Kingston,Jamaica,kingston_jam_jamaica,Fiction (Novel),n,266,
