Wayne Gerard Trotman,wgtrotman,trinidad_&_tobago,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
wgtrotman,Veterans Of The Psychic Wars,2010,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Fiction,n,424,
wgtrotman,A Tiger's Tale,2019,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Poetry Collection,n,30,
wgtrotman,The Last Honey Bee,2019,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Poetry Collection,n,56,
wgtrotman,An Elephant's Advice,2020,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Poetry ,n,46,
wgtrotman,Images Of Cuba,2015,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Non-fiction,n,162,
wgtrotman,A Letter From A Gorilla,2020,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Poetry Collection,n,32,
wgtrotman,Mattie Boombalatty ,2020,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Short story,n,50,
wgtrotman,"Rum & Red Peppers: 80 Caribbean, Armenian, Middle Eastern & Mediterranean Recipes",2016,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Cookbook,n,226,Sherrie Trotman 
wgtrotman,Song Of The Blue Whale,2020,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Children's Poetry ,n,34,
wgtrotman,Believe In Fairies,2020,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Children's Poetry,n,32,Sherrie Trotman 
wgtrotman,Classic Cars Of Cuba,2015,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Non-fiction,n,168,
wgtrotman,Wayne Gerard Trotman's Rhyming Stories: An Anthology Of Seven Illustrated Children's Poems,2021,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Anthology,n,270,
