Wilson Harris,wharris,guyana,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,Pub_city,Country,Pub_id,Genre,Translation,Length,Descriptor
wharris,Enigma Of Values: An Introduction,1975,Danish,Dangaroo Press,Aarhus,Denmark,aarhus_denmark,Fiction (Novel),y,182,
wharris,Ascent To Omai,1970,English,Faber and Faber,London,England,london_ldn_england,Fiction (novel),n,128,
wharris,The Age Of The Rainmakers,1971,English,Faber and Faber,London,England,london_ldn_england,Fiction (Short Story collection),n,104,
wharris,Tumatumari,1968,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,156,
wharris,The Sleepers Of Roraima: A Carib Trilogy,1970,English,Faber and Faber,London,England,london_ldn_england,Fiction (Short Story collection),n,81,
wharris,"Da Silva Da Silva's Cultivated Wilderness: And, Genesis Of The Clowns",1977,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,148,
wharris,The Eye Of The Scarecrow,1974,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,112,
wharris,Companions Of The Day And Night,1975,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,83,
wharris,The Whole Armour,1973,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,259,
wharris,The Tree Of The Sun,1978,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,94,
wharris,Black Marsden: A Tabula Rasa Comedy,1972,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,111,
wharris,Tradition: The Writer and Society : Critical Essays,1973,English,New Beacon Books,London,England,london_ldn_england,Nonfiction Book,n,75,
wharris,Fossil And Psyche,1974,English,"African and Afro-American Studies and Research Center, University of Texas at Austin",Austin,United States,austin_tx_united¬†states,Fiction (Novel),n,12,
wharris,Eternity To Season,1978,English,New Beacon Books,London,England,london_ldn_england,Poetry Collection,n,85,
wharris,Eternity To Season,1979,English,New Beacon Books,London,England,london_ldn_england,Poetry Collection,n,85,
wharris,Le Palais Du Paon,1979,French,Editions des Autres,Paris,France,paris_fr_france,Fiction (Novel),y,163,"translator: Durix, Jean-Pierre; Maes-Jelinek, Hena; Vercey, Claude"
wharris,The Well and the Land,1952,English,Faber and Faber,London,England,london_ldn_england,Poetry Collection,n,21,
wharris,Fetish,1951,English,Faber and Faber,London,England,london_ldn_england,,n,,
wharris,Kanaima,1964,English,Faber and Faber,London,England,london_ldn_england,Fiction (Short Story Collection),n,,
wharris,"History, Fable and Myth in the Caribbean and Guianas",1970,English,Greenwood Press,Westport CT,United States,west_port_ct_united¬†states,Nonfiction Book,n,,
wharris,Explorations: A Series of Talks and Articles 1966– 1981.,1981,English,Dangaroo Press,Aarhus,Denmark,aarhus_denmark,Nonfiction Book,n,145,
wharris,The Womb of Space: The Cross-Cultural Imagination,1983,English,Greenwood Press,Westport CT,United States,west_port_ct_united¬†states,Nonfiction Book,n,73,
wharris,The Radical Imagination: Lectures and Talks,1992,English,Liège Language and Literature,Liège,Belgium,,Nonfiction Book,n,136,Alan Riach and Mark Williams
wharris,The Unfinished Genesis of the Imagination,1999,English,Routledge,London,England,london_ldn_england,Nonfiction Book,n,292,A.J.M. Bundy
wharris,Palace of the Peacock,1960,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,152,
wharris,The Far Journey of Oudin,1961,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,136,
wharris,The Secret Ladder,1963,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,127,
wharris,Heartland,1964,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,96,
wharris,The Waiting Room,1966,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,,
wharris,The Angel at the Gate,1982,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,,
wharris,Carnival,1985,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,172,
wharris,"The Guyana Quartet (Palace of the Peacock, The Far Journey of Oudin,The Whole Armour, The Secret Ladder)",1985,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,464,
wharris,The Infinite Rehearsal,1987,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,88,
wharris,The Four Banks of the River of Space,1990,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,161,
wharris,Resurrection at Sorrow Hill,1993,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,244,
wharris,"The Carnival Trilogy (Carnival, The Infinite Rehearsal, The Four Banks of the River of Space)",1993,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,427,
wharris,Jonestown,1996,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,234,
wharris,The Dark Jester,2001,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,109,
wharris,The Mask of the Beggar,2003,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,172,
wharris,The Ghost of Memory,2006,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,100,
