Yanitzia Canetti,ycanetti,cuba,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
ycanetti,Un Fabuloso Viaje al Caribe,2002,Spanish,Houghton MIfflin,"Boston, MA",United States,boston_ma_united¬†states,Fiction (Novel),n,48,"Original Publication Date:
Wikipedia Entry: https://en.wikipedia.org/wiki/Yanitzia_Canetti 
"
ycanetti,"I can be president, too!",2012,English,"Scholastic, Inc.",New York,United States,new_york_ny_united_states,Fiction (Novel),y,32,"Original Publication Date: 2009
Wikipedia Entry:  https://en.wikipedia.org/wiki/Yanitzia_Canetti                                  
Translator: Alison Keating      Original Publication Date:2012
Original Publication Language: Spanish"
ycanetti,My big family,2020,English,Reycraft Books,New York,United States,new_york_ny_united_states,Fiction (Novel),n,32,Wikipedia Entry: https://en.wikipedia.org/wiki/Yanitzia_Canetti                                         Co-author: Micha Archer
ycanetti,Yo también puedo ser presidente,2009,Spanish,"Scholastic, Inc.",New York,United States,new_york_ny_united_states,Fiction (Novel),n,32,Wikipedia Entry: https://en.wikipedia.org/wiki/Yanitzia_Canetti
ycanetti,Uno dos tres : my first Spanish rhymes,2014,Spanish,Frances Lincoln Children's Books,London,England,london_ldn_england,Fiction (Novel),n,24,Wikipedia Entry: https://en.wikipedia.org/wiki/Yanitzia_Canetti                                                   Co-authors: Patrice Aggs
ycanetti,"Ay, luna, luna, lunita--",2008,Spanish,Editorial Everest,León,Spain,,Fiction (Novel),n,32,Wikipedia Entry: https://en.wikipedia.org/wiki/Yanitzia_Canetti                                               Co-authors: Angeles Peinador
ycanetti,Novelita Rosa,1997,Spanish,Versal Editorial Group,"Boston, MA",United States,boston_ma_united¬†states,Fiction (Novel),n,191,Wikipedia Entry: https://en.wikipedia.org/wiki/Yanitzia_Canetti                                                   
ycanetti,Abecedario salvaje,2009,Spanish,BrickHouse Education,"Boston, MA",United States,boston_ma_united¬†states,Fiction (Novel),n,39,Wikipedia Entry: https://en.wikipedia.org/wiki/Yanitzia_Canetti
ycanetti,La fea durmiente,2009,Spanish,Editorial Everest,León,Spain,,Fiction (Novel),n,31,Wikipedia Entry: https://en.wikipedia.org/wiki/Yanitzia_Canetti                                                    Co-author: Gustavo Mazali
ycanetti,"	
Ceniciento",2009,Spanish,Editorial Everest,León,Spain,,Fiction (Novel),n,32,Wikipedia Entry: https://en.wikipedia.org/wiki/Yanitzia_Canetti
ycanetti,La peluca de Rapunzel,2009,Spanish,Editorial Everest,León,Spain,,Fiction (Novel),n,31,Wikipedia Entry: https://en.wikipedia.org/wiki/Yanitzia_Canetti                                                 Co-author: Teresa Herrero
