Arthur W. Lewis,awlewis,st._lucia,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
awlewis,The Monroe Doctrine Unveiled: And The Mexican Crisis,2015,English,Palala Press,Gloucester,England,gloucester_england,Nonfiction Book,n,79,
awlewis,"Growth and Fluctuations, 1870-1913",1978,English,Allen & Unwin,Crows Nest,Australia,crows_nest_australia,Nonfiction Book,n,333,
awlewis,The Evolution Of The International Economic Order,1970,English,Princeton University Press,"Princeton, NJ",United States,princeton_nj_united states,Nonfiction Book,n,60,
awlewis,Overhead Costs,2003,English,Routledge,London,England,london_ldn_england,Nonfiction Book,n,200,
awlewis,Economic Survey,1970,English,Routledge,London,England,london_ldn_england,Nonfiction Book,n,221,
awlewis,"Tropical Development, 1880 1913: Studies In Economic Progress",2009,English,Allen & Unwin,Crows Nest,Australia,crows_nest_australia,Nonfiction Book,n,346,
awlewis,Growth And Fluctuations 1870-1913 (Routledge Revivals),1982,English,Routledge,London,England,london_ldn_england,Nonfiction Book,n,313,
awlewis,Politics In West Africa,1985,English,Greenwood Press,"West Port, CT",United States,westport_ct_united states,Nonfiction Book,n,90,
awlewis,Racial Conflict And Economic Development,1966,English,Harvard University Press,"Cambridge, MA",United States,cambridge_ma_united states,Nonfiction Book,n,134,
awlewis,Development Planning,2015,English,Routledge,London,England,london_ldn_england,Nonfiction Book,n,86,
awlewis,The Evolution Of The International Economic Order,1955,English,Princeton University Press,"Princeton, NJ",United States,princeton_nj_united states,Nonfiction Book,n,60,
awlewis,The Theory Of Economic Growth,1983,English,Routledge,London,England,london_ldn_england,Nonfiction Book,n,454,
awlewis,Selected Economic Writings Of W. Arthur Lewis,2003,English,New York University Press,"New York, NY",United States,new_york_ny_united_states,Nonfiction Book,n,738,
awlewis,Principles Of Economic Planning,1982,English,Routledge,London,England,london_ldn_england,Nonfiction Book,n,128,
awlewis,Politics In West Africa,1985,English,Greenwood Press,"West Port, CT",United States,westport_ct_united states,Nonfiction Book,n,90,
awlewis,Racial Conflict And Economic Development,1966,English,Harvard University Press,"Cambridge, MA",United States,cambridge_ma_united states,Nonfiction Book,n,134,
awlewis,Development Planning,2015,English,Routledge,London,England,london_ldn_england,Nonfiction Book,n,86,
