Derek Walcott,dwalcott,st.lucia,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
dwalcott,"Three Plays: The Last Carnival : Beef, No Chicken : A Branch Of The Blue Nile",1986,English,"Farrar, Straus and Giroux","New York, NY",United States,,Drama,n,311,
dwalcott,Gulf And Other Poems,2014,English,"Farrar, Straus and Giroux","New York, NY",United States,,Poetry Collection,n,108,
dwalcott,Sunday Lemons: A Selection Of Poems,1993,English,Wahlström & Widstrand,Stockholm,Sweden,,Poetry Collection,n,NA,"Co-Author: Svanstedt, Carl Henrik; Aggestam, Rolf; Ellerström, Jonas; Economou, Michael; Claeson, Stewe; Ahnlund, Knut; Herler, Lene; Söderberg, Lasse; Hessler, Ole; Harding, Gunnar"
dwalcott,Map Of The New World,2008,English,Wydawnictwo Znak,NA,Poland,,Poem,n,NA,
dwalcott,Café Martinique,2004,English,Éditions du Rocher,Paris,France,,Fiction (Novel),n,151,Co-Author: Béatrice Dunner
dwalcott,Marie LaVeau And Steel: Plays,2012,English,"Farrar, Straus and Giroux","New York, NY",United States,,Drama,n,240,
dwalcott,Islands. Selected Poems (1948-2004),2009,English,Adelphi,"New York, NY",United States,,Poetry Collection,n,516,Co-Author: Matteo Campagnoli
dwalcott,Winter Lamps: Selected Poems,1992,English,Wahlström & Widstrand,Stockholm,Sweden,,Poetry Collection,n,142,"Contributors: Ellerström, Jonas; Svenstedt, Carl Henrik; Harding, Gunnar; Östergren, Jan; Printz-Påhlson, Göran; Claeson, Stewe; Sjöstrand, Östen; Edfelt, Johannes; Thörnvall, Olle; Aggestam, Rolf; Jangfeldt, Bengt"
dwalcott,O Starry Starry Night: A Play,2014,English,"Farrar, Straus and Giroux","New York, NY",United States,,Drama,n,112,
dwalcott,Castaway,1965,English,"Cape Publishing, Inc.",London,England,,Poetry Collection,n,62,
dwalcott,Walker And Ghost Dance,2002,English,"Farrar, Straus and Giroux","New York, NY",United States,,Drama,n,246,
dwalcott,The Sea At Dauphin,1954,English,University of the West Indies Extra-Mural Studies Unit,Mona,Jamaica,,Drama,n,NA,
dwalcott,The Gulf,1981,English,"Farrar, Straus and Giroux","New York, NY",United States,,Poetry Collection,n,111,
dwalcott,"Morning, Paramin",1969,English,"Farrar, Straus and Giroux","New York, NY",United States,,Poetry Collection,n,120,
dwalcott,Remembrance And Pantomime,2016,English,"Farrar, Straus and Giroux","New York, NY",United States,,Drama,n,176,
dwalcott,The Antilles: Fragments of Epic Memory: The Nobel Lecture,1979,English,"Farrar, Straus and Giroux","New York, NY",United States,,Fiction (Novel),n,42,
dwalcott,Omeros,1976,English,"Farrar, Straus and Giroux","New York, NY",United States,,Poem,n,336,
dwalcott,Another Life,1993,English,"Farrar, Straus and Giroux","New York, NY",United States,,Poetry Collection,n,160,
