Hilary Beckles,hbeckles,barbados,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
hbeckles,"The First Black Slave Society: Britain's ""Barbarity Time"" In Barbados, 1636-1876",2016,English,University Press of the West Indies,Mona,Jamaica,mona_jamaica,Nonfiction ,n,296,
hbeckles,A history of Barbados : from Amerindian settlement to nation-state,2007,English,Cambridge University Press,"New York, NY",United States,new_york_ny_united_states,Non fiction ,n,318,
hbeckles,Rihanna : Barbados world-gurl in global popular culture,2015,English,University of the West Indies Press,Kingston,Jamaica,kingston_jamaica,Biography,n,211,
hbeckles,Britain's black debt : reparations for Caribbean slavery and native genocide,2013,English,University of the West Indies Press,Kingston,Jamaica,kingston_jamaica,NA,n,292,
hbeckles,Liberation cricket : West Indies cricket culture,1995,English,Manchester University Press ,Manchester,England,manchester_england,Non fiction ,n,403,Brian Stoddart;
hbeckles,Trading souls : Europe's transatlantic trade in Africans,2007,English,Ian Randle Publishers,Kingston,Jamaica,kingston_jamaica,Non fiction ,n,116,Verene Shepherd
hbeckles,For love of country : the national heroes of Barbados,2001,English,Foundation Publishing,St. Michael,Barbados,st._michael_barbados,Biography,n,146,
hbeckles,"Bussa : the 1816 Revolution in Barbados
",1998,English,"Department of History, University of the West Indies",Cave Hill,Barbados,cave_hill_barbados,Non fiction ,n,98,
hbeckles,"Freedoms won : Caribbean emancipations, ethnicities, and nationhood
",2008,English,Cambridge University Press,Cambridge,England,cambridge_england,Non fiction ,n,301,Verene A Shepherd
hbeckles,Centering woman : gender discourses in Caribbean slave society,1999,English,Ian Randle Publishers,Kingston,Jamaica,kingston_jamaica,Non fiction ,n,211,
