Ismith Khan,ikhan,trinidad_&_tobago,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
ikhan,The Jumbie Bird,1961,English,Longman Inc.,London,England,london_ldn_england,Fiction (Novel),n,224,
ikhan,The Jumbie Bird,1963,English,Ivan Obolensky Inc.,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,224,
ikhan,The Obeah Man,1964,English,Hutchinson,London,England,london_ldn_england,Fiction (Novel),n,191,
ikhan,The Jumbie Bird,1974,English,Longman Inc.,London,England,london_ldn_england,Fiction (Novel),n,190,
ikhan,The Jumbie Bird,1985,English,Longman Inc.,London,England,london_ldn_england,Fiction (Novel),n,190,
ikhan,The Crucifixion,1986,English,Peepal Tree Press,Leeds,England,leeds_ldn_england,Fiction (Novel),n,132,
ikhan,The Crucifixion,1986,English,Peepal Tree Press,Leeds,England,leeds_ldn_england,Fiction (Novel),n,132,
ikhan,The Jumbie Bird,1986,English,Longman Inc.,London,England,london_ldn_england,Fiction (Novel),n,190,
ikhan,The Crucifixion,1987,English,Peepal Tree Press,Leeds,England,leeds_ldn_england,Fiction (Novel),n,132,
ikhan,The Jumbie Bird,1988,English,Longman Inc.,London,England,london_ldn_england,Fiction (Novel),n,190,
ikhan,The Jumbie Bird,1990,English,Longman Inc.,London,England,london_ldn_england,Fiction (Novel),n,190,
ikhan,The Jumbie Bird,1991,English,Longman Inc.,London,England,london_ldn_england,Fiction (Novel),n,190,
ikhan,A Day In The Country And Other Stories,1994,English,Peepal Tree Press,Leeds,England,leeds_ldn_england,Fiction (Short Story Collection),n,142,
ikhan,A Day In The Country And Other Stories,1994,English,Peepal Tree Press,Leeds,England,leeds_ldn_england,Fiction (Short Story Collection),n,142,
ikhan,A Day In The Country And Other Stories,1994,English,Peepal Tree Press,Leeds,England,leeds_ldn_england,Fiction (Short Story Collection),n,142,
ikhan,Crucifixion,1994,English,Chadwyck-Healey,Cambridge,England,cambridge_england,Fiction (Novel),n,132,
ikhan,The Obeah Man,1995,English,TSAR Publications,Toronto,Canada,toronto_on_canada,Fiction (Novel),n,148,
ikhan,The Jumbie Bird,1997,English,Longman Inc.,London,England,london_ldn_england,Fiction (Novel),n,190,
ikhan,The Jumbie Bird,1999,English,Longman Inc.,London,England,london_ldn_england,Fiction (Novel),n,190,
ikhan,The Jumbie Bird,2004,English,Longman Inc.,London,England,london_ldn_england,Fiction (Novel),n,190,
ikhan,The Crucifixion,2007,English,Peepal Tree Press,Leeds,England,leeds_ldn_england,Fiction (Novel),n,123,
ikhan,L'Oiseau Zombie,2011,French,Musée Dapper,Paris,France,paris_fr_france,Fiction (Novel),n,253,
