Joanne C. Hillhouse,jchillhouse,antigua_&_barbuda,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
jchillhouse,The Jungle Outside: Band 11/Lime,2021,English,HarperCollins,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,32,
jchillhouse,Oh Gad! A Novel,2012,English,Strebor Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,,
jchillhouse,Dancing Nude In The Moonlight,2014,English,Insomniac Press,Ontario,Canada,ontario_canada,Fiction (Novel),n,,
jchillhouse,Musical Youth,2019,English,CaribbeanReads Publishing,Basseterre,St. Kitts,basseterre_st.¬†kitts_&_nevis,Fiction (Novel),n,,
jchillhouse,Boy From Willow Bend,2009,English,Hansib Publications,London,England,london_ldn_england,Fiction (Novel),n,95,
jchillhouse,Musical Youth,2019,English,CaribbeanReads Publishing,Basseterre,St. Kitts,basseterre_st.¬†kitts_&_nevis,Fiction (Novel),n,280,
jchillhouse,Dancing Nude In The Moonlight,2016,English,Insomniac Press,Ontario,Canada,ontario_canada,Fiction (Novel),n,428,
jchillhouse,Musical Youth,2014,English,CaribbeanReads Publishing,Basseterre,St. Kitts,basseterre_st.¬†kitts_&_nevis,Fiction (Novel),n,280,
jchillhouse,Oh Gad!,2012,English,Strebor Books,"Largo, FL",United States,largo_united¬†states,Fiction (Novel),n,432,
jchillhouse,Oh Gad!,2014,English,Strebor Books,"Largo, FL",United States,largo_united¬†states,Fiction (Novel),n,,
jchillhouse,Musical Youth,2014,English,CaribbeanReads Publishing,"Fairfax, VA",United States,fairfax_va_united¬†states,Fiction (Novel),n,120,
jchillhouse,Lost! A Caribbean Sea Adventure,2017,English,CaribbeanReads Publishing,"Fairfax, VA",United States,fairfax_va_united¬†states,Fiction (Novel),n,32,
jchillhouse,Lost! A Caribbean Sea Adventure,2017,English,CaribbeanReads Publishing,"Fairfax, VA",United States,fairfax_va_united¬†states,Fiction (Novel),n,17,
jchillhouse,The Jungle Outside: Band 11/Lime,2022,English,HarperCollins,Glasgow,Scotland,glasgow_scotland,Fiction (Novel),n,32,
jchillhouse,With Grace,2016,English,Little Bell Caribbean,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,48,
