Joseph Zobel,jzobel,martinique,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
jzobel,Black Shack Alley,1950,English,Three Continents Press,"Washington, DC",United States,washington_dc_united¬†states,Fiction (Novel),y,,
jzobel,Le Soleil M'a Dit ...,2002,French,Ibis rouge,Matoury,French Guiana,matoury_french_guiana,Poetry Collection,n,,
jzobel,Laghia De La Mort: Nouvelles,1996,French,Présence Africaine,Paris,France,paris_france,Fiction (Short Story Collection),n,,
jzobel,Le Soleil Partagé,2012,French,Présence Africaine,Paris,France,paris_france,Fiction (Short Story Collection),n,,
jzobel,La Rue Cases-Nègres : Roman,2017,French,Présence Africaine,Paris,France,paris_france,Fiction (Novel),n,,
jzobel,Gertal Et Autres Nouvelles,2015,French,Ibis Rouge,Matoury,French Guiana,matoury_french_guiana,Fiction (Short Story Collection),y,,
jzobel,Mas Badara: Nouvelles,1983,French,Nouvelles Éditions latines,Paris,France,paris_france,Fiction (Short Story Collection),n,,
jzobel,Et Si La Mer N'était Pas Bleue : Nouvelles,1987,French,Études caribéennes,Paris,France,paris_fr_france,Fiction (Short Story Collection),y,,
jzobel,Quand La Neige Aura Fondu: Roman,1979,French,Études caribéennes,Paris,France,paris_fr_france,Fiction (Novel),n,,
jzobel,La Fête A Paris,1970,French,Kraus International Publications,Nendeln,Liechtenstein,nendeln_liechtenstein,Fiction (Novel),y,,
jzobel,Les Mains Pleines D'oiseaux,1984,French,Nouvelles Éditions latines,Paris,France,paris_fr_france,Fiction (Novel),n,,
jzobel,Les Jours Immobiles,1970,German,Kraus International Publications,Nendeln,Liechtenstein,nendeln_liechtenstein,Fiction (Novel),n,,
jzobel,Diab'-La: Roman Antillais,2010,French,Nouvelles Éditions latines,Paris,France,paris_fr_france,Fiction (Novel),y,,
jzobel,Negerhuttenweg,1991,Dutch,Ambo ; NOVIB ; NCOS,Baarn,Netherlands,baarn_netherlands,Fiction (Novel),y,,
