José Lezama Lima,jllima,cuba,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
jllima,Poesia Completa,1970,French,Instituto del Libro Havana,Havana,Cuba,havana_cuba,Poem,y,460,
jllima,Poemas: Guido Llinés : Grabados,1972,Spanish,Éditions Brunidor,Vaduz,Liechtenstein,vaduz_liechtenstein,Poetry Collection,n,165,
jllima,Algunos Tratados En Havana,1971,Spanish,Editorial Anagrama,Barcelona,Spain,,Essay,n,194,
jllima,Introducción A Los Vasos Órficos,1971,Spanish,Barcelona Editores,Barcelona,Spain,,Poetry Collection,n,272,
jllima,Obras Completas,1970,Spanish,Aguilar,México City,Mexico,mexico_city_mexico,Fiction (Novel),n,2439,
jllima,Tratados En Havana: Ensayos Estéticos,1970,Spanish,Editorial Orbe,Santiago,Chile,santiago_chile,Nonfiction Book,n,329,
jllima,Paradiso,1970,Spanish,Ediciones Era,México City,Mexico,mexico_city_mexico,Fiction (Novel),n,574,
jllima,Telegrama,1972,Spanish,NA,NA,NA,,Poetry Collection,n,,
jllima,Nuevo Encuentro Con Victor Manuel,1970,Spanish,Biblioteca Nacional José Martí,Havana,Cuba,havana_cuba,NA,n,,
jllima,Carta,1970,Spanish,NA,NA,NA,,Essay,n,4,
jllima,Paradiso: Ilustr. De René Portocarrero,1970,Spanish,Ediciones Era,México City,Mexico,mexico_city_mexico,Fiction (Novel),n,574,
jllima,Interrogando A Lezama Lima,1971,Spanish,Editorial Anagrama,Barcelona,Spain,,NA,n,76,
jllima,"Esferaimagen: Sierpa De Don Luis De Góngora, Las imagenes Posibles",1970,Spanish,Tusquets Editores S.A.,Barcelona,Spain,,NA,n,79,
jllima,Breve Antologia,1970,Spanish,Universidad Nacional Autónoma de México,México City,Mexico,mexico_city_mexico,Poem,n,33,
jllima,Coloquio Con Juan Ramón Jiménez,1970,English,Editorial Linkgua USA,Montevideo,Uraguay,montevideo_uraguay,Essay,n,24,
jllima,Esferaimagen,1970,Spanish,Tusquets Editores S.A.,Barcelona,Spain,,Fiction (Novel),n,95,
jllima,Poemas,1972,Spanish,Éditions Brunidor,Vaduz,Liechtenstein,vaduz_liechtenstein,Poetry Collection,n,165,
jllima,La Cantidad Hechizada,1970,Spanish,National Union of Writers and Artists of Cuba,Havana,Cuba,havana_spain,Essay,n,988,
jllima,Las Eras Imaginarias: Ensayos,1971,English,Editorial Fundamentos,Madrid,Spain,madrid_spain,Essay,n,193,
jllima,Paradiso,1988,English,University of Pittsburgh Press,Paris,France,paris_fr_france,Fiction (Novel),n,574,
jllima,"Muerte De Narciso, Primera Edicion,1937. Primer Libro De Jose Lezama Lima",1937,Spanish,"Ucar,garcia y cia,Havana.",Havana,Cuba,havana_cuba,Fiction (Novella),n,10,
jllima,"Tratados En Havana. Ensayos, Por Jose Lezama Lima, Primera Edicion",1958,Spanish,"La Universidad Central ""Marta Abreu"" de Las Villas",Santa Clara,Cuba,havana_cuba,Nonfiction Book,n,410,
jllima,Esferaimagen,1969,Spanish,Tusquets Editores S.A.,Barcelona,Spain,,Fiction (Novel),n,95,
jllima,Imagen Y Posibilidad,1982,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Essay,n,203,
jllima,Introduction Aux Vases Orphiques: - Traduit Du Cubain,1992,French,Groupe Flammarion,Paris,France,paris_fr_france,Fiction (Novel),n,315,
jllima,Die Amerikanische Ausdruckswelt,1992,German,Suhrkamp Verlag,Frankfurt,Germany,frankfurt_germany,Essay,n,178,
jllima,Cartas A Eloísa Y Otra Correspondencia,1998,Spanish,Editorial Verbum,Madrid,Spain,madrid_spain,Biography,n,466,
jllima,La Dignidad De La Poesía,1989,Spanish,Versal,Barcelona,Spain,,Essay,n,301,
jllima,Havana,1991,Spanish,Editorial Verbum,Madrid,Spain,,Fiction (Novel),n,216,
jllima,Fragmentos Irradiadores,1993,Spanish,Instituto Cubano del Libro,Havana,Cuba,havana_cuba,Essay,n,148,
jllima,Paradiso,1980,Spanish,Catedra,Madrid,Spain,,Fiction (Novel),n,574,
jllima,Cartas,1979,Spanish,Orígenes,Madrid,Spain,,Biography,n,291,
jllima,Fragmentos A Su Imán,1978,Spanish,Lumen,Barcelona,Spain,,Poem,n,187,
jllima,Oppiano Licario,1971,Spanish,Ediciones Catedra S.A.,Madrid,Spain,,Fiction (Novel),n,275,
jllima,Diarios : 1939-49 / 1956-58,1994,Spanish,Ediciones Era,NA,Mexico,,Biography,n,134,
jllima,Imagen Y Posibilidad,1981,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Anthology,n,218,
jllima,Lezama Lima,1968,Spanish,Jorge Alvarez,Havana,Cuba,havana_cuba,Autobiography/Memoir,n,339,
jllima,La Expresión Americana : Y Otros Ensayos,1969,Spanish,Arca Publishers,Saint Petersburg,Russia,saint_petersburg_russia,Essay,n,193,
jllima,Tratados En Havana,1958,English,"Universidad Central de Las Villas, Departamento de Relaciones Culturales",Santa Clara,Cuba,santa_clara_cuba,Essay,n,415,
jllima,Los Grandes Todos,1968,Spanish,Arca Publishers,Saint Petersburg,Russia,saint_petersburg_russia,Poetry Collection,n,339,
