Kettly Mars,kmars,haiti,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
kmars,Haiti Noir,2010,English,Akashic Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,300,
kmars,Nouvelles d'Haïti,2015,French,Magellan & Cie Édition,Paris,France,paris_france,Non Fiction,n,144,Contributors: Jean-Claude Fignolé
kmars,Savage seasons,2015,English,University of Nebraska Press,"Lincoln, NE",United States,lincoln_ne_united¬†states,Fiction (Novel),y,247,Translator: Jeanine Herman
kmars,Saisons sauvages,2011,French,Gallimard,Paris,France,paris_france,Fiction (Novel),n,328,Original Publication Date: 2010
kmars,L'heure hybride,2018,French,Mémoire d'encrier,"Montreal, QC",Canada,montreãåal_qc_canada,Fiction (Novel),n,139,
kmars,L'ange du patriarche : roman,2018,French,Mercure de France,Paris,France,paris_france,Fiction (Novel),n,302,
kmars,Kasalé,2007,French,La Roque-d'Anthéron,Paris,France,paris_fr_france,Fiction (Novel),n,237,
kmars,Fado : roman,2008,French,Mercure de France,Paris,France,paris_fr_france,Fiction (Novel),n,109,
kmars,Aux frontières de la soif : roman,2014,French,L'Imprimeur S.A.,Port Au Prince,Haiti,port_au__prince_haiti,Fiction (Novel),n,174,
kmars,Vor dem Verdursten,2013,German,Trier Litradukt ,Berlin,Germany ,berlin_germany,Fiction (Novel),y,124,Translator: Ingeborg Schmutte
