Lennox Honychurch,lhonychurch,dominica,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
lhonychurch,Green Triangles And Other Poems,1979,English,Lennox Honychurch,Roseau,Dominica,,Poetry Collection,y,,
lhonychurch,The Archaeology Of Dominica,2011,English,Lennox Honychurch,Roseau,Dominica,,Nonfiction Book,y,,
lhonychurch,Negre Mawon: The Fighting Maroons Of Dominica,2014,English,Island Heritage Initiatives,Portsmouth,Dominica,,Nonfiction Book,y,,
lhonychurch,In The Forests Of Freedom: The Fighting Maroons Of Dominica,2019,English,University Press of Mississippi,Jackson,United States,,Nonfiction Book,y,,
lhonychurch,Dominica's Cabrits And Prince Rupert's Bay,2013,English,Island Heritage Initiatives,Portsmouth,Dominica,,Nonfiction Book,y,,
lhonychurch,Cabrits And Prince Ruperts Bay,1983,English,Dominica Institute for the Arts,Roseau,Dominica,,Nonfiction Book,y,,
lhonychurch,The Cabrits And Prince Rupert's Bay: History & Nature Notes,1982,English,Dominica Institute for the Arts,Roseau,Dominica,,Nonfiction Book,y,,
lhonychurch,Caribbean Landmarks: Historic Events And Sites,1986,English,Nelson Caribbean,Walton-on-Thames,England,,Nonfiction Book,y,,
lhonychurch,Our Island Culture,1987,English,Dominican National Cultural Council,Roseau,Dominica,,Nonfiction Book,y,,
lhonychurch,The Dominica Story: A History Of The Island,1984,English,Dominica Institute for the Arts,Roseau,Dominica,,Nonfiction Book,y,,
lhonychurch,The Dominica Story: A History Of The Island,1975,English,Macmillan Publishers,"New York, NY",United States,,Nonfiction Book,y,,
lhonychurch,Our Island Culture,1988,English,Dominican National Cultural Council,Roseau,Dominica,,Nonfiction Book,y,,
lhonychurch,Our Island Culture,1982,English,Dominican National Cultural Council,Roseau,Dominica,,Nonfiction Book,y,,
lhonychurch,Our Island Culture,1984,English,Dominican National Cultural Council,Roseau,Dominica,,Nonfiction Book,y,,
