Leonardo Padura Fuentes,lfuentes,cuba,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
lpfuentes,Les Brumes Du Passé,2014,French,Editions Métailié,Paris,France,paris_france,Fiction,y,351,
lpfuentes,Água Por Todos Os Lados,2020,Portuguese,Boitempo Editorial,São Paulo,Brazil,são_paulo_brazil,Fiction,y,292,Translator:  Monica Stahel Co-authors:  Carlos Marcelo & Wagner Moura 
lpfuentes,Le Palmier Et L'étoile,2014,French,Editions Métailié,Paris,France,paris_france,Fiction,y,389,Co-authors: Elena Zayas
lpfuentes,La Transparencia Del Tiempo,2018,Spanish,Planeta Publishing,Barcelona,Spain,barcelona_spain,Fiction,n,448,
lpfuentes,Addio Hemingway,2001,Italian,Tropea,Milan,Italy,milan_italy,Fiction,y,189,
lpfuentes,Mascaras,1997,Spanish,Tusquets Editores S.A.,Barcelona,Spain,barcelona_spain,Fiction,n,351,Co-authors:  Ángel Esteban; Yannelys Aparicio Molina
lpfuentes,El Submarino Amarillo: Cuento Cubano 1966-1991 : Breve Antologia,1997,Spanish,Universidad Nacional Autónoma de México,México City,Mexico,mexico_city_mexico,Fiction,n,347,
lpfuentes,Paisaje De Otoño,2000,Spanish,Tusquets Editores S.A.,México City,Mexico,mexico_city_mexico,Fiction,n,260,
lpfuentes,Pasado Perfecto,2000,Spanish,Tusquets Editores S.A.,Barcelona,Spain,barcelona_spain,Fiction,n,232,
lpfuentes,Máscaras,2001,Spanish,Tusquets Editores S.A.,Barcelona,Spain,barcelona_spain,Fiction,n,351,Co-authors:  Ángel Esteban; Yannelys Aparicio Molina
lpfuentes,Un Camino De Medio Siglo: Alejo Carpentier Y La Narrativa De Lo Real Maravilloso,2003,Spanish,Fondo de Cultura Económica,México City,Mexico,mexico_city_mexico,Fiction,n,515,
lpfuentes,Un Camino De Medio Siglo: Alejo Carpentier Y La Narrativa De Lo Real Maravilloso,2004,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction,n,515,
lpfuentes,El Hombre Que Amaba A Los Perros,2009,Spanish,Tusquets Editores S.A.,Barcelona,Spain,barcelona_spain,Fiction,n,573,
lpfuentes,El Submarino Amarillo: Cuento Cubano 1966-1991,1997,Spanish,Universidad Nacional Autónoma de México,México City,Mexico,mexico_city_mexico,Fiction,n,347,
lpfuentes,El Viaje Más Largo,2002,Spanish,Editorial Plaza Mayor,San Juan,Puerto Rico,san_juan_puerto_rico,Fiction,n,203,
lpfuentes,Ein Perfektes Leben,2003,German,Unionsverlag,Zürich,Switzerland,zurich_switzerland,Fiction,y,286,
lpfuentes,Electre Á La Havane,2000,French,Editions Métailié,Paris,France,paris_fr_france,Fiction,y,245,Co-authors:  René Solis; Mara Hernández
lpfuentes,L'Automne En Cuba,2002,French,Editions Métailié,Paris,France,paris_fr_france,Fiction,y,232,
lpfuentes,Passé Parfait : Roman,2008,French,Points,Paris,France,paris_fr_france,Fiction,y,276,
lpfuentes,Maschere,2003,Italian,Net,Milan,Italy,milan_italy,Fiction,y,247,
lpfuentes,Passato Remoto,2004,Italian,Net,Milan,Italy,milan_italy,Fiction,y,216,
lpfuentes,Adios Hemingway,2004,French,Editions Métailié,Paris,France,paris_fr_france,Fiction,y,190,
lpfuentes,Le Palmier Et L 'Étoile,2002,French,Editions Métailié,Paris,France,paris_fr_france,Fiction,y,387,
lpfuentes,Máscaras,1997,English,Unión de Escritores y Artistas de Cuba,Havana,Cuba,havana_cuba,Fiction,y,351,Co-authors:  Ángel Esteban; Yannelys Aparicio Molina
lpfuentes,La Novela De Mi Vida,2001,English,Casa de Teatro,Santo Domingo,Dominican Republic,santo_domingo_dominican_republic,Fiction,y,345,
lpfuentes,Havana Black,2006,English,Bitter Lemon Press,London,England,london__england,Fiction,y,261,
lpfuentes,Havana Gold: The Havana Quartet,2008,English,Bitter Lemon Press,London,England,london__england,Fiction,y,288,
lpfuentes,Havana Gold: The Havana Quartet,2008,English,Bitter Lemon Press,London,England,london__england,Fiction,y,285,
lpfuentes,Havana Fever,2009,English,Bitter Lemon Press,London,England,london__england,Fiction,y,258,
lpfuentes,Havana Fever,2009,English,Bitter Lemon Press,London,England,london__england,Fiction,y,261,
lpfuentes,Havana Blue,2007,English,Bitter Lemon Press,London,England,london__england,Fiction,y,258,
