Lindsay Barrett,lbarrett,jamaica,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
lbarrett,Song for Mumu,1967,English,Longman Inc.,London,England,london_england,Fiction (Novel),n,154,
lbarrett,"The State of Black Desire: 3 Poems, 3 Essays",1966,English,Lindsay Barrett,Paris,France,paris_france,Anthology,n,56,
lbarrett,A memory of rivers : poems out of the Niger Delta,2006,English,Daylight Verse Publication,Yenagoa,Nigeria,,Fiction (Novel),n,60,
lbarrett,In the garden : who's been here?,2006,English,Greenwillow Books,New York,United States,new_york_ny_united states,Fiction (Novel),n,48,
lbarrett,In the snow : who's been here?,1995,English,Mulberry Books,New York,United States,new_york_ny_united states,Fiction (Novel),n,48,
lbarrett,Around the world : who's been here?,1999,English,Greenwillow Books,New York,United States,new_york_ny_united states,Fiction (Novel),n,48,
lbarrett,Around the pond : who's been here?,1996,English,Greenwillow Books,New York,United States,new_york_ny_united states,Fiction (Novel),n,40,
lbarrett,"The secret
",2005,English,Houghton Mifflin Harcourt,"Boston, MA",United States,boston_ma_united states,Fiction (Novel),n,35,
lbarrett,A quality of pain and other poems,1986,English,Gaskiya Corp,Zaria,Nigeria,,Poetry Collection,n,40,
lbarrett,Wind of hope : the authorised biography of Dr. Goodluck Ebele Jonathan,2010,English,AfricAgendA Publications Limited,Abuja,Nigeria,,Biography,n,226,
lbarrett,A memory of rivers : poems out of the Niger Delta,2006,English,Daylight Verse Publication,Yenagoa,Nigeria,,Poetry Collection,n,60,
