Luis Rafael Sánchez,lrsanchez,puerto_rico,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
lrsanchez,Los Ángeles se Han Fatigado,1976,Spanish,Editorial Cultural,San Juan,Puerto Rico,san_juan_puerto_rico,Drama,n,35,
lrsanchez,Farsa del Amor Compradito,1976,Spanish,Editorial Cultural,San Juan,Puerto Rico,san_juan_puerto_rico,Drama,n,109,
lrsanchez,La Hiel Nuestra de Cada Día,1976,Spanish,Editorial Cultural,San Juan,Puerto Rico,san_juan_puerto_rico,Drama,n,65,
lrsanchez,Sol 13 Interior,1976,Spanish,Editorial Cultural,San Juan,Puerto Rico,san_juan_puerto_rico,Drama,n,NA,
lrsanchez,Macho Camacho's Beat,1982,English,Avon,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,211,
lrsanchez,En Cuerpo de Camisa,1984,Spanish,Editorial Cultural,San Juan,Puerto Rico,san_juan_puerto_rico,Fiction (Short Story Collection),n,NA,
lrsanchez,Quíntuples,1985,Spanish,Ediciones Del Norte,Mexico City,Mexico,mexico_city_mexico,Drama,n,79,
lrsanchez,La Importancia de Llamarse Daniel Santos,1988,Spanish,Ediciones Del Norte,Mexico City,Mexico,mexico_city_mexico,Fiction (Novel),n,NA,
lrsanchez,Casi el alma: auto de fe en tres actos,1993,Spanish,Editorial Cultural,San Juan,Puerto Rico,san_juan_puerto_rico,Drama,n,90,
lrsanchez,La Guaracha Del Macho Camacho,1997,Spanish,Ediciones de la flor,Buenos Aires,Argentina,buenos_aires_argentina,Fiction (Novel),n,233,
lrsanchez,No Llores por nosotros Puerto Rico,1998,Spanish,Ediciones Del Norte,Mexico City,Mexico,mexico_city_mexico,Essay Collection,n,NA,
lrsanchez,Macho Camacho's Beat,2001,English,Dalkey Archive Press,"Normal, IL",United States,normal_il_united¬†states,Fiction (Novel),y,211,
lrsanchez,Indiscreciones de un Perro Gringo,2007,Spanish,Alfaguara,Madrid,Spain,madrid_spain,Fiction (Novel),n,200,
