Mercedes Abad,mabad,spain,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
mabad,Cuentos Eróticos de Navidad,1999,Spanish,Tusquets Editores S.A.,Barcelona,Spain,barcelona,Anthology,n,206,
mabad,Veri,2001,Finnish,Kääntöpiiri,Helsinki,Finland,helsinki_finland,Fiction (Novel),y,187,
mabad,Soplando al viento,1995,Spanish,Tusquets Editores,Barcelona,Spain,barcelona,Fiction (Novel),n,199,
mabad,Felicidades conyugales,1994,Spanish,Salvat Editores,Barcelona,Spain,barcelona,Fiction (Novel),n,198,
mabad,Sólo dime dónde lo hacemos,1991,Spanish,Ediciones Temas de Hoy,Madrid,Spain,madrid_spain,Fiction (Novel),n,205,Álvaro Ardévol
mabad,Amigos y fantasmas,2004,Spanish,Tusquets Editores,Barcelona,Spain,barcelona,Fiction (Novel),n,217,
mabad,Casa en venta,2020,Spanish,Páginas de Espuma,Madrid,Spain,madrid_spain,Fiction (Novel),n,133,
mabad,Titúlate Tú,2002,Spanish,Plaza y Janés,Barcelona,Spain,barcelona,Essay,n,269,
mabad,Felicidades conyugales,1989,Spanish,Tusquets Editores,Barcelona,Spain,barcelona,Fiction (Novel),n,198,
mabad,Premi de Narrativa Breu : Districte V,2005,Spanish,Ellago Ediciones,Castellón de la plana,Spain,,Essay,n,200,
mabad,"Aquel verano, aquel amor : 33 escritores confiesan un amor de verano",1997,Spanish,Espasa-Calpe,Madrid,Spain,madrid_spain,Fiction (Short Story Collection),n,191,
mabad,El Vecino de abajo,2008,Spanish,Punto de Lectura,Madrid,Spain,madrid_spain,Fiction (Short Story Collection),n,271,
mabad,Relatos eróticos,1990,Spanish,Ed. Castalia,Madrid,Spain,madrid_spain,Fiction (Short Story Collection),n,146,Carmen Estévez Vázquez
mabad,La niña gorda,2014,Spanish,Páginas de Espuma,Madrid,Spain,madrid_spain,Fiction (Novel),n,170,
mabad,Soplando al viento,2000,Spanish,RBA Coleccionables,Barcelona,Spain,barcelona,Fiction (Novel),n,157,
