Miguel Collazo,mcollazo,cuba,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
mcollazo,Journey,2020,English,Restless Books,"Brooklyn, NY",United States,brooklyn_ny_united¬†states,Fiction (Novel),y,224,
mcollazo,El viaje,2020,Spanish,Restless Books,"Brooklyn, NY",United States,brooklyn_ny_united¬†states,Fiction (Novel),n,224,
mcollazo,El Arco de Belén,1976,Spanish,Unión de Escritores y Artistas de Cuba,Havana ,Cuba,havana_cuba,Fiction (Novel),n,132,
mcollazo,El libro fantástico de Oaj ciencia ficción.,1966,Spanish,Unión de Escritores y Artistas de Cuba,Havana ,Cuba,havana_cuba,Fiction (Novel),n,107,
mcollazo,Estancias : (breviarios completos),1988,Spanish,La Habana Ed. Unión,Havana ,Cuba,havana_cuba,Fiction (Novel),n,144,
mcollazo,El hilo del ovillo,1998,Spanish,Editorial Letras Cubanas,Havana ,Cuba,havana_cuba,Fiction (Novel),n,231,
mcollazo,La gorrita del papa,1991,Spanish,Unión de Escritores y Artistas de Cuba,Havana ,Cuba,havana_cuba,Fiction (Novel),n,24,
mcollazo,El laurel del patio grande,1978,Spanish,Editorial Letras Cubanas,Havana ,Cuba,havana_cuba,Fiction (Novel),n,39,
mcollazo,El viajante,1991,Spanish,Unión de Escritores y Artistas de Cuba,Havana ,Cuba,havana_cuba,Fiction (Novel),n,17,Eduardo Frank
mcollazo,Dulces Delirios,1996,Spanish,Unión de Escritores y Artistas de Cuba,Havana ,Cuba,havana_cuba,Fiction (Novel),n,123,
mcollazo,Estancias,1984,Spanish,Unión de Escritores y Artistas de Cuba,Havana ,Cuba,havana_cuba,Fiction (Novel),n,91,
mcollazo,Onoloria y Otros Relatos,1988,Spanish,Unión de Escritores y Artistas de Cuba,Havana ,Cuba,havana_cuba,Fiction (Novel),n,196,
mcollazo,Trastiendas: Entre Domingo y Lacay,2000,Spanish,Ediciones Unión,Havana ,Cuba,havana_cuba,Fiction (Novel),n,151,
mcollazo,La Gorrita del Papa,1991,Spanish,Unión de Escritores y Artistas de Cuba,Havana ,Cuba,havana_cuba,Fiction (Novel),n,24,
mcollazo,Estación Central,1993,Spanish,Instituto Cubano del Libro,Havana ,Cuba,havana_cuba,Fiction (Novel),n,261,
