Nancy Morejón,nmorejón,cuba,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
nmorejón,"Looking Within/Mirar adentro: Selected Poems/Poemas escogidos, 1954-2000",2002,English,Wayne State University Press,"Detroit, MI",United States,detroit_mi_united_states,Poetry Collection,n,376,
nmorejón,Homing Instincts/Querencias,2014,English,Cubanabooks,"Chico, CA",United States,chico_ca_united_states,Poetry Collection,n,117,
nmorejón,"Before A Mirror, The City",2020,English,White Pine Press,"Buffalo, NY",United States,buffalo_ny_united_states,Poetry Collection,n,120,
nmorejón,Black Woman And Other Poems/Mujer Negra Y Otros Poemas,2004,English,Mango Publishing,London,England,london_ldn_england,Poetry Collection,n,243,
nmorejón,Wilde Kohlen,2021,German,Wissenschaftlicher Verlag Berlin,Berlin,Germany,berlin_germany,Poetry Collection,n,112,
nmorejón,Richard Trajo Su Flauta Y Otros Poemas: Antología Poética,2012,Spanish,"VISOR LIBROS, S.L.",Madrid,Spain,madrid_spain,Anthology,n,132,
nmorejón,Where The Island Sleeps Like A Wing: Selected Poetry,1985,English,The Black Scholar Press,"San Francisco, CA",United States,san_francisco_ca_united¬†states,Poetry Collection,n,92,
nmorejón,Letters-Of-Love-Hope,2005,English,Ocean Press,North Melbourne,Australia,north_melbourne_australia,Nonfiction Book,n,,
nmorejón,Augen,2020,German,Books on Demand,Norderstedt,Germany,norderstedt_germany,Poetry Collection,n,81,
nmorejón,Ruhmreiche Landschaft,2020,German,Books on Demand,Norderstedt,Germany,norderstedt_germany,Fiction (Short Story Collection),n,,
nmorejón,Rogelio Martínez Furé : ¿Juglar O Griot?.Ensayo.,2017,Spanish,coleccion sur,Havana,Cuba,havana_cuba,Essay,n,40,
