Stephens A Dantes,sadantes,st._lucia,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
sadantes,Letters To My Son,2012,English,The Independent,Chicago,United States,chicago_united¬†states,Poetry Collection,,53,
sadantes,Exit Mic Still Hanging,2012,English,Amazon Kindle Publishing,"Seattle, WA",United States,seattle_wa_united¬†states,Poetry Collection,,25,
sadantes,Creole Chapbook 2012,2012,English,Amazon Kindle Publishing,"Seattle, WA",United States,seattle_wa_united¬†states,Poetry Collection,,,
sadantes,Silent Defeat Bitter Confrontation,2011,English,Setna,,,,Fiction (Novel),,47,
sadantes,Soul Mates | Confessions of a Stoic,2012,English,The Independent,"Chicago, IL",United States,chicago_il_united¬†states,Poetry Collection,,54,
sadantes,Lucian Chronicles 1,2011,English,The Independent,"Chicago, IL",United States,chicago_il_united¬†states,Poetry Collection,,49,
sadantes,All Black Everything,2012,English,Amazon Kindle Publishing,"Seattle, WA",United States,seattle_wa_united¬†states,Poetry Collection,,27,
sadantes,The Alter Ego,2011,English,Amazon Kindle Publishing,"Seattle, WA",United States,seattle_wa_united¬†states,Poetry Collection,,46,
sadantes,Soul Mates | Confessions of a Stoic,2012,English,The Independent,"Chicago, IL",United States,chicago_il_united¬†states,Poetry Collection,,54,
sadantes,The Love Doctor,2011,English,Amazon Kindle Publishing,"Seattle, WA",United States,seattle_wa_united¬†states,Poetry Collection,,34,
sadantes,Hindsight,2011,English,Mayers Printing Company Ltd,Castries,St. Lucia,castries_st.¬†lucia,Poetry Collection,,114,
sadantes,Is It Love?: A Triangle Gone Square,2012,English,AuthorHouse,"Bloomington, IN",United States,bloomington_in_united¬†states,Fiction (Novel),,316,
