Yanick Lahens,ylahens,haiti,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
ylahens,Dans La Maison Du Père : Roman,2005,French,Wespieser,Paris,France,paris_france,Fiction (Novel),n,155,
ylahens,La Petite Corruption: Nouvelles,1999,French,Legs Édition,Port-au-Prince,Haiti,port_au_prince_haiti,Fiction (Novel),n,130,
ylahens,La Couleur De L'aube,2008,French,Sabine Wespieser Éditeur,Paris,France,paris_france,Fiction (Novel),n,218,
ylahens,Bain De Lune: Roman,2016,French,Libra Diffusio,Le Mans,France,le_mans_france,Fiction (Novel),n,273,
ylahens,Failles: Recit,2010,French,Sabine Wespieser Éditeur,Paris,France,paris_france,Fiction (Novel),n,160,
ylahens,Tanz Der Ahnen Roman,2004,German,Zürich Rotpunktverl,Zürich,Switzerland,zurich_switzerland,Fiction (Novel),n,160,
ylahens,The Colour Of Dawn,2008,English,Seren,Bridgend,Wales,bridgend_wales,Fiction (Novel),n,156,
ylahens,La Folie Etait Venue Avec La Pluie Nouvelles,2015,French,Legs Édition,Haiti,Port-au-Prince,haiti_port_au_prince,Fiction (Novel),n,132,
ylahens,Moonbath,2014,English,Deep Vellum Publishing,"Dallas, TX",United States,dallas_tx_united¬†states,Fiction (Novel),n,264,
ylahens,L'oiseau Parker Dans La Nuit: Et Autres Nouvelles,2019,French,Sabine Wespieser Éditeur,Paris,France,paris_fr_france,Fiction (Novel),n,312,
ylahens,Tante Résia Et Les Dieux : Nouvelles,2019,French,Legs Édition,Port-au-Prince,Haiti,port_au_prince_haiti,Fiction (Novel),n,142,
ylahens,Il Colore Dell'alba,2010,Italian,Barbès,Firenze,Italy,firenze_italy,Fiction (Novel),n,180,
ylahens,L'oiseau Parker Dans La Nuit Et Autres Nouvelles: Nouvelles,2019,French,Sabine Wespieser Éditeur,Paris,France,paris_fr_france,Fiction (Novel),n,306,
ylahens,Bano De Luna,2016,Spanish,Estudios de Teoría Literaria,Sonora,Mexico,sonora_mexico,Fiction (Novel),n,273,
ylahens,Douces Déroutes,2019,French,Éditions Points,Paris,France,paris_fr_france,Fiction (Novel),n,192,
ylahens,Moonbath,2014,English,Deep Vellum Publishing,"Dallas, TX",United States,dallas_tx_united¬†states,Fiction (Novel),n,215,
ylahens,Und Plötzlich Tut Sich Der Boden Auf Ein Journal,2011,German,Zürich Rotpunktverl,Zürich,Switzerland,zurich_switzerland,Fiction (Novel),n,160,
ylahens,Sanfte Debakel Roman,2021,German,Litradukt,Trier,Germany,trier_germany,Fiction (Novel),n,160,
ylahens,Aunt Resia And The Spirits And Other Stories,1994,English,University of Virginia Press,"Charlottesville, VA",United States,charlottesville_va_united¬†states,Fiction (Short Story Collection),n,224,
