Zadie Smith,zsmith,england,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
zsmith,Feel Free: Essays,2019,English,Penguin,London,England,london_england,Nonfiction Book,n,464,
zsmith,Dinti Albi,2020,English,Litera Media Group,Bucuresti,Romania,bucuresti_romania,Fiction (Novel),n,464,
zsmith,Changing My Mind: Occasional Essays,2012,English,Hamish Hamilton Canada,"Toronto, ON",Canada,toronto_on_canada,Nonfiction Book,n,306,
zsmith,NW,2021,English,Penguin,Amsterdam,Netherlands,amsterdam_netherlands,Fiction (Novel),n,304,
zsmith,The Embassy Of Cambodia,2021,English,Ernst Klett Sprachen GmbH,Stuttgart,Germany,stuttgart_germany,Fiction (Novel),n,96,
zsmith,De La Beauté,2016,French,Gallimard,Paris,France,paris_france,Fiction (Novel),n,560,Translator: Philippe Aronson
zsmith,Biale Zeby,2017,Polish,Wydawnictwo Znak,Krakow,Poland,krakow_poland,Fiction (Novel),n,464,
zsmith,Sourires De Loup,2003,French,Gallimard,Paris,France,paris_fr_france,Fiction (Novel),n,533,
zsmith,White Teeth,2018,English,"Random House Digital, Inc.","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,464,
zsmith,On Beauty,2021,English,Penguin Books,London,England,london_ldn_england,Fiction (Novel),n,446,
zsmith,Weirdo,2021,English,Puffin,London,England,london_ldn_england,Fiction (Novel),n,32,Co-Author:  Nick Laird
zsmith,Zähne Zeigen Roman,2019,German,M. Buchergilde Gutenberg,Frankfurt,Germany,frankfurt_germany,Fiction (Novel),n,464,
