Zetta Elliott,zelliott,canada,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
zelliott,A Wish After Midnight,2010,English,Skyscape,"New York, NY",United States,new_york_ny_n.y._united_states,Fiction (Novel),n,244,
zelliott,Dragons In A Bag,2018,English,Random House Children's Books,"New York, NY",United States,new_york_ny_n.y._united_states,Fiction (Novel),n,160,
zelliott,Say Her Name.,2020,English,Hyperion Books for Children,"New York, NY",United States,new_york_ny_n.y._united_states,Poetry Collection,n,96,
zelliott,A Place Inside Of Me / A Poem To Heal The Heart,2021,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_n.y._united_states,Poem,n,32,
zelliott,The Deep,2013,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_n.y._united_states,Fiction (Novel),n,176,
zelliott,The Phoenix On Barkley Street,2014,English,Rosetta Press,"Brooklyn, NY",United States,brooklyn_ny_ny_united_states,Fiction (Novel),n,52,
zelliott,The Dragon Thief,2021,English,Random House Books for Young Readers,"New York, NY",United States,new_york_ny_n.y._united_states,Fiction (Novel),n,176,
zelliott,Melena's Jubilee: The Story Of A Fresh Start,2021,English,Tilbury House,"Thomaston, ME",United States,thomaston_maine,Fiction (Novel),n,32,
zelliott,Dragons In A Bag,2018,English,Listening Library,"New York, NY",United States,new_york_ny_n.y._united_states,Fiction (Novel),n,160,
zelliott,Room In My Heart,2014,English,Rosetta Press,"Brooklyn, NY",United States,brooklyn_ny_ny_united_states,Fiction (Novel),n,42,
zelliott,¡A Max Le Gustan Las Muñecas!,2015,Spanish,Rosetta Press,"Brooklyn, NY",United States,brooklyn_ny_ny_united_states,Fiction (Novel),n,136,
zelliott,The Witch's Apprentice,2022,English,Random House Books for Young Readers,"New York, NY",United States,new_york_ny_n.y._united_states,Fiction (Novel),n,272,
zelliott,The Witch's Apprentice,2022,English,Random House Books for Young Readers,"New York, NY",United States,new_york_ny_n.y._united_states,Fiction (Novel),n,272,
zelliott,The Magic Mirror,2014,English,Rosetta Press,"Brooklyn, NY",United States,brooklyn_ny_ny_united_states,Fiction (Novel),n,40,
zelliott,Billie's Blues,2015,English,Rosetta Press,"Brooklyn, NY",United States,brooklyn_ny_ny_united_states,Fiction (Novel),n,30,
zelliott,Moonwalking,2022,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_n.y._united_states,Fiction (Novel),n,224,
zelliott,The Girl Who Swallowed The Sun,2014,English,Rosetta Press,"Brooklyn, NY",United States,brooklyn_ny_ny_united_states,Fiction (Novel),n,32,
zelliott,The Return,2018,English,Rosetta Press,"Brooklyn, NY",United States,brooklyn_ny_ny_united_states,Fiction (Novel),n,108,
zelliott,Dayshaun's Gift,2015,English,Rosetta Press,"Brooklyn, NY",United States,brooklyn_ny_ny_united_states,Fiction (Novel),n,88,
zelliott,A Wave Came Through Our Window,2015,English,Rosetta Press,"Brooklyn, NY",United States,brooklyn_ny_ny_united_states,Fiction (Novel),n,26,
zelliott,The Ghosts In The Castle,2017,English,Rosetta Press,"Brooklyn, NY",United States,brooklyn_ny_ny_united_states,Fiction (Novel),n,114,
zelliott,The Phantom Unicorn,2017,English,Rosetta Press,"Brooklyn, NY",United States,brooklyn_ny_ny_united_states,Fiction (Novel),n,112,
zelliott,Let The Faithful Come,2015,English,Rosetta Press,"Brooklyn, NY",United States,brooklyn_ny_ny_united_states,Fiction (Novel),n,26,
zelliott,Bird,2017,English,Lee & Low Books Inc,"New York, NY",United States,new_york_ny_n.y._united_states,Fiction (Novella),n,48,
zelliott,Say Her Name,2020,English,"Recorded Books, Inc.","Prince Frederick, MD",United States,prince_frederick_md_united¬†states,Poetry Collection,n,308,
zelliott,Say Her Name: Poems To Empower,2020,English,"Little, Brown and Company","New York, NY",United States,new_york_ny_n.y._united_states,Poetry Collection,n,96,
zelliott,Milo's Museum,2016,English,Rosetta Press,"Brooklyn, NY",United States,brooklyn_ny_ny_united_states,Fiction (Novel),n,36,
zelliott,I Love Snow!,2015,English,Rosetta Press,"Brooklyn, NY",United States,brooklyn_ny_ny_united_states,Fiction (Novel),n,26,
zelliott,On My Block,2020,English,Rosetta Press,"Brooklyn, NY",United States,brooklyn_ny_ny_united_states,Fiction (Novel),n,32,
