 Alejo Carpentier,acarpentier,cuba,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
acarpentier,The Kingdom of This World,1949,English,Alfred A. Knopf,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,150,
acarpentier,Le Recours de la Méthode,1974,French,Gallimard,Paris,France,paris_france,Fiction (Novel),y,420,
acarpentier,A Fény Százada,1962,Hungarian,Kriterion Publishing House,Bukarest,Romania,bukarest_romania,Fiction (Novel),y,391,
acarpentier,The Lost Steps,1953,English,Alfred A. Knopf,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,278,
acarpentier,Music in Cuba,1946,English,University Of Minnesota Press,"Minneapolis, MN",United States,minneapolis_mn_united¬†states,Nonfiction Book,y,312,
acarpentier,The Chase,1956,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,121,
acarpentier,Reasons of State,1974,English,Alfred A. Knopf,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,308,
acarpentier,The Harp and the Shadow,1979,English,Mercury House,"San Francisco, CA",United States,san_francisco_ca_united¬†states,Fiction (Novel),y,159,
acarpentier,War of Time,1958,English,Alfred A. Knopf,London,England,london_england,Fiction (Short Story Collection),y,191,
acarpentier,Baroque Concerto,1974,English,Deutsch,London,England,london_england,Fiction (Novella),y,121,
acarpentier,Chasse à L'Homme,1956,French,Gallimard,Paris,France,paris_fr_france,Fiction (Novel),y,208,
acarpentier,L'Arpa e L'Ombra,1979,Italian,Sellerio Editore,Palermo,Italy,palermo_italy,Fiction (Novel),y,247,
acarpentier,Crónicas Habaneras,2018,Spanish,Centre de Recherches Latino-Américaines,Havana,Cuba,havana_cuba,Nonfiction Book,n,189,
acarpentier,Guerra del Tiempo y Otros Relatos,1967,Spanish,Alianza Editorial,Madrid,Spain,madrid_esp_spain,Fiction (Short Story Collection),n,85,
acarpentier,Guerra del Tiempo,1958,Spanish,Editorial Lectorum,Mexico City,Mexico,mexico_city_mexico,Fiction (Short Story Collection),n,214,
