Blas Matamoro ,bmatamoro ,argentina,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
bmatamoro ,Alejo Carpentier Y La Música,2018,Spanish,Fórcola,Madrid,Spain,madrid_spain,Biography,n,173,
bmatamoro ,"Rubén Darío
",2002,Spanish,Espasa-Calpe,Madrid,Spain,madrid_spain,Biography,n,251,
bmatamoro ,El tango,1997,Spanish,Acento,Madrid,Spain,madrid_spain,Non Fiction,n,95,
bmatamoro ,Lógica de la dispersión o De un saber melancólico,2006,Spanish,Pozuelo de Alarcón,Madrid,Spain,madrid_spain,Non Fiction,n,178,
bmatamoro ,La ciudad del tango : tango histórico y sociedad,1982,Spanish,Editorial Galerna,Buenos Aires,Argentina,buenos_aires_argentina,Non Fiction,n,236,
bmatamoro ,Puesto fronterizo : estudios sobre la novela familiar del escritor,2003,Spanish,Editorial Síntesis,Madrid,Spain,madrid_spain,Non Fiction,n,302,
bmatamoro ,Saber y literatura : por una epistemología de la crítica literaria,1980,Spanish,Ediciones de la Torre,Madrid,Spain,madrid_spain,Non Fiction,n,250,
bmatamoro ,Hijos de ciego,1973,Spanish,Centro Editor de América Latina,Buenos Aires,Argentina,buenos_aires_argentina,Non Fiction,n,138,
bmatamoro ,Cuerpo y poder : variaciones sobre las imposturas reales,2012,Spanish,Fórcola Ediciones,Madrid,Spain,madrid_spain,Non Fiction,n,267,
bmatamoro ,El amor en literatura : de Eva a Colette.,2014,Spanish,Fórcola Ediciones,Madrid,Spain,madrid_spain,Non Fiction,n,224,
