 Marilyn Bobes León,mbleón,cuba,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
mbleón,Eros en la Poesí a Cubana,1995,Spanish,Letras Cubanas,Havana,Cuba,havana_cuba,Nonfiction Book,n,96,
mbleón,Alguien Tiene Que Llorar Otra Vez,1995,Spanish,Casa de las Américas,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,69,
mbleón,Revicitaciones Y Homenajes,1998,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Poetry Collection,n,82,
mbleón,Alguien Tiene Que Llorar Otra Vez,1998,Spanish,Ameghino Editora,Rosario,Argentina,rosario_argentina,Fiction (Short Story Collection),n,141,
mbleón,Los Nuevos Caníbales: Antología de la Más Reciente Cuentística del Caribe Hispano,2000,Spanish,Ediciones Unión,Bogotá,Columbia,bogota_colombia,Anthology,n,331,"Co-Authors: Valdez, Pedro Antonio; Gómez Beras, Carlos Roberto; Pausides"
mbleón,Alquien Tiene Que Llorar Otra Ves,2001,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,109,
mbleón,Cuentistas Cubanas de Hoy,2001,Spanish,Ediciones Instituto Movilizador de Fondos Cooperativos C.L,Buenos Aires,Argentina,buenos_aires,Nonfiction Book,n,126,
mbleón,Alguien Tiene Que Llorar Otra Vez,2001,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,109,
mbleón,Cuentistas Cubanas de Hoy,2002,Spanish,Oceano De Mexico,Mexico City,Mexico,mexico_city_mexico,Anthology,n,150,
mbleón,Las Musas Inquietantes: Antología Sobre la Infidelidad,2003,Spanish,Ediciones Unión,Bogotá,Columbia,bogota_colombia,Fiction (Short Story Collection),n,180,
mbleón,Fiebre de Invierno,2005,Spanish,Isla Negra editores,San Juan,Puerto Rico,san_juan_puerto_rico,Fiction (Novel),n,116,
mbleón,Fiebre de Invierno,2006,Spanish,Isla Negra Editores,San Juan,Puerto Rico,san_juan_puerto_rico,Fiction (Novel),n,107,
mbleón,Cuentos Infieles,2006,Spanish,Editorial Verbum,Havana,Cuba,havana_cuba,Anthology,n,178,
mbleón,Más Cuentos Inflieles: La Otra Cara de la Moneda,2009,Spanish,Ediciones Unión,Vedado,Cuba,vedado_cuba,Anthology,n,279,
mbleón,Mujer Perjura: Novela,2009,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction (Novel),n,82,
mbleón,La Aguja Racional Poesía 1978-2010,2011,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Poetry Collection,n,238,
mbleón,Fiebre de Invierno,2012,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction (Novel),n,155,
mbleón,Fiebre de Invierno,2012,Spanish,Isla Negra Editores,Havana,Cuba,havana_cuba,Anthology,n,155,
mbleón,La Aguja Racional Poesí A 1978-2010,2012,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Poetry Collection,n,238,
mbleón,Los Signos Conjeturables,2014,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Short Story,n,148,
mbleón,Alguien Tiene Que Llorar Otra Vez,2016,Spanish,Guantanamera,Seville,Spain,seville_spain,Fiction (Short Story Collection),n,109,
mbleón,¿Te Gusta Peter Handke?: Mis Mejores Cuentos,2016,Spanish,Editorial Verbum,Madrid,Spain,madrid_spain,Fiction (Short Story Collection),n,158,
mbleón,A Quien Pueda Interesar: Y Otros Relatos,2016,Spanish,Ediciones Unión,Bogotá,Columbia,bogota_colombia,Fiction (Short Story Collection),n,101,Co-Author: Mariana Travacio
mbleón,Alguien Tiene Que Llorar Otra Vez,2017,Spanish,Guantanamera,Seville,Spain,seville_spain,Fiction (Short Story Collection),n,114,
mbleón,Alguien Tiene Que Llorar Otra Vez,2018,Spanish,Guantanamera,Seville,Spain,seville_spain,Fiction (Short Story Collection),n,164,
mbleón,Alguien Tiene Que Llorar Otra Vez,2018,Spanish,Guantanamera,Seville,Spain,seville_spain,Fiction (Short Story Collection),n,164,
