 Aimé Césaire,acésaire,martinique,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,Pub_city,Country,Pub_id,Genre,Translation,Length,Descriptor
acésaire,"Moi, Laminaire",1982,French,Éditions du Seuil,Paris,France,paris_france,Poetry Collection,n,94,
acésaire,Collected Poetry,1983,French,University of California Press,"Oakland, CA",United States,oakland_ca_united¬†states,Poetry Collection,n,432,
acésaire,Une Tempête,1997,French,Éditions du Seuil,Paris,France,paris_france,Drama,n,91,
acésaire,Premiers Jalons Pour une Politique de la Culture,1986,French,Presence Africaine,Paris,France,paris_france,Nonfiction Book,n,42,
acésaire,Lettre a Maurice Thorez,1985,French,Parti Progressite Martiniquais,Fort-de-France,Martinique,fort_de_france_martinique,Nonfiction Book,n,60,
acésaire,Notebook of a Return to the Native Land,2013,English,Wesleyan University Press,"Middletown, CT",United States,middletown_ct_united¬†states,Poem,y,73,
acésaire,A Tempest,2002,English,Theatre Communications Group,"New York, NY",United States,new_york_ny_united_states,Drama,y,69,
acésaire,Discourse on Colonialism,2000,English,Monthly Review Press,"New York, NY",United States,new_york_ny_united_states,Nonfiction Book,y,96,
acésaire,A Tempest,1988,English,Ubu Repertory Theater,"New York, NY",United States,new_york_ny_united_states,Drama,y,75,
acésaire,"Lyric and Dramatic Poetry, 1946-82",1990,English,University Press of Virginia,"Charlottesville, VA",United States,charlottesville_va_united¬†states,Poetry Collection,y,235,
acésaire,Une Tempête,1987,French,Éditions du Seuil,Paris,France,paris_france,Drama,n,91,
acésaire,Ferrements,1989,French,Éditions du Seuil,Paris,France,paris_france,Poetry Collection,n,96,
acésaire,Cadastre,1987,French,Éditions du Seuil,Paris,France,paris_france,Poetry Collection,n,91,
acésaire,Cadastre,1989,French,Éditions du Seuil,Paris,France,paris_france,Poetry Collection,n,91,
acésaire,Et les Chiens Se Taisaient: Tragédie : Arrangement Théâtral,1989,French,Présence Africaine,Paris,France,paris_france,Drama,n,122,
acésaire,Toussaint Louverture: La Révolution Française et le Problème Colonial,1981,French,Livre Club Diderot,Paris,France,paris_france,Nonfiction Book,n,345,
acésaire,Toussaint Louverture: La Révolution Française et le Problème Colonial,1962,French,Présence Africaine,Paris,France,paris_france,Nonfiction Book,n,311,
acésaire,Les Armes Miraculeuses,1989,French,Gallimard,Paris,France,paris_france,Poetry Collection,n,155,
acésaire,Une Saison Au Congo,1981,French,Éditions du Seuil,Paris,France,paris_france,,n,116,
acésaire,Une Saison Au Congo,1988,French,Éditions du Seuil,Paris,France,paris_france,,n,116,
acésaire,La Tragédie Du Roi Christophe,1984,French,Présence Africaine,Paris,France,paris_france,,n,153,
acésaire,La Tragédie Du Roi Christophe,1990,French,Présence Africaine,Paris,France,paris_france,,n,153,
acésaire,Discours sur le Colonialisme,1989,French,Présence Africaine,Paris,France,paris_france,Nonfiction Book,n,NA,
acésaire,Cahier d'un Retour au Pays Natal,1983,French,Présence Africaine,Paris,France,paris_france,Poetry Collection,n,93,
acésaire,Cahier d'un Retour au Pays Natal,1990,French,Présence Africaine,Paris,France,paris_france,Poetry Collection,n,101,
acésaire,"Moi, Laminaire",1982,French,Éditions du Seuil,Paris,France,paris_france,Poetry Collection,n,94,
acésaire,Ferrements,1981,French,Éditions du Seuil,Paris,France,paris_france,Poetry Collection,n,92,
acésaire,Cadastre,1981,French,Éditions du Seuil,Paris,France,paris_france,Poetry Collection,n,94,
acésaire,Gedichte,1987,German,München Wien Hanser,Munich,Germany,munich_germany,Poetry Collection,n,102,
acésaire,Notebook of a Return to the Native Land,2020,English,Bloodaxe Books,Hexham,England,hexham_england,Fiction (Novel),y,144,
acésaire,Non-Vicious Circle: Twenty Poems Of Aimé Césaire,1984,English,Stanford University Press,"Stanford, CA",United States,stanford_ca_united¬†states,Poetry Collection,y,152,
acésaire,Some African Poems,1981,English,Munger Africana Library,"Pasadena, CA",United States,pasadena_ca_united¬†states,Poetry Collection,y,19,
acésaire,The Woman and the Knife,1981,English,Red Ozier Press,"New York, NY",United States,new_york_ny_united_states,Poem,y,,
acésaire,Journal of a Homecoming,2017,English,Duke University Press Books,"Durham, NC",England,durham_nc_england,Poetry Collection,y,328,
acésaire,A Tempest,1986,English,Ubu Repertory Theater Publications,"New York, NY",United States,new_york_ny_united_states,Drama,y,75,
acésaire,Guide du Militant,1982,French,Parti Progressiste Martiniquais,Fort-de-France,Martinique,fort_de_france_martinique,Nonfiction Book,n,88,Parti Progressiste Martiniquais
