Alberto Garrandés,agarrandés,cuba,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
agarrandés,Body Art,2014,English,Editorial Letras Cubanas.,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),y,,
agarrandés,The Immortal Body: Cuban Erotic Short Stories,1999,Spanish,Editorial José Martí,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,,
agarrandés,Aire De Luz: Cuentos Cubanos Del Siglo XX,1999,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,,
agarrandés,Aire De Luz: Cuentos Cubanos Del Siglo XX,2004,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,,
agarrandés,Aire De Luz: Cuentos Cubanos Del Siglo XX,2014,Spanish,Artex Publishing,"Holiday, FL",United States,holiday_fl_united¬†states,Fiction (Short Story Collection),n,,
agarrandés,Ezequiel Vieta Y El Bosque Cifrado,1993,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Essay,n,,
agarrandés,Sexo De Cine Visitaciones Y Goces De Un Peregrino,2012,Spanish,Ediciones ICAIC,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,,
agarrandés,Silencio Y Destino,2002,Spanish,Editorial Plaza Mayor,San Juan,Puerto Rico,san_juan_puerto_rico,Nonfiction Book,n,,
agarrandés,Días Invisibles,2009,Spanish,Editorial Oriente,Santiago,Cuba,santiago_cuba,Fiction (Novel),n,,
agarrandés,Poco Antes Del 2000 : Jóvenes Cuentistas Cubanos En Las Puertas Del Nuevo Mundo,1997,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,,
agarrandés,Mundos Extraños : Narraciones Clásicas De Lo Fantástico Y Lo Sobrenatural,2008,Spanish,Editorial Arte y Literatura,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,,
agarrandés,El Cuerpo Inmortal Revisitado : Cuentos Eróticos Cubanos,2004,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,,
agarrandés,Cuentos De Amor Y Desamor,2012,Spanish,Editorial Gente Nueva,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,,
agarrandés,La Poética Del Límite : Sobre La Cuentística De Virgilio Piñera,1993,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Essay,n,,
agarrandés,La Poética Del Límite : Sobre La Cuentística De Virgilio Piñera,1994,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Essay,n,,
agarrandés,Presunciones,2005,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Essay,n,,
agarrandés,El Cuerpo Immortal : 20 Cuentos Eróticos Cubanos,1997,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,,
agarrandés,Silencio Y Destino : Anatomía De Una Novela Lírica,1996,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Essay,n,,
agarrandés,Silencio Y Destino : Anatomía De Una Novela Lírica,2002,Spanish,Editorial Plaza Mayor,San Juan,Puerto Rico,san_juan_puerto_rico,Essay,n,,
agarrandés,Tres Cuentistas Cubanos Ensayo,1993,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Essay,n,,
agarrandés,Una Pasión En El Desierto : Y Otros Cuentos De Amor,2011,Spanish,Editorial Arte y Literatura,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,,
agarrandés,Fábulas : Impúdicas,2016,Spanish,Ediciones Loynaz,Pinar del Río,Cuba,pinar_del_r√≠o_cuba,Fiction (Short Story Collection),n,,
agarrandés,Walkman (Palimpsesto),1992,Spanish,Ediciones Extramuros,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,,
agarrandés,La Reina Sobrecogida,2016,Spanish,Ediciones Holguín,Guayaquil,Ecuador,guayaquil_ecuador,Fiction (Novel),n,,
agarrandés,"El Espejo : Morfologías Del Cuerpo Gay-Lesbiano, Queer En El Cine",2016,Spanish,Ediciones ICAIC,Havana,Cuba,havana_cuba,Essay,n,,
agarrandés,Mar De Invierno Y Otros Delirios,2018,Spanish,Ediciones La Luz,Holguín,Cuba,holgu√≠n_cuba,Fiction (Short Story Collection),n,,
agarrandés,Tres Relatos Góticos,2003,Spanish,Editorial Arte y Literatura,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,,
agarrandés,El Ojo Absorto: Notas Sobre El Cuerpo En El Cine,2014,Spanish,Ediciones ICAIC,Havana,Cuba,havana_cuba,Essay,n,,
agarrandés,La Mirada Critica,2007,Spanish,Ediciones Almargen : Editorial Cauce : UNEAC,Pinar del Río,Cuba,pinar_del_r√≠o_cuba,Essay,n,,
agarrandés,La Lengua Impregnada: Fluencias Libres Sobre Erotismo Y Sexualidad En La Narrativa Cubana Contemporánea,2011,Spanish,Instituto Cubano del Libro,Havana,Cuba,havana_cuba,Essay,n,,
agarrandés,La Lengua Impregnada: Fluencias Libres Sobre Erotismo Y Sexualidad En La Narrativa Cubana Contemporánea,2012,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Essay,n,,
agarrandés,Donde Su Fuego Nunca Se Apaga,2008,Spanish,Editorial Gente Nueva,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,,
agarrandés,Ezequiel Vieta Y El Bosque Cifrado,1993,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Essay,n,,
agarrandés,Señores De La Oscuridad : El Gótico En El Cine,2018,Spanish,Ediciones ICAIC,Havana,Cuba,havana_cuba,Essay,n,,
agarrandés,Rapunzel: Y Otras Historias,2009,Spanish,Ediciones Holguín,Guayaquil,Ecuador,guayaquil_ecuador,Essay,n,,
agarrandés,El Espejo Roto : Morfologías Del Cuerpo Gay-Lesbiano/Queer En El Cine,2016,Spanish,Ediciones ICAIC,Havana,Cuba,havana_cuba,Essay,n,,
agarrandés,Diálogos Con Los Muertos Y Otros Ensayos,2016,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Essay,n,,
agarrandés,Demonios,2016,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Fiction (Novel),n,,
agarrandés,Los Dientes Del Dragón,1999,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Essay,n,,
agarrandés,Silencio Y Destino : Arquetipos Culturales Y Representación Simbólica En Jardín De Dulce María Loynaz,2002,Spanish,Editorial Plaza Mayor,San Juan,Puerto Rico,san_juan_puerto_rico,Essay,n,,
agarrandés,Las Nubes En El Agua: Novela,2010,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction (Novel),n,,
agarrandés,Las Nubes En El Agua,2015,Spanish,Bokeh,Leiden,Netherlands,leiden_netherlands,Fiction (Novel),n,,
agarrandés,Las Potestades Incorpóreas,2007,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Fiction (Novel),n,,
agarrandés,Capricho Habanero,2000,Spanish,Benemérita Universidad Autónoma de Puebla,Puebla,Mexico,puebla_mexico,Fiction (Novel),n,,
agarrandés,Capricho Habanero Corte Del Director,2015,Spanish,Editorial Ácana,Camaguey,Cuba,camaguey_cuba,Fiction (Novel),n,,
agarrandés,Poco Antes Del 2000 : Jóvenes Cuentistas Cubanos En Las Puertas Del Nuevo Siglo,1997,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,,
agarrandés,Cibersade: Seis Piezas Narrativas,2002,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,,
agarrandés,"La Insula Fabulante : El Cuento Cubano En La Revolución, 1959-2008",2008,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Short Story,n,,
agarrandés,"El Concierto De Las Fábulas : Discursos, Historia E Imaginación En La Narrativa Cubana De Los Años Sesenta",2008,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Essay,n,,
agarrandés,"El Concierto De Las Fábulas : Discursos, Historia E Imaginación En La Narrativa Cubana De Los Años Sesenta",2015,Spanish,Editorial Letras Cubanas,Paraná,Brazil,paran√°_brazil,Essay,n,,
agarrandés,Aire De Luz: Cuentos Cubanos Del Siglo XX,2014,Spanish,Artex Publishing,"Holiday, FL",United States,holiday_fl_united¬†states,Fiction (Short Story Collection),n,,
agarrandés,Instrucciones Para Cruzar El Espejo,2010,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Anthology,n,,
