Alejo Carpenter,acarpenter,cuba,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,Pub_city,Country,Pub_id,Genre,Translation,Length,Descriptor
acarpenter,Le Recours de la Méthode,2008,French,Gallimard,Paris,France,paris_france,Fiction (Novel),y,420,
acarpenter,A Fény Százada,1979,Hungarian,Kriterion Publishing House,Bukarest,Romania,bukarest_romania,Fiction (Novel),y,391,
acarpenter,The Kingdom of This World,1957,English,Alfred A. Knopf,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,150,
acarpenter,The Lost Steps,1956,English,Alfred A. Knopf,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,278,
acarpenter,The Kingdom of This World,2006,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,180,
acarpenter,The Kingdom of This World,2017,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,160,
acarpenter,The Kingdom of This World,1989,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,186,
acarpenter,Music in Cuba,2001,English,University Of Minnesota Press,"Minneapolis, MN",United States,minneapolis_mn_united¬†states,Nonfiction Book,y,312,
acarpenter,The Chase,1989,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,121,
acarpenter,The Kingdom of This World,2017,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,160,
acarpenter,The Kingdom of This World,1990,English,André Deutsch,London,England,london_england,Fiction (Novel),y,150,
acarpenter,Reasons of State,1976,English,Alfred A. Knopf,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,308,
acarpenter,The Harp and the Shadow,1990,English,Mercury House,"San Francisco, CA",United States,san_francisco_ca_united¬†states,Fiction (Novel),y,159,
acarpenter,The Harp and the Shadow,1992,English,Mercury House,"San Francisco, CA",United States,san_francisco_ca_united¬†states,Fiction (Novel),y,176,
acarpenter,The Harp and the Shadow,1990,English,Mercury House,"San Francisco, CA",United States,san_francisco_ca_united¬†states,Fiction (Novel),y,159,
acarpenter,The Harp and the Shadow,1992,English,Mercury House,"San Francisco, CA",United States,san_francisco_ca_united¬†states,Fiction (Novel),y,176,
acarpenter,War of Time,1970,English,Alfred A. Knopf,London,England,london_england,Fiction (Novel),y,191,
acarpenter,Baroque Concerto,1991,English,Deutsch,London,England,london_england,Fiction (Novella),y,121,
acarpenter,Concierto Barroco,1995,Spanish,Council Oak Books,"Tulsa, OK",United States,tulsa_ok_united¬†states,Fiction (Novella),n,135,
acarpenter,Chasse à L'Homme,2014,French,Gallimard,Paris,France,paris_france,Fiction (Novel),y,283,
acarpenter,Chasse à L'Homme,1958,French,Gallimard,Paris,France,paris_france,Fiction (Novel),y,208,
acarpenter,Chasse à L'Homme,1993,French,Gallimard,Paris,France,paris_france,Fiction (Novel),y,203,
acarpenter,L'Arpa e L'Ombra,2020,Italian,Sellerio Editore,Palermo,Italy,palermo_italy,Fiction (Novel),y,247,
acarpenter,El Reino de Este Mundo,2009,Spanish,Rayo,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,169,
acarpenter,!Écue-Yamba-Ó! : Edición Crítica,2018,Spanish,Coleccíon Archivos,Poitiers,France,poitiers_france,Fiction (Novella),n,301,
acarpenter,Crónicas Habaneras,2018,Spanish,Centre de Recherches Latino-Américaines,Havana,Cuba,havana_cuba,Nonfiction Book,n,189,
acarpenter,Guerra del Tiempo y Otros Relatos,2018,Spanish,Alianza Editorial,Madrid,Spain,madrid_esp_spain,Short Story,n,85,
acarpenter,Guerra del Tiempo,2001,Spanish,Editorial Lectorum,Mexico City,Mexico,mexico_city_mexico,Short Story,n,214,
acarpenter,Visión de América,2019,Spanish,Editorial Verbum,Madrid,Spain,madrid_esp_spain,Nonfiction Book,n,168,
acarpenter,¡Écue-Yamba-Ó!,2010,Spanish,Ediciones Akal,Tres Cantos,Spain,tres_cantos_spain,Fiction (Novella),n,384,
acarpenter,El Acoso,2004,Spanish,Alianza Editorial,Madrid,Spain,madrid_esp_spain,Fiction (Novella),n,144,
acarpenter,La Ciudad de las Columnas,1982,Spanish,Editorial Bruguera,Barcelona,Spain,barcelona_spain,Nonfiction Book,n,94,
acarpenter,"Bajo el Signo de la Cibeles: Crónicas Sobre España Y los Españoles, 1925-1937",1979,Spanish,Editorial Nuestra Cultura,Madrid,Spain,madrid_esp_spain,Nonfiction Book,n,176,
acarpenter,Cuentos Completos,1980,Spanish,Editorial Bruguera,Barcelona,Spain,barcelona_spain,Fiction (Short Story Collection),n,218,
acarpenter,"Obras Completas de Alejo Carpenter Volumen 3: Guerra del Tiempo, el Acoso y Otro Relatos",1984,Spanish,Siglo Veintiuno Editores,Mexico City,Mexico,mexico_city_mexico,Fiction (Short Story Collection),n,237,
acarpenter,La Consagración de la Primavera,1986,Spanish,Siglo Veintiuno Editores,Mexico City,Mexico,mexico_city_mexico,Fiction (Novella),n,576,
acarpenter,La Musica en Cuba,1946,Spanish,Fondo de Cultura Economica.,Mexico City,Mexico,mexico_city_mexico,Nonfiction Book,n,282,
acarpenter,El Recurso del Método,1974,Spanish,Siglo XXI de España Editores,Mexico City,Mexico,mexico_city_mexico,Fiction (Novella),n,343,
acarpenter,Los Pasos Perdidos,1973,Spanish,Compañia General de Ediciones,Barcelona,Spain,barcelona_spain,Fiction (Novella),n,288,
acarpenter,El Siglo de las Luces,1980,Spanish,Editorial Bruguera,Barcelona,Spain,barcelona_spain,Fiction (Novella),n,NA,
acarpenter,El Siglo de las Luces,2020,Spanish,Seix Barral,Barcelona,Spain,barcelona_spain,Fiction (Novella),n,364,
acarpenter,Los Pasos Perdidos,2020,Spanish,Vintage Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novella),n,368,
acarpenter,Los Pasos Perdidos,2020,Spanish,Penguin Random House,"New York, NY",United States,new_york_ny_united_states,Fiction (Novella),n,389,
acarpenter,Recuento de Moradas,2021,Spanish,Editorial Cõ,"Lutz, FL",United States,lutz_fl_united¬†states,Nonfiction Book,n,189,
acarpenter,Concierto Barroco,1975,Spanish,Editorial Arte y Literatura,Havana,Cuba,havana_cuba,Fiction (Novella),n,119,
acarpenter,El Arpa y la Sombra,2004,Spanish,Siglo XXI de España Editores,Mexico City,Mexico,mexico_city_mexico,Fiction (Novella),n,227,
acarpenter,El Arpa y la Sombra,2021,Spanish,Alianza Editorial,Madrid,Spain,madrid_esp_spain,Fiction (Novella),n,137,
acarpenter,El Arpa y la Sombra,2021,Spanish,Alianza Editorial,Madrid,Spain,madrid_esp_spain,Fiction (Novella),n,137,
acarpenter,La Consagración de la Primavera,2015,Spanish,Alianza Editorial,Madrid,Spain,madrid_esp_spain,Fiction (Novella),n,736,
acarpenter,La Consagración de la Primavera,2021,Spanish,Alianza Editorial,Madrid,Spain,madrid_esp_spain,Fiction (Novella),n,563,
acarpenter,El Recurso del Método,2005,Spanish,Siglo XXI de España Editores,Mexico City,Mexico,mexico_city_mexico,Fiction (Novella),n,343,
acarpenter,Los Pasos Perdidos,2014,Spanish,Editorial Lectorum,Mexico City,Mexico,mexico_city_mexico,Fiction (Novella),n,250,
acarpenter,Los Pasos Perdidos,2021,Spanish,Alianza Editorial,Madrid,Spain,madrid_esp_spain,Fiction (Novella),n,306,
acarpenter,Die Methode der Macht,1989,German,Suhrkamp Verlag,Frankfurt,Germany,frankfurt_ge_germany,Fiction (Novella),y,389,
acarpenter,Materiales de la Revista Casa de las Americas,2004,Spanish,Casa de las Américas,Havana,Cuba,havana_cuba,Nonfiction Book,n,166,
acarpenter,Viaje a la Semilla,2003,Spanish,Editorial Txalaparta,Tafalla,Spain,tafalla_spain,Fiction (Novella),n,60,
acarpenter,Explosion in a Cathedral,1963,English,"Little, Brown and Company","New York, NY",United States,new_york_ny_united_states,Fiction (Novella),y,351,
acarpenter,Entrevistas,1985,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,NA,n,548,
acarpenter,Los Pasos Perdidos,1982,Spanish,Editorial Bruguera,Barcelona,Spain,barcelona_spain,Fiction (Novella),n,282,
acarpenter,El Reino de Este Mundo,1972,Spanish,Editorial Universitaria,Santiago,Chile,santiago_chile,Fiction (Novella),n,155,
acarpenter,Reasons of State,2013,English,Melville House,"Brooklyn, NY",United States,brooklyn_ny_ny_united_states,Fiction (Novella),y,400,
acarpenter,La Danse Sacrale,2018,French,Gallimard,Paris,France,paris_fr_france,Fiction (Novella),y,784,
acarpenter,El Recurso del Método,2020,Spanish,Editorial Lectorum,Mexico City,Mexico,mexico_city_mexico,Fiction (Novella),n,352,
acarpenter,La Ciudad de las Columnas,1970,Spanish,Editorial Lumen,Buenos Aires,Argentina,buenos_aires,Nonfiction Book,n,60,
