Andrew Salkey,asalkey,jamaica,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
asalkey,West Indian Stories,1960,English,Faber and Faber,London,England,london_ldn_england,Anthology,n,224,
asalkey,Escape To An Autumn Pavement,1960,English,Hutchinson,London,England,london_ldn_england,Fiction (Novel),n,207,
asalkey,Hurricane,1964,English,Oxford University Press,London,England,london_ldn_england,Fiction (Novel),n,138,
asalkey,Stories From The Caribbean: An Anthology,1965,English,Elek Books,London,England,london_ldn_england,Anthology,n,256,
asalkey,Earthquake,1965,English,Oxford University Press,London,England,london_united¬†kingdom,Fiction (Novel),n,123,
asalkey,Drought,1966,English,Oxford University Press,London,England,london_ldn_england,Fiction (Novel),n,144,
asalkey,The Shark Hunters,1966,English,Nelson Caribbean,London,England,london_ldn_england,Fiction (Novel),n,73,
asalkey,Riot,1967,English,Oxford University Press,London,England,london_ldn_england,Fiction (Novel),n,196,
asalkey,The Late Emancipation Of Jerry Stover,1968,English,Hutchinson,London,England,london_ldn_england,Fiction (Novel),n,246,
asalkey,Jonah Simpson,1969,English,Oxford University Press,London,England,london_ldn_england,Fiction (Novel),n,168,
asalkey,The Adventures Of Catullus Kelly,1969,English,Hutchinson,London,England,london_ldn_england,Fiction (Novel),n,196,
asalkey,Orkanen,1970,Danish,Høst,Copenhagen,Denmark,copenhagen_denmark,Fiction (Novel),y,123,
asalkey,Island: Stories From The West Indies,1970,English,Liveright,"New York, NY",United States,new_york_ny_united¬†states,Anthology,n,260,
asalkey,Havana Journal,1971,English,Penguin Books,Harmondsworth,England,harmondsworth_ldn_england,Nonfiction,n,316,
asalkey,Breaklight: An Anthology Of Caribbean Poetry,1971,English,Hamish Hamilton,London,England,london_ldn_england,Anthology,n,266,
asalkey,Anancy And Andrew Salkey,1986,English,University of The West Indies Press,Mona,Jamaica,mona_jamaica,Fiction (Short Story Collection),n,221,
