Andrew Salkey,asalkey,jamaica,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
asalkey,Orkanen,1970,Danish,Høst,Copenhagen,Denmark,copenhagen_denmark,Fiction (Novel),y,123,
asalkey,Hurricane,1964,English,Oxford University Press,London,England,london_ldn_england,Fiction (Novel),n,138,
asalkey,Stories From The Caribbean: An Anthology,1972,English,Elek,London,England,london_ldn_england,Anthology,n,257,1965
asalkey,Havana Journal,1971,English,Penguin Books,Harmondsworth,England,harmondsworth_ldn_england,Nonfiction Book,n,315,
asalkey,The Shark Hunters,1971,English,Nelson Caribbean,London,England,london_ldn_england,Fiction (Novel),n,73,1966
asalkey,Breaklight: An Anthology Of Caribbean Poetry,1971,English,Hamish Hamilton,London,England,london_ldn_england,Anthology,n,265,
asalkey,Earthquake,1970,English,Oxford University Press,London,England,london_ldn_england,Fiction (Novel),n,102,
asalkey,Island: Stories From The West Indies,1970,English,Liveright,"New York, NY",United States,new_york_ny_united¬†states,Fiction (Short Story Collection),n,254,
asalkey,Escape To An Autumn Pavement,1970,English,Kraus International Publications,Nendeln,Liechtenstein,nendeln_liechtenstein,Fiction (Novel),n,213,
asalkey,Jonah Simpson,1969,English,Oxford University Press,London,England,london_ldn_england,Fiction (Novel),n,168,1969
asalkey,Riot,1967,English,Oxford University Press,London,England,london_ldn_england,Fiction (Novel),n,172,
asalkey,Drought,1966,English,Oxford University Press,London,England,london_ldn_england,Fiction (Novel),n,120,
asalkey,The Shark Hunters,1966,English,Nelson Caribbean,London,England,london_ldn_england,Fiction (Novel),n,73,1966
asalkey,Stories From The Caribbean: An Anthology,1965,English,Elek Books,London,England,london_ldn_england,Anthology,n,257,1965
asalkey,West Indian Stories,1960,English,Faber and Faber,London,England,london_ldn_england,Fiction (Short Story Collection),n,224,
asalkey,The Adventures Of Catullus Kelly,1969,English,Hutchinson,London,England,london_ldn_england,Fiction (Novel),n,196,
asalkey,The Late Emancipation Of Jerry Stover,1968,English,Hutchinson,London,England,london_ldn_england,Fiction (Novel),n,246,
asalkey,Escape To An Autumn Pavement,1960,English,Hutchinson,London,England,london_ldn_england,Fiction (Novel),n,213,
asalkey,Jonah Simpson,1970,English,Roy Publishers,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,168,1969
asalkey,Earthquake,1965,English,Oxford University Press,London,England,london_united¬†kingdom,Fiction (Novel),n,102,
asalkey,Anancy And Andrew Salkey,1986,English,University of The West Indies Press,Mona,Jamaica,mona_jamaica,NA,n,221,
asalkey,"Writing in Cuba Since the Revolution: An Anthology of Poems, Short Stories, and Essays",1977,English,Bogle-l'Ouverture Publications Limited,London,England,london_united¬†kingdom,Poetry Collection,n,162,
asalkey,In the Hills Where Her Dreams Live,1979,English,Casa de las Américas,Havana,Cuba,havana_cuba,Poetry Collection,n,46,
asalkey,Away,1980,English,Allison & Busby,London,England,london_united¬†kingdom,Poetry Collection,n,76,
asalkey,In the Border Country and Other Stories,1998,English ,Bogle-l'Ouverture Publications Limited,London,England,london_united¬†kingdom,Fiction,n,270,
asalkey,Jamaica,1983,English,Bogle-L'Ouverture Publications,London,England,london_united¬†kingdom,Poem,n,NA,
asalkey,Anancy's Score,1973,English,Bogle-L'Ouverture Publications,London,England,london_united¬†kingdom,Fiction (Short Story Collection),n,178,
asalkey,Joey Tyson,1974,English,Bogle-L'Ouverture Publications,London,England,london_united¬†kingdom,Fiction (Short Story Collection),n,114,
asalkey,"Anancy, Traveller",1992,English,Bogle-L'Ouverture Publications,London,England,london_united¬†kingdom,Fiction (Novel),n,221,
asalkey,Danny Jones,1980,English,Bogle-L'Ouverture Publications,London,England,london_united¬†kingdom,Fiction (Novel),n,135,
asalkey,"Come Home, Malcolm Hartland",1976,English,Hutchinson ,London,England,london_united¬†kingdom,Fiction (Novel),n,208,
asalkey,"Georgetown Journal: A Caribbean Writer's Journey from London Via Port of Spain to Georgetown, Guyana, 1970",1972,English,New Beacon Books,London,England,london_united¬†kingdom,Nonfiction Book,n,416,
asalkey,The One: The Story of how the People of Guyana Avenge the Murder of Their Pasero with Help from Brother Anancy and Sister Buxton,1985,English,Bogle-L'Ouverture Publications,London,England,london_united¬†kingdom,Fiction (Novella),n,48,
asalkey,The River That Disappeared,1993,English,Bogle-L'Ouverture Publications,London,England,london_united¬†kingdom,Fiction (Novel),n,128,
asalkey,Brother Anancy and Other Stories,1993,English,Longman Inc.,London,England,london_united¬†kingdom,Fiction (Short Story Collection),n,112,
asalkey,Caribbean Folk Tales and Legends,1980,English,Bogle L'Ouverture Publications,London,England,london_united¬†kingdom,Fiction (Short Story Collection),n,136,
