Austin Clarke - AuthorTemplate
Austin Clarke,aclarke,barbados,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
aclarke,Collected Plays,1963,English,The Dolmen Press,Dublin,Ireland,dublin_ireland,Drama,n,410,
aclarke,The Survivors of the Crossing,1964,English,Heinemann,London,England,london_england,Fiction (Novel),n,202,
aclarke,Amongst Thistles and Thorns,1965,English,Heinemann,London,England,london_england,Fiction (Novel),n,183,
aclarke,When He Was Free and Young and He Used To Wear Silks,1971,English,A List,Toronto,Canada,toronto_canada,Fiction (Short Story Collection),n,182,
aclarke,Storm Of Fortune,1973,English,"Little, Brown and Company","Boston, MA",United States,boston_ma_united states,Fiction (Novel),n,312,
aclarke,The Bigger Light,1975,English,"Little, Brown and Company","Boston, MA",United States,boston_ma_united states,Fiction (Novel),n,288,
aclarke,The Prime Minister,1977,English,General Publishing,Don Mills,Canada,don_mills_canada,Fiction (Novel),n,191,
aclarke,Growing Up Stupid Under the Union Jack,1980,English,McClelland & Stewart,Toronto,Canada,toronto_canada,Autobiography/ Memoir,n,192,
aclarke,When Women Rule,1985,English,McClelland and Stewart,Toronto,Canada,toronto_canada,Fiction (Short Story Collection),n,174,
aclarke,Proud Empires,1986,English,Viking Press,Markham,Canada,markham_canada,Fiction (Novel),n,224,
aclarke,Nine Men Who Laughed,1986,English,Penguin Books,Markham,Canada,markham_canada,Fiction (Short Story Collection),n,240,
aclarke,In This City,1992,English,Exile Editions,Toronto,Canada,toronto_canada,Fiction (Short Story Collection),n,223,
aclarke,There Are No Elders,1993,English,Exile Editions,Toronto,Canada,toronto_canada,Fiction (Short Story Collection),n,182,
aclarke,A Passage Back Home: A Personal Reminiscence of Samuel Selvon,1994,English,Exile Editions,Toronto,Canada,toronto_canada,Biography,n,143,
aclarke,The Austin Clarke Reader,1996,English,Exile Editions,Toronto,Canada,toronto_canada,Fiction (Short Story Collection),n,349,
aclarke,The Question,1999,English,McClelland & Stewart,Toronto,Canada,toronto_canada,Fiction (Novel),n,243,
aclarke,Pig Tails 'N' Breadfruit - Anniversary Edition,1999,English,Ian Randle Publishers,Kingston,Jamaica,kingston_jamaica,Biography,n,258,
aclarke,Pigs Tails 'N Breadfruit: Rituals Of Slave Food,1999,English,"Random House Digital, Inc.",Toronto,Canada,toronto_canada,Biography,n,248,
aclarke,The Polished Hoe,2002,English,Thomas Allen Publishers,Toronto,Canada,toronto_canada,Fiction (Novel),n,462,
aclarke,Choosing His Coffin,2003,English,Thomas Allen Publishers,Toronto,Canada,toronto_canada,Fiction (Short Story Collection),n,384,
aclarke,More,2008,English,HarperCollins,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,320,
