Barbara Hambly,bhambley,united_states,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
bhambley,The Time of the Dark,1982,English,Ballantine Books,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,263,Series: Darwath (#1)
bhambley,The Walls of Air,1983,English,Del Rey Books,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,297,Series: Darwath (#2)
bhambley,The Armies of Daylight,1983,English,Del Rey Books,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,309,Series: Darwath (#3)
bhambley,The Quirinal Hill Affair,1983,English,St. Martin's Press,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,280,
bhambley,The Ladies of Mandrigyn,1984,English,Ballantine Books,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,311,
bhambley,Ishmael,1985,English,Pocket Books,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,255,Series: Star Trek: The Original Series (#23)
bhambley,The Silent Tower,1986,English,Del Rey Books,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,369,Series: Windrose Chronicles #1
bhambley,The Darwath Trilogy,1986,English,Open Road Media Sci-Fi & Fantasy,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,1036,Series: Darwath (#1-3)
bhambley,Dragonsbane (Winterlands),1987,English,Del Rey Books,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,352,Book 1 of 4: Winterlands
bhambley,The Witches of Wenshar,1987,English,Del Rey Books,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,272,Series: Sun Wolf & Starhawk (#2)
bhambley,Those Who Hunt the Night,1988,English,Unwin Paperbacks,London,United Kingdom,london_united kingdom,Fiction (Novel),n,350,Series: James Asher Chronicles Book 1
bhambley,The Silicon Mage,1988,English,Del Rey Books,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,338,"Series: 	
Windrose Chronicles (#2)"
bhambley,The Dark Hand of Magic,1990,English,Del Rey Books,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,423,Series: Sun Wolf & Starhawk (#3)
bhambley,The Rainbow Abyss,1991,English,Del Rey Books,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,306,Series: Sun-Cross (#1)
bhambley,Dog Wizard,1992,English,Del Rey Books,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,389,Series: Windrose Chronicles (#3)
bhambley,Stranger at the Wedding,1994,English,Del Rey Books,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,341,Series: Windrose Chronicles (#3)
bhambley,Bride of the Rat God,1994,English,Random House Inc,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,338,
bhambley,Star Wars: Children of the Jedi,1995,English,Bantam Spectra,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,416,Series: Star Wars - Legends
bhambley,Traveling with the Dead,1995,English,Del Rey Books,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,343,Series: James Asher (#2 )
bhambley,Mother of Winter,1996,English,Del Rey Books,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,380,Series: Darwath (#4)
bhambley,Star Wars: Planet of Twilight,1997,English,Bantam Spectra,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,400,Series: Callista Trilogy #3
bhambley,"A Free Man of Color
",1997,English,Bantam Spectra,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,432,Series: Benjamin January (#1)
bhambley,Fever Season,1998,English,Bantam Spectra,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,416,Series: Benjamin January (#2)
bhambley,Icefalcon's Quest,1998,English,Del Rey Books,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,368,Series: Darwath (#5)
bhambley,Dragonshadow,1999,English,Random House Inc,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,310,Series: Winterlands (#2)
bhambley,Graveyard Dust,2000,English,Bantam Spectra,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,409,Series: Benjamin January (#3)
bhambley,Sold Down the River,2000,English,Bantam Spectra,"New York, NY",United States,new_york_ny_united states,Fiction (Novel),n,336,Series: Benjamin January (#4)
