 Bernard Montabo,bmontabo,guyana,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
bmontabo,Le Camp Du Portugais: Le Palais Des Jésuites 3 : Roman,2007,French,Ibis Rouge,Petit-Bourg,Guadeloupe,petit_bourg_guadeloupe,Fiction (Novel),n,311,
bmontabo,Le Palais Des Jésuites: Roman,2002,French,Ibis Rouge,Petit-Bourg,Guadeloupe,petit_bourg_guadeloupe,Fiction (Novel),n,346,
bmontabo,Le grand livre de l'histoire de la Guyane: Des origines à 1848 (Volume 1),2004,French,Editions Orphie,Matoury,French Guiana,matoury_french_guiana,Non Fiction,n,330,
bmontabo,Le Grand Livre de l'Histoire de la Guyane - Volume 2,2021,French,Editions Orphie,Matoury,French Guiana,matoury_french_guiana,Non Fiction,n,372,Garfish (Editor)
bmontabo,Guyane,2016,French,Editions Orphie,Matoury,French Guiana,matoury_french_guiana,Non Fiction,n,511,Léon Sanite (Contributor)
bmontabo,"La Guyane, un nom, une histoire: Une société coloniale (Tome III) (La Guyane, un nom, une histoire, 3)",2013,French,Editions Orphie,Matoury,French Guiana,matoury_french_guiana,Non Fiction,n,320,
bmontabo,"Guide encyclopédique de la Guyane - découvrir, comprendre, venir",2012,French,Editions Orphie,Matoury,French Guiana,matoury_french_guiana,Non Fiction,n,511,
bmontabo,"La Guyane, un nom, une histoire: Le XXe siècle (Tome 2) (La Guyane, un nom, une histoire, 2)",2011,French,Editions Orphie,Matoury,French Guiana,matoury_french_guiana,Non Fiction,n,281,Élie Stephenson (Contributor)
bmontabo,"La Guyane, un nom, une histoire: Du XVIIe au XIXe siècle (Tome I) (La Guyane, un nom, une histoire, 1)",2011,French,Editions Orphie,Matoury,French Guiana,matoury_french_guiana,Non Fiction,n,224,Élie Stephenson (Contributor)
bmontabo,"
L'histoire de la Guyane Tome 2",2004,French,Editions Orphie,Matoury,French Guiana,matoury_french_guiana,Non Fiction,n,715,
bmontabo,Vodún - roman,2004,French,Editions Orphie,Matoury,French Guiana,matoury_french_guiana,Fiction,n,NA,
