Beryl Gilroy,bgilroy,guyana,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
bgilroy,Da Jeg Var Syg,1980,Danish,Munksgaard,Copenhagen,Denmark,copenhagen_denmark,Fiction (Novel),y,11,"Hales, Robert"
bgilroy,Inkle And Yarico,1996,English,Peepal Tree Press,Leeds,England,leeds_england,Fiction (Novel),n,,
bgilroy,Leaves In The Wind: Collected Writings,1998,English,Mango Publishing,"Miami, FL",United States,miami_fl_united¬†states,Fiction (Novel),n,114,
bgilroy,The Green Grass Tango,2001,English,Peepal Tree Press,Leeds,England,leeds_england,Fiction (Novel),n,,
bgilroy,Frangipani House,2008,English,Heinemann,Oxford,England,oxfordshire_england,Fiction (Novel),n,,
bgilroy,Black Teacher,1994,English,Bogle-L'Ouverture Publications,London,England,london_ldn_england,Autobiography/Memoir,n,,
bgilroy,Black Teacher,2021,English,Faber and Faber,London,England,london_ldn_england,Autobiography/Memoir,n,,
bgilroy,No More Pets,1975,English,Macmillan Publishers,London,England,london_ldn_england,Fiction (Novel),n,,
bgilroy,Grandpa's Footsteps ;Auntie Olive's Wedding ;Elvira,1978,English,Macmillan Publishers,London,England,london_ldn_england,Fiction (Short Story Collection),n,,
bgilroy,The Present,1975,English,Macmillan Publishers,London,England,london_ldn_england,Short Story,n,24,
bgilroy,A Visitor From Home,1975,English,Macmillan Publishers,London,England,london_ldn_england,Fiction (Novel),n,24,
bgilroy,New People At Twenty Four,1975,English,Macmillan Publishers,London,England,london_ldn_england,Fiction (Novel),n,24,
bgilroy,The Paper Bag,1975,English,Macmillan Publishers,London,England,london_ldn_england,Fiction (Novel),n,,
bgilroy,Outings For Everyone,1975,English,Macmillan Publishers,London,England,london_ldn_england,Fiction (Novel),n,,
bgilroy,"Grandpa's Footsteps, And Other Boom Farm Stories",1978,English,Macmillan Publishers,London,England,london_ldn_england,Fiction (Short Story Collection),n,,
bgilroy,Echoes And Voices: Open-Heart Poetry,1991,English,Vantage Press,"New York, NY",United States,new_york_ny_united_states,Poetry Collection,n,,
bgilroy,The Green Grass Tango,2001,English,Peepal Tree Press,Leeds,England,leeds_england,Fiction (Novel),n,,
bgilroy,In Praise Of Love And Children,1996,English,Peepal Tree Press,Leeds,England,leeds_england,Fiction (Novel),n,,
bgilroy,In Praise Of Love And Children,2002,English,Peepal Tree Press,Leeds,England,leeds_england,Fiction (Novel),n,,
bgilroy,Boy-Sandwich,1994,English,Heinemann,London,England,london_ldn_england,Fiction (Novel),n,,
bgilroy,Sunlight On Sweet Water,1994,English,Peepal Tree Press,Leeds,England,leeds_england,Fiction (Short Story Collection),n,,
bgilroy,Sunlight On Sweet Water,2007,English,Peepal Tree Press,Leeds,England,leeds_england,Fiction (Short Story Collection),n,,
bgilroy,Sunlight On Sweet Water,2010,English,Peepal Tree Press,Leeds,England,leeds_england,Fiction (Short Story Collection),n,,
bgilroy,The Busy Book,1961,English,Longman Inc.,London,England,london_europe,Fiction (Novel),n,,
bgilroy,Knock At Mrs Herbs',1975,English,Macmillan Publishers,London,England,london_europe,Fiction (Novel),n,,
bgilroy,In For A Penny,1980,English,Cassell,London,England,london_europe,Fiction (Novel),n,,
bgilroy,"Stedman And Joanna, A Love In Bondage: Dedicated Love In The Eighteenth Century",1991,English,Vantage Press,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,,
bgilroy,Carnival Of Dreams,1980,English,Macmillan Publishers,London,England,london_ldn_england,Fiction (Novel),n,,
bgilroy,Arthur Small,1978,English,Macmillan Publishers,London,England,london_ldn_england,Fiction (Novel),n,,
bgilroy,New Shoes,1976,English,Macmillan Publishers,London,England,london_ldn_england,Fiction (Novel),n,,
bgilroy,Frangipani House,2008,English,Heinemann,Oxford,England,oxfordshire_england,Fiction (Novel),n,,
bgilroy,Frangipani House,2011,English,Pearson,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,,
bgilroy,Gather The Faces,1996,English,Peepal Tree Press,Leeds,England,leeeds_england,Fiction (Novel),n,,
bgilroy,Gather The Faces,2001,English,Peepal Tree Press,Leeds,England,leeeds_england,Fiction (Novel),n,,
bgilroy,Inkle And Yarico,1996,English,Peepal Tree Press,Leeds,England,leeeds_england,Fiction (Novel),n,,
bgilroy,Inkle And Yarico,2015,English,Peepal Tree Press,Leeds,England,leeeds_england,Fiction (Novel),n,,
bgilroy,Frangipani House,1986,English,Heinemann,London,England,london_ldn_england,Fiction (Novel),n,,
bgilroy,Sunlight On Sweet Water,1994,English,Peepal Tree Press,Leeds,England,leeeds_england,Fiction (Novel),n,,
bgilroy,Inkle And Yarico,1996,English,Peepal Tree Press,Leeds,England,leeeds_england,Fiction (Novel),n,,
bgilroy,Black Teacher,1976,English,Bogle-L'Ouverture Publications,London,England,london_ldn_england,Autobiography/Memoir,n,,
bgilroy,Frangipani House,1989,English,Heinemann,London,England,london_ldn_england,Fiction (Novel),n,,
bgilroy,Boy-Sandwich,1989,English,Heinemann,London,England,london_ldn_england,Fiction (Novel),n,,
bgilroy,Frangipani House,1989,English,Heinemann,London,England,london_ldn_england,Fiction (Novel),n,,
bgilroy,Blue Water Readers,1961,English,Longman Inc.,London,England,london_ldn_england,Fiction (Novel),n,,
bgilroy,Out In The Sun,1961,English,Longman Inc.,London,England,london_ldn_england,Fiction (Novel),n,,
