Caryl Phillips,cphillips,st._kitts_&_nevis,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
cphillips,Een Nieuwe Wereldorde,2002,Dutch,De Bezige Bij,Amsterdam,Netherlands,amsterdam_ams_netherlands,Fiction (Novel),y,,
cphillips,Het Atlantisch lied: Roman,2000,Dutch,De Bezige Bij,Amsterdam,Netherlands,amsterdam_ams_netherlands,Fiction (Novel),,,
cphillips,Dansen In Het Donker,2006,Dutch,De Geus,Breda,Netherlands,breda_netherlands,Fiction (Novel),,,
cphillips,Een Verre Kust,2004,Dutch,De Bezige Bij,Amsterdam,Netherlands,amsterdam_ams_netherlands,Fiction (Novel),,,
cphillips,De Aard Van Het Bloed,1997,Dutch,De Bezige Bij,Amsterdam,Netherlands,amsterdam_ams_netherlands,Fiction (Novel),,,
cphillips,Cambridge: Roman,1997,Dutch,Stichting Uitgeverij XL,Den Haag,Netherlands,den_haag_netherlands,Fiction (Novel),,,
cphillips,Buitenlanders,2011,Dutch,De Geus,Breda,Netherlands,breda_netherlands,Fiction (Novel),,,
cphillips,Buitenlanders,2013,Dutch,De Geus,Amsterdam,Netherlands,amherst_ma_united¬†states,Fiction (Novel),,,
cphillips,The Right Set: A Tennis Anthology,1999,English,Vintage Books,"New York, NY",United States,new_york_ny_united¬†states,Anthology,,,
cphillips,A New World Order,2001,English,Vintage International,"New York, NY",United States,new_york_ny_united_states,Anthology,,,
cphillips,Extravagant Strangers: A Literature of Belonging,1997,English,Vintage Books,"New York, NY",United States,new_york_ny_united¬†states,Fiction (Novel),,,
cphillips,A State of Independence,1986,English,Collier Books,"Springfield, OH",United States,springfield_united¬†states,Fiction (Novel),,,
cphillips,Color Me English: Migration and Belonging Before and After 9/11,2011,English,The New Press,"New York, NY",United States,new_york_ny_n.y._united_states,Biography,,,
cphillips,Foreigners,2007,English,Alfred A. Knopf,"New York, NY",United States,new_york_ny_united¬†states,Fiction (Novel),,,
cphillips,Higher Ground,1989,English,Vintage Books,London,England,london_united¬†kingdom,Fiction (Novel),,,
cphillips,Dancing in the Dark,2005,English,Vintage Books,London,England,london_unites_kingdom,Fiction (Novel),,,
cphillips,The Atlantic Sound,2000,English,Alfred A. Knopf,"New York, NY",United States,new_york_ny_n.y._united_states,Fiction (Novel),,,
cphillips,The European Tribe,1987,English,Vintage Books,London,England,london_unites_kingdom,Nonfiction Book,,,
cphillips,The Final Passage,1985,English,Faber and Faber,London,England,london_united¬†kingdom,Fiction (Novel),,,
cphillips,The Nature of Blood,1997,English,Alfred A. Knopf,"New York, NY",United States,new_brunswick_nj_united¬†states,Fiction (Novel),,,
cphillips,A Distant Shore,2003,English,Vintage Books,London,England,london_united¬†kingdom,Fiction (Novel),,,
