Caryl Phillips,cphillips,st._kitts_&_nevis,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
cphillips,Extravagant Strangers: A Literature of Belonging,1977,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,336,
cphillips,Strange Fruit,1981,English,Amber Lane Press Ltd.,Ambergate,England,ambergate_england,Drama,n,104,
cphillips,Where There is Darkness,1982,English,Amber Lane Press,Ambergate,England,ambergate_england,Drama,n,NA,
cphillips,The Shelter,1984,English,Amber Lane Press,Ambergate,England,ambergate_england,Drama,n,55,
cphillips,The Final Passage,1985,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,208,
cphillips,A State of Independence,1986,English,Collier Books,"Springfield, OH",United States,springfield_oh_united_states,Fiction (Novel),n,160,
cphillips,The European Tribe,1987,English,Vintage Books,London,England,london_ldn_england,Fiction (Novel),n,144,
cphillips,Frihetens Tillstånd : Roman,1987,Swedish,Gedin,Stockholm,Sweden,stockholm_sweden,Fiction (Novel),y,NA,
cphillips,Higher Ground,1989,English,Vintage Books,London,England,london_ldn_england,Fiction (Novel),n,224,
cphillips,Cambridge,1991,English,Bloombury Publishing,London,England,london_ldn_england,Fiction (Novel),n,192,
cphillips,Crossing the River,1993,English,Bloomsbury Publishing,London,England,london_ldn_england,Fiction (Novel),n,237,
cphillips,Över Floden: Roman,1994,Swedish,Gedin,Stockholm,Sweden,stockholm_sweden,Fiction (Novel),y,NA,
cphillips,Abschied Von Der Tropeninsel Roman,1996,German,Fischer Taschenbuch,Frankfurt,Germany,frankfurt_ge_germany,Fiction (Novel),y,199,
cphillips,De Aard Van Het Bloed,1997,Dutch,De Bezige Bij,Amsterdam,Netherlands,amsterdam_netherlands,Fiction (Novel),y,NA,
cphillips,The Nature of Blood,1997,English,Alfred A. Knopf,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,224,
cphillips,Veren Velka,1997,Finnish,Otava,Helsingissä,Finland,helsingissaãà_finland,Fiction (Novel),y,224,
cphillips,Hatets Røtter,1997,Swedish,Gedin,Stockholm,Sweden,stockholm_sweden,Fiction (Novel),y,NA,
cphillips,Auf Festem Grund Ein Roman In Drei Teilen,1997,German,Fischer Taschenbuch,Frankfurt,Germany,frankfurt_ge_germany,Fiction (Novel),y,251,
cphillips,Stuart Hall,1997,English,BOMB Magazine,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,NA,
cphillips,The Right Set: A Tennis Anthology,1999,English,Vintage Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,352,
cphillips,A Essência Do Sangue,1999,Portuguese,Editorial Bizâncio,Lisbon,Portugal,lisbon_portugal,Fiction (Novel),y,188,
cphillips,Het Atlantisch lied: Roman,2000,Dutch,De Bezige Bij,Amsterdam,Netherlands,amsterdam_netherlands,Fiction (Novel),y,288,
cphillips,The Atlantic Sound,2000,English,Alfred A. Knopf,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,288,
cphillips,La Naturaleza De La Sangre,2000,Spanish,Alianza,Madrid,Spain,madrid_esp_spain,Fiction (Novel),y,264,
cphillips,A New World Order,2001,English,Vintage International,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,320,
cphillips,C.L.R. James: The Most Noteworthy Caribbean Mind of the Twentieth Century,2001,English,The Journal of Blacks in Higher Education,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,3,
cphillips,El Sonido Del Atlantico,2001,Spanish,Alianza,Madrid,Spain,madrid_esp_spain,Fiction (Novel),y,352,
cphillips,Atlantöverfart,2001,Swedish,Wahlström & Widstrand,Stockholm,Sweden,stockholm_sweden,Fiction (Novel),y,271,
cphillips,Een Nieuwe Wereldorde,2002,Dutch,De Bezige Bij,Amsterdam,Netherlands,amsterdam_netherlands,Fiction (Novel),y,320,
cphillips,A Distant Shore,2003,English,Vintage Books,London,England,london_ldn_england,Fiction (Novel),n,288,
cphillips,Blut Und Asche Roman,2003,German,Fischer Taschenbuch,Frankfurt,Germany,frankfurt_ge_germany,Fiction (Novel),y,464,
cphillips,Een Verre Kust,2004,Dutch,De Bezige Bij,Amsterdam,Netherlands,amsterdam_netherlands,Fiction (Novel),y,317,
cphillips,Archive Hour: I Too Am America,2004,English,BBC,London,England,london_ldn_england,Fiction (Novel),n,22,
cphillips,Dancing in the Dark,2005,English,Vintage Books,London,England,london_ldn_england,Fiction (Novel),n,224,
cphillips,Dansen In Het Donker,2006,Dutch,De Geus,Breda,Netherlands,breda_netherlands,Fiction (Novel),y,224,
cphillips,Odlegly Brzeg,2006,Polish,Muza,Warszawa,Poland,warszawa_poland,Fiction (Novel),y,328,
cphillips,Foreigners,2007,English,Alfred A. Knopf,"New York, NY",United States,new_york_ny_united_states,Nonfiction,n,235,
cphillips,In the Falling Snow,2007,English,Harvill Secker,London,England,london_ldn_england,Nonfiction,n,336,
cphillips,Atarashii Sekai No Katachi: Kokujin No Rekishi Bunka To Diasupora No Sekai Chizu,2007,Japanese,Akashi Shoten,Tokyo,Japan,tokyo_japan,Fiction (Novel),y,450,
cphillips,Främlingar: Tre Engelska Liv,2008,Swedish,Wahlström & Widstrand,Stockholm,Sweden,stockholm_sweden,Fiction (Novel),y,256,
cphillips,Playing Away,2009,English,British Film Institute,London,England,london_england,Drama,n,NA,
cphillips,Where There is Darkness,2010,English,Alexander Street Press,"Alexandria, VA",United States,alexandria_va_united¬†states,Fiction (Novel),n,180,
cphillips,Rude Am I in My Speech,2010,English,Asyla,London,England,london_ldn_england,Fiction (Novel),n,NA,
cphillips,The Wasted Years,2010,English,Alexander Street Press,"Alexandria, VA",United States,alexandria_va_united¬†states,Fiction (Novel),n,56,
cphillips,Strange Fruit,2010,English,Alexander Street Press,London,England,london_ldn_england,Fiction (Novel),n,104,
cphillips,Buitenlanders,2011,Dutch,De Geus,Breda,Netherlands,breda_netherlands,Fiction (Novel),y,255,
cphillips,Color Me English: Migration and Belonging Before and After 9/11,2011,English,The New Press,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,354,
