H. G. De Lisser,hgdlisser,jamaica,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
hgdlisser,The Cup and the Lip,1956,English,Planters' Punch,Kingston,Jamaica,kingston_jamaica,Fiction (Novel),n,256,
hgdlisser,The Arawak Girl,1958,English,Pioneer Press,Kingston,Jamaica,kingston_jamaica,Fiction (Novel),n,91,
hgdlisser,In Jamaica and Cuba,1910,English,The Gleaner Company Ltd.,Kingston,Jamaica,kingston_jamaica,Fiction (Novel),n,164,
hgdlisser,Jane's Career: A Story of Jamaica,1913,English,The Gleaner Company Ltd.,Kingston,Jamaica,kingston_jamaica,Fiction (Novel),n,207,
hgdlisser,The Devil's Mountain,1922,English,Planters' Punch,Kingston,Jamaica,kingston_jamaica,Autobiography/Memoir,n,NA,
hgdlisser,The White Witch of Rosehall,1967,English,Ernest Benn,London,England,(london)_england,Fiction (Novel),n,255,
hgdlisser,The White Witch of Rosehall,1968,English,Ernest Benn,London,England,(london)_england,Fiction (Novel),n,255,
hgdlisser,The White Witch of Rosehall,1971,English,Ernest Benn,London,England,(london)_england,Fiction (Novel),n,255,
hgdlisser,The White Witch of Rosehall,1971,English,Africana Publishing Company,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,255,
hgdlisser,The White Witch of Rosehall,1974,English,Ernest Benn,London,England,(london)_england,Fiction (Novel),n,255,
hgdlisser,The White Witch of Rosehall,1958,English,Ernest Benn,London,England,(london)_england,Fiction (Novel),n,256,
hgdlisser,The White Witch of Rosehall,2002,English,Macmillan Publishers,Kingston,Jamaica,kingston_jamaica,Fiction (Novel),n,254,
hgdlisser,The White Witch of Rosehall,2007,English,Macmillan Publishers,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,272,
hgdlisser,The White Witch of Rosehall,2018,English,Macmillan Publishers,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,261,
hgdlisser,The Hundred Years: An Interesting Account of the Founding of the Jamaica Mutual Life Assurance Society in the Year 1844,1944,English,Planters' Punch,Kingston,Jamaica,kingston_jamaica,Short Story,n,4,
