Donna Every,devery,barbados,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
devery,What Do You Have in Your House?,2009,English,Tate Publishing,Oklahoma,United States,oklahoma_united¬†states,Nonfiction,n,84,
devery,The Promise Keeper,2010,English,Tate Publishing,London,England,london_ldn_england,Nonfiction,n,80,
devery,The Merger Mogul,2012,English,CreateSpace Independent Publishing Platform,Scotts Valley,United States,scotts_valley_united¬†states,Fiction (Novel),y,286,
devery,Arise and Shine - Journeying into the call and purposes of God,2012,English,Arise Publishing,"Jacksonville, Fl",United States,jackson_united¬†states,Nonfiction,n,41,
devery,The Price of Freedom,2013,English,CreateSpace Independent Publishing Platform,Scotts Valley,United States,scotts_valley_united¬†states,Fiction (Novel),n,352,
devery,The High Road,2013,English,‎CreateSpace Independent Publishing Platform,NA,NA,na_na,Fiction (Novel),n,294,
devery,What now?,2015,English,CreateSpace Independent Publishing Platform,Scotts Valley,United States,scotts_valley_united¬†states,Fiction (Novel),n,348,
devery,Free in the City (The Acreage Series Book 2),2016,English,Createspace Independent Publishing Platform,Scotts Valley,United States,scotts_valley_united¬†states,Fiction (Novel),n,310,
devery,Free at Last (The Acreage Series Book 3),2017,English,CreateSpace Independent Publishing Platform,Scotts Valley,United States,scotts_valley_united¬†states,Fiction (Novel),y,326,
devery,Vaucluse,2018,English,CreateSpace Independent Publishing Platform,Scotts Valley,United States,scotts_valley_united¬†states,Fiction (Novel),n,300,
devery,Return to The Acreage (The Acreage Series Book 4),2019,English,Arise Publishing,"Jacksonville, Fl",United States,jackson_united¬†states,Fiction (Novel),n,325,
devery,Return to The Acreage,2019,English,Independently Published,Chicago,United States,chicago_united¬†states,Fiction (Novel),n,324,
devery,Love Wins,2022,English,Independently published,Chicago,United States,na_na,Fiction (Novel),n,391,
